name,source,term,party
Andrew Charles Prevel,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Andrew Charles Prevel,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Andrew James Cook,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Andrew James Cook,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Andrew James Cook,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Andrew Phillip Foley Bache,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
Andrew Phillip Foley Bache,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Andrew Prevel,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Andrew Prevel,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Ann Atkinson,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Ann Atkinson,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Anthony Granville Ventress,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Anthony Granville Ventress,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2011,None
Anthony Granville Ventress,"https://en.wikipedia.org/wiki/Sark_general_election,_2010",2013,None
Anthony Granville Ventress,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Antony Dunks,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Antony Dunks,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Antony Dunks,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Antony Dunks,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Arthur Rolfe,"https://en.wikipedia.org/wiki/Sark_general_election,_2014",2015,None
Charles Noel Donald Maitland,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Charles Noel Donald Maitland,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Charles Noel Donald Maitland,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Charles Noel Donald Maitland,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
Christine Dorothy Audrain,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2009,None
Christine Dorothy Audrain,"https://en.wikipedia.org/wiki/Sark_general_election,_2008",2011,None
Christine Dorothy Audrain,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2013,None
Christine Dorothy Audrain,"https://en.wikipedia.org/wiki/Sark_general_election,_2012",2015,None
