id,name,identifier__historichansard,constituency,party,party_id,start_date,start_reason,end_date,end_reason,term
10002,Gerry Adams,40,Belfast West,Sinn Féin,sinn-fein,1998-06-25,general_election,2003-04-28,general_election,1
10002,Gerry Adams,40,Belfast West,Sinn Féin,sinn-fein,2003-11-26,general_election,2007-01-30,dissolution,2
10002,Gerry Adams,40,Belfast West,Sinn Féin,sinn-fein,2007-03-09,election,2010-12-07,resigned,3
10172,Jeffrey M. Donaldson,250,Lagan Valley,UUP,uup,2003-11-26,general_election,2003-12-18,changed_party,2
10172,Jeffrey M. Donaldson,250,Lagan Valley,Independent Unionist,independent-unionist,2003-12-18,changed_party,2004-01-15,changed_party,2
10172,Jeffrey M. Donaldson,250,Lagan Valley,DUP,dup,2004-01-15,changed_party,2007-01-30,dissolution,2
10172,Jeffrey M. Donaldson,250,Lagan Valley,DUP,dup,2007-03-09,election,2010-06-09,resigned,3
10300,John Hume,373,Foyle,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2000-12-01,resigned,1
10380,Robert McCartney,483,North Down,UKUP,ukup,1998-06-25,general_election,2003-04-28,general_election,1
10380,Robert McCartney,483,North Down,UKUP,ukup,2003-11-26,general_election,2007-01-30,dissolution,2
10385,Eddie McGrady,487,South Down,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2003-04-28,general_election,1
10387,Martin McGuinness,488,Mid Ulster,Sinn Féin,sinn-fein,1998-06-25,general_election,2003-04-28,general_election,1
10387,Martin McGuinness,488,Mid Ulster,Sinn Féin,sinn-fein,2003-11-26,general_election,2007-01-30,dissolution,2
10387,Martin McGuinness,488,Mid Ulster,Sinn Féin,sinn-fein,2007-03-09,election,2011-03-24,dissolution,3
10387,Martin McGuinness,488,Mid Ulster,Sinn Féin,sinn-fein,2011-05-06,election,,,4
10411,Seamus Mallon,462,Newry and Armagh,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2003-04-28,general_election,1
10471,Ian Paisley,541,North Antrim,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1
10471,Ian Paisley,541,North Antrim,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2
10471,Ian Paisley,541,North Antrim,DUP,dup,2007-03-09,election,2011-03-24,dissolution,3
10507,Peter Robinson,576,Belfast East,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1
10507,Peter Robinson,576,Belfast East,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2
10507,Peter Robinson,576,Belfast East,DUP,dup,2007-03-09,election,2011-03-24,dissolution,3
10507,Peter Robinson,576,Belfast East,DUP,dup,2011-05-06,election,,,4
10589,John Taylor,655,Strangford,UUP,uup,1998-06-25,general_election,2003-04-28,general_election,1
10589,Lord Kilclooney,655,Strangford,UUP,uup,2003-11-26,general_election,2007-01-30,dissolution,2
10605,David Trimble,672,Upper Bann,UUP,uup,1998-06-25,general_election,2003-04-28,general_election,1
10605,David Trimble,672,Upper Bann,UUP,uup,2003-11-26,general_election,2007-01-30,dissolution,2
10679,William McCrea,70,Mid Ulster,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1
10679,William McCrea,70,Mid Ulster,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2
10679,William McCrea,70,South Antrim,DUP,dup,2007-03-09,election,2010-07-01,resigned,3
10768,David Burnside,6716,South Antrim,UUP,uup,2003-11-26,general_election,2007-01-30,dissolution,2
