id,name,image,area,area_id,group,group_id,term,source
ralph_gonsalves,Ralph GONSALVES,http://www.caribbeanelections.com/vc/images/people/Ralph_Gonsalves_02.png,North Central Windward,ocd-division/country:vc/constituency:north-central-windward,Unity Labour Party,ULP,8,http://www.caribbeanelections.com/vc/candidates/ulp/ralph_gonsalves.asp
girlyn_miguel,Girlyn MIGUEL,http://www.caribbeanelections.com/vc/images/people/Girlyn_Miguel_2010.png,Marriaqua,ocd-division/country:vc/constituency:marriaqua,Unity Labour Party,ULP,8,http://www.caribbeanelections.com/vc/candidates/ulp/girlyn_miguel.asp
clayton_burgin,Clayton BURGIN,http://www.caribbeanelections.com/vc/images/people/Clayton_Burgin_2010.png,East St. George,ocd-division/country:vc/constituency:east-st.-george,Unity Labour Party,ULP,8,http://www.caribbeanelections.com/vc/candidates/ulp/clayton_burgin.asp
montgomery_daniel,Montgomery DANIEL,http://www.caribbeanelections.com/vc/images/people/Montgomery_Daniel_2010.png,North Windward,ocd-division/country:vc/constituency:north-windward,Unity Labour Party,ULP,8,http://www.caribbeanelections.com/vc/candidates/ulp/montgomery_daniel.asp
cecil_mckie,Cecil McKIE,http://www.caribbeanelections.com/vc/images/people/Cecil_McKie_2010.png,West St. George,ocd-division/country:vc/constituency:west-st.-george,Unity Labour Party,ULP,8,http://www.caribbeanelections.com/vc/candidates/ulp/cecil_mckie.asp
frederick_stephenson,Frederick STEPHENSON,http://www.caribbeanelections.com/vc/images/people/Frederick_Stephenson_2010.png,South Windward,ocd-division/country:vc/constituency:south-windward,Unity Labour Party,ULP,8,http://www.caribbeanelections.com/vc/candidates/ulp/frederick_stephenson.asp
saboto_caesar,Saboto CAESAR,http://www.caribbeanelections.com/vc/images/people/Saboto_Caesar_2010.png,South Central Windward,ocd-division/country:vc/constituency:south-central-windward,Unity Labour Party,ULP,8,http://www.caribbeanelections.com/vc/candidates/ulp/saboto_caesar.asp
maxwell_charles,Maxwell CHARLES,http://www.caribbeanelections.com/vc/images/people/Maxwell_Charles_2010.png,Central Leeward,ocd-division/country:vc/constituency:central-leeward,Unity Labour Party,ULP,8,http://www.caribbeanelections.com/vc/candidates/ulp/maxwell_charles.asp
arnhim_eustace,Arnhim EUSTACE,http://www.caribbeanelections.com/vc/images/people/Arnhim_Eustace_02.png, East Kingstown,ocd-division/country:vc/constituency:east-kingstown,New Democratic Party,NDP,8,http://www.caribbeanelections.com/vc/candidates/ndp/arnhim_eustace.asp
stclaire_leacock,St. Claire LEACOCK,http://www.caribbeanelections.com/vc/images/people/Stclaire_Leacock_2010.png, Central Kingstown,ocd-division/country:vc/constituency:central-kingstown,New Democratic Party,NDP,8,http://www.caribbeanelections.com/vc/candidates/ndp/stclaire_leacock.asp
godwin_friday,Godwin FRIDAY,http://www.caribbeanelections.com/vc/images/people/Godwin_Friday_2010.png,Northern Grenadines,ocd-division/country:vc/constituency:northern-grenadines,New Democratic Party,NDP,8,http://www.caribbeanelections.com/vc/candidates/ndp/godwin_friday.asp
terrance_ollivierre,Terrance OLLIVIERRE,http://www.caribbeanelections.com/vc/images/people/Terrance_Ollivierre_2010.png,Southern Grenadines,ocd-division/country:vc/constituency:southern-grenadines,New Democratic Party,NDP,8,http://www.caribbeanelections.com/vc/candidates/ndp/terrance_ollivierre.asp
daniel_cummings,Daniel CUMMINGS,http://www.caribbeanelections.com/vc/images/people/Daniel_Cummings_2010.png,West Kingstown,ocd-division/country:vc/constituency:west-kingstown,New Democratic Party,NDP,8,http://www.caribbeanelections.com/vc/candidates/ndp/daniel_cummings.asp
roland_matthews,Roland MATHEWS,http://www.caribbeanelections.com/vc/images/people/Roland_Matthews_2010.png,North Leeward,ocd-division/country:vc/constituency:north-leeward,New Democratic Party,NDP,8,http://www.caribbeanelections.com/vc/candidates/ndp/roland_matthews.asp
nigel_stephenson,Nigel STEPHENSON,http://www.caribbeanelections.com/vc/images/people/Nighel_Stephenson_2010.png,South Leeward,ocd-division/country:vc/constituency:south-leeward,New Democratic Party,NDP,8,http://www.caribbeanelections.com/vc/candidates/ndp/nigel_stephenson.asp
