name,suplente,area,party,image,term,source
H.D. DALIA M. BERNAL Y,"Moreno Olivares, Boris Edgardo",8-6,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_DALIA_BERNAL_PWC.jpg.pagespeed.ic.Fz3RhxQmcM.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ROSA CANTO,"González Bedoya, José Higinio",8-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_ROSA_CANTO_PWC.jpg.pagespeed.ic.Yf7t32ngfa.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. FERNANDO GUILLERMO CARRILLO SILVESTRI,"Ringrose Wynter, Carlos Delano",8-8,Partido Cambio Democrático,"http://www.asamblea.gob.pa/fotdip/xH.D,P20FERNANDO_CARRILLO_PWC.jpg.pagespeed.ic.k5kCE-l7K8.jpg",2014,http://www.asamblea.gob.pa/diputados/
H.D. DANA D. CASTAÑEDA G.,"Pino Chanis, Gregori",2-3,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_DANA_CASTANEDA_PWC.jpg.pagespeed.ic.dPfUOtbSIw.jpg,2014,http://www.asamblea.gob.pa/diputados/
HD JOSÉ LUIS CASTILLO GÓMEZ,"Aguilera Franceschi, Carlos Eugenio",4-3,Partido Panameñista,"",2014,http://www.asamblea.gob.pa/diputados/
H.D. ELIAS ARIEL CASTILLO GONZALEZ,"Dutary Maylín, Jorge Enrique",8-8,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xH.D_ELIAS_CASTILLO_PWC.jpg.pagespeed.ic.fpIvHhcazW.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MANUEL COHEN SALERNO,"Ríos Villalobos, Francisco Luis",6-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_MANUEL_COHEN_PWC.jpg.pagespeed.ic.MeDnLni_tB.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ARISTIDES DE ICAZA HIDALGO,"Starnes P. de De Icaza, Nubia",8-5,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_ARIS_DE_ICAZA_2PWC.jpg.pagespeed.ic.-Yk4edMmll.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. RUBEN DE LEON SANCHEZ,"Tristán Benavides, José Gertrudis",9-1,Partido Revolucionario Democrático,"http://www.asamblea.gob.pa/fotdip/xHD_RUBEN,P20DE,P20LEON_PWC.jpg.pagespeed.ic.6GrrlDwcPR.jpg",2014,http://www.asamblea.gob.pa/diputados/
H.D. MARIA DEL CARMEN DELGADO BLANDON,"Corrales Frías, Abilio Anel",3-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_MARIA_DELGADO_PWC.jpg.pagespeed.ic.NKIDZIfzUO.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JOSE ANTONIO DOMINGUEZ ALVAREZ,"Domínguez Barahona, Jorge Aquiles",8-6,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/xHD_JOSE_A_DOMINGUEZ_PWC.jpg.pagespeed.ic.wZDpbn3Si2.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MIGUEL FANOVICH,"Moreno González, José Bernardo",4-1,Partido Molirena,"http://www.asamblea.gob.pa/fotdip/xHD_MIGUEL,P20FANOVICH_PWC.jpg.pagespeed.ic.OVa1-aTeQH.jpg",2014,http://www.asamblea.gob.pa/diputados/
H.D. RUBEN DARIO FRIAS ORTEGA,"Frías O. de Herrera, Ana Tilsia",8-5,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_RUBEN_FRIAS_PWC.jpg.pagespeed.ic.jEEYrW7hgO.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. SERGIO RAFAEL GALVEZ EVERS,"Lombana Franceschi, Diego Enrique",8-7,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_SERGIO_GALVEZ_PWC.jpg.pagespeed.ic.2O2H2F4-st.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. VIDAL GARCIA,"García Palacio, José Luis",8-9,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_VIDAL_GARCIA_PWC.jpg.pagespeed.ic.ClM-Qp9F5t.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ANA MATILDE GOMEZ RUILOBA,"Spadafora Mejía, Alida",8-7,Independiente,http://www.asamblea.gob.pa/fotdip/xHD_ANA_M_GOMEZ_PWC.jpg.pagespeed.ic.PN5tOxGkwV.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. PEDRO MIGUEL GONZALEZ PINZON,"Puga García, Carlos Enrique",9-3,Partido Revolucionario Democrático,"http://www.asamblea.gob.pa/fotdip/xH.D,P20PEDRO_M_GONZALEZ_PWC.jpg.pagespeed.ic.6GrHK1u2uh.jpg",2014,http://www.asamblea.gob.pa/diputados/
H.D. SAMIR GOZAINE ABDELMALAK,"Álvarez Herrera, Edgardo Dimas",4-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xH.D_SAMIR_GOZAINE_PWC.jpg.pagespeed.ic.eTZSrrjZap.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. NESTOR A. GUARDIA JAEN,"Ramos Tuñón, Daniel",2-1,Partido Panameñista,"http://www.asamblea.gob.pa/fotdip/xH.D,P20NESTOR_GUARDIA_PWC.jpg.pagespeed.ic.HpeQ7t8Jcw.jpg",2014,http://www.asamblea.gob.pa/diputados/
H.D. RAUL A. HERNANDEZ L,"León González, Eric Alberto",2-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_RAUL_HERNANDEZ_PWC.jpg.pagespeed.ic.IzN_CZrlqQ.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ABSALON HERRERA GARCIA,"Morris Arias, Ubaldino",10-2,Partido Cambio Democrático,"http://www.asamblea.gob.pa/fotdip/xH.D,P20ABSALON_HERRERA_PWC.jpg.pagespeed.ic.AdMjCv7vRF.jpg",2014,http://www.asamblea.gob.pa/diputados/
H.D. NELSON JACKSON PALMA,"Mack, Pascual",3-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_NELSON_JACKSON_PWC.jpg.pagespeed.ic.0RDvjZODoX.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MARIO AUGUSTO LAZARUS NAVALO,"Bennett Rivera, Samuel Ricardo",3-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_MARIO_LAZARUS_PWC.jpg.pagespeed.ic.Irku7hRN_D.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. KATLEEN LEVY G,"Oda, Dimas Ascanio",8-10,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/xHD_KATLEEN_LEVY_PWC.jpg.pagespeed.ic.PCkK4VyTvH.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MARIO B. MILLER L,"Baker Abrego, Celestino",1-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_MARIO_MILLER_PWC.jpg.pagespeed.ic.TllOio2OKy.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. CARLOS ALBERTO MOTTA NUQUES,"Cano González, Alexis",4-2,Partido Revolucionario Democrático,"http://www.asamblea.gob.pa/fotdip/xHD_CARLOS_A_,P20MOTTA_PWC.jpg.pagespeed.ic.aFKJDyCjPH.jpg",2014,http://www.asamblea.gob.pa/diputados/
H.D. JUAN B. MOYA M,"",8-8,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/xHD_JUAN_B_MOYA_PWC.jpg.pagespeed.ic.2CUoZX4PIV.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JOSE MUÑOZ MOLINA,"Muñoz M. de Ramírez, Mabia María",8-10,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_JOSE_MUNOZ_PWC.jpg.pagespeed.ic.qwcCyHNJiL.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JAVIER O. ORTEGA S,"Oro Solís de Torrijos, Vielka Edith",8-8,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_JAVIER_ORTEGA_PWC.jpg.pagespeed.ic.YvDdV5Xb7r.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. AUSENCIO EUSEBIO PALACIO PINEDA,"Steel Beker de Jaén, Ceferina",12-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_AUSENCIO_PALACIO_PWC.jpg.pagespeed.ic.58ZAbAGF4J.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. QUIBIAN TERIBE PANAY GONZALEZ,"Martínez Gordon, Miguel Ángelo",8-9,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_QUIBIAN_PANAY_PWC.jpg.pagespeed.ic.6LgtcUIBkb.jpg,2014,http://www.asamblea.gob.pa/diputados/
