id,name,constituency,party,party_id,term,start_date,start_reason,source,end_date
8b583e94-a827-4f4d-a251-38a5dc08c81c,Asimakopoulos Georgios,State,PA.SO.K. (Panhellenic Socialist Movement),pasok,5,1989-06-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=8b583e94-a827-4f4d-a251-38a5dc08c81c,
b4b35399-b0d4-4684-af64-d219d99bb7f0,Asimakopoulou Anna-Misel,Ioannina,N.D. (New Democracy),nd,15,2012-06-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=b4b35399-b0d4-4684-af64-d219d99bb7f0,
b4b35399-b0d4-4684-af64-d219d99bb7f0,Asimakopoulou Anna-Misel,Athens B,N.D. (New Democracy),nd,16,2015-01-25,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=b4b35399-b0d4-4684-af64-d219d99bb7f0,
9eeb9e87-7e23-425d-a3ff-63b3327e6c97,Askitis Athanasios (Nasos),Athens B,PA.SO.K. (Panhellenic Socialist Movement),pasok,10,2003-05-06,Resignation from Parliamentary Office(αντικαταστάτης: Kanellopoulos Lampros ),http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=9eeb9e87-7e23-425d-a3ff-63b3327e6c97,
fba15fb6-e32b-4392-ba8a-ba86772edbc0,Aslanis Konstantinos,Iraklio,PA.SO.K. (Panhellenic Socialist Movement),pasok,2,1977-11-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=fba15fb6-e32b-4392-ba8a-ba86772edbc0,
fba15fb6-e32b-4392-ba8a-ba86772edbc0,Aslanis Konstantinos,Iraklio,PA.SO.K. (Panhellenic Socialist Movement),pasok,3,1981-10-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=fba15fb6-e32b-4392-ba8a-ba86772edbc0,
fba15fb6-e32b-4392-ba8a-ba86772edbc0,Aslanis Konstantinos,Iraklio,PA.SO.K. (Panhellenic Socialist Movement),pasok,4,1985-06-02,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=fba15fb6-e32b-4392-ba8a-ba86772edbc0,
20881331-bdea-4da4-b049-567057b2c26d,Aspradakis Panteleimon (Pantelis),Of Attica (rest),PA.SO.K. (Panhellenic Socialist Movement),pasok,13,2009-10-04,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=20881331-bdea-4da4-b049-567057b2c26d,
151f2e50-f0ce-4109-8894-5820a763c261,Asteriadis Georgios,Kavala,N.D. (New Democracy),nd,1,1974-11-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=151f2e50-f0ce-4109-8894-5820a763c261,
a64ea77f-f335-4f60-bde8-1d13a6e3d8ae,Astrakos Evangelos,Piraeus B,PA.SO.K. (Panhellenic Socialist Movement),pasok,5,1989-06-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a64ea77f-f335-4f60-bde8-1d13a6e3d8ae,
a64ea77f-f335-4f60-bde8-1d13a6e3d8ae,Astrakos Evangelos,Piraeus B,PA.SO.K. (Panhellenic Socialist Movement),pasok,6,1989-11-05,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a64ea77f-f335-4f60-bde8-1d13a6e3d8ae,
64486f63-c12d-44c1-aa78-4ce5f04dad79,Athanasakos Efstratios,Thesprotia,N.D. (New Democracy),nd,1,1974-11-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=64486f63-c12d-44c1-aa78-4ce5f04dad79,
78f73c9e-0e3d-4d7b-96c0-a0911a8163d0,Athanasiadis Alexandros,Kozani,PA.SO.K. (Panhellenic Socialist Movement),pasok,10,2000-04-09,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=78f73c9e-0e3d-4d7b-96c0-a0911a8163d0,
78f73c9e-0e3d-4d7b-96c0-a0911a8163d0,Athanasiadis Alexandros,Kozani,PA.SO.K. (Panhellenic Socialist Movement),pasok,12,2007-09-16,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=78f73c9e-0e3d-4d7b-96c0-a0911a8163d0,
78f73c9e-0e3d-4d7b-96c0-a0911a8163d0,Athanasiadis Alexandros,Kozani,INDEPENDENT,independent,13,2012-02-12,Expelled from the Parliamentary Group,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=78f73c9e-0e3d-4d7b-96c0-a0911a8163d0,
a83aaff2-32bd-4a74-9ae2-f6af5283fa63,Athanasiadis Stavros,Kozani,N.D. (New Democracy),nd,1,1974-11-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a83aaff2-32bd-4a74-9ae2-f6af5283fa63,
a83aaff2-32bd-4a74-9ae2-f6af5283fa63,Athanasiadis Stavros,Kozani,N.D. (New Democracy),nd,2,1977-11-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a83aaff2-32bd-4a74-9ae2-f6af5283fa63,
544c0d0b-e2e8-472e-adb5-ffee5488f6eb,Athanasiou Athanasios (Nasos),Attica,SYRIZA (Coalition of the Radical Left),syriza,14,2012-05-06,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=544c0d0b-e2e8-472e-adb5-ffee5488f6eb,
544c0d0b-e2e8-472e-adb5-ffee5488f6eb,Athanasiou Athanasios (Nasos),Attica,SYRIZA (Coalition of the Radical Left),syriza,15,2012-06-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=544c0d0b-e2e8-472e-adb5-ffee5488f6eb,
544c0d0b-e2e8-472e-adb5-ffee5488f6eb,Athanasiou Athanasios (Nasos),Attica,SYRIZA (Coalition of the Radical Left),syriza,16,2015-01-25,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=544c0d0b-e2e8-472e-adb5-ffee5488f6eb,
cf4f4315-7bfe-4064-9403-b07369f0b1cb,Athanasiou Charalampos,State,N.D. (New Democracy),nd,14,2012-05-06,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cf4f4315-7bfe-4064-9403-b07369f0b1cb,
cf4f4315-7bfe-4064-9403-b07369f0b1cb,Athanasiou Charalampos,State,N.D. (New Democracy),nd,15,2012-06-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cf4f4315-7bfe-4064-9403-b07369f0b1cb,
cf4f4315-7bfe-4064-9403-b07369f0b1cb,Athanasiou Charalampos,Lesvos,N.D. (New Democracy),nd,16,2015-01-25,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=cf4f4315-7bfe-4064-9403-b07369f0b1cb,
5b20a16a-0ca3-4b40-9e08-de4a56a8cc2a,Athanasiou Nikolaos,Thesprotia,N.D. (New Democracy),nd,1,1974-11-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=5b20a16a-0ca3-4b40-9e08-de4a56a8cc2a,
828b0466-bad7-4b3e-abbc-82259da0f0ef,Athanasopoulos Nikolaos,Thessaloniki A,PA.SO.K. (Panhellenic Socialist Movement),pasok,2,1977-11-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=828b0466-bad7-4b3e-abbc-82259da0f0ef,
828b0466-bad7-4b3e-abbc-82259da0f0ef,Athanasopoulos Nikolaos,Thessaloniki A,PA.SO.K. (Panhellenic Socialist Movement),pasok,3,1981-10-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=828b0466-bad7-4b3e-abbc-82259da0f0ef,
828b0466-bad7-4b3e-abbc-82259da0f0ef,Athanasopoulos Nikolaos,Thessaloniki A,PA.SO.K. (Panhellenic Socialist Movement),pasok,4,1985-06-02,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=828b0466-bad7-4b3e-abbc-82259da0f0ef,
828b0466-bad7-4b3e-abbc-82259da0f0ef,Athanasopoulos Nikolaos,Athens B,PA.SO.K. (Panhellenic Socialist Movement),pasok,8,1993-10-10,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=828b0466-bad7-4b3e-abbc-82259da0f0ef,
fe7a3dc3-d48a-450f-80d1-f534447b1b44,Atmatzidis Charalampos,Xanthi,PA.SO.K. (Panhellenic Socialist Movement),pasok,2,1977-11-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=fe7a3dc3-d48a-450f-80d1-f534447b1b44,
fe7a3dc3-d48a-450f-80d1-f534447b1b44,Atmatzidis Charalampos,Xanthi,PA.SO.K. (Panhellenic Socialist Movement),pasok,3,1981-10-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=fe7a3dc3-d48a-450f-80d1-f534447b1b44,
fe7a3dc3-d48a-450f-80d1-f534447b1b44,Atmatzidis Charalampos,Xanthi,PA.SO.K. (Panhellenic Socialist Movement),pasok,4,1985-06-02,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=fe7a3dc3-d48a-450f-80d1-f534447b1b44,
6140069d-d4b5-4d58-85cd-6f2976bf1fba,Avdis Leonidas (Leon),Athens A,K.K.E. (Communist Party of Greece),kke,9,1997-05-28,Resignation from Parliamentary Office(αντικαταστάτης: Angourakis  Charalampos ),http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=6140069d-d4b5-4d58-85cd-6f2976bf1fba,
a6851439-c82a-4e4a-a271-d03cbe4216c4,Averof Ioannis,Ioannina,N.D. (New Democracy),nd,5,1989-06-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a6851439-c82a-4e4a-a271-d03cbe4216c4,
a6851439-c82a-4e4a-a271-d03cbe4216c4,Averof Ioannis,Ioannina,N.D. (New Democracy),nd,6,1989-11-05,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a6851439-c82a-4e4a-a271-d03cbe4216c4,
a6851439-c82a-4e4a-a271-d03cbe4216c4,Averof Ioannis,Ioannina,N.D. (New Democracy),nd,7,1993-06-28,Resignation from Parliamentary Office(αντικαταστάτης: Charalampopoulos Konstantinos ),http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a6851439-c82a-4e4a-a271-d03cbe4216c4,
a64aa47f-1892-484a-9093-9a74ebbded40,Averof - Tositsas Evangelos,Ioannina,N.D. (New Democracy),nd,1,1974-11-17,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a64aa47f-1892-484a-9093-9a74ebbded40,
a64aa47f-1892-484a-9093-9a74ebbded40,Averof - Tositsas Evangelos,Ioannina,N.D. (New Democracy),nd,2,1977-11-20,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a64aa47f-1892-484a-9093-9a74ebbded40,
a64aa47f-1892-484a-9093-9a74ebbded40,Averof - Tositsas Evangelos,Ioannina,N.D. (New Democracy),nd,3,1981-10-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a64aa47f-1892-484a-9093-9a74ebbded40,
a64aa47f-1892-484a-9093-9a74ebbded40,Averof - Tositsas Evangelos,State,N.D. (New Democracy),nd,4,1985-06-02,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a64aa47f-1892-484a-9093-9a74ebbded40,
a64aa47f-1892-484a-9093-9a74ebbded40,Averof - Tositsas Evangelos,State,N.D. (New Democracy),nd,5,1989-06-18,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a64aa47f-1892-484a-9093-9a74ebbded40,
a64aa47f-1892-484a-9093-9a74ebbded40,Averof - Tositsas Evangelos,State,N.D. (New Democracy),nd,6,1990-01-02,Deceased(αντικαταστάτης: Korachais Vasileios ),http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=a64aa47f-1892-484a-9093-9a74ebbded40,
e69fa4cd-9328-4749-ab72-6f6f9078062f,Avgenakis Eleftherios,Iraklio,N.D. (New Democracy),nd,12,2007-09-16,Election,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=e69fa4cd-9328-4749-ab72-6f6f9078062f,
e69fa4cd-9328-4749-ab72-6f6f9078062f,Avgenakis Eleftherios,Iraklio,INDEPENDENT,independent,13,2010-11-23,Expelled from the Parliamentary Group,http://www.hellenicparliament.gr/en/Vouleftes/Diatelesantes-Vouleftes-Apo-Ti-Metapolitefsi-Os-Simera/?MpId=e69fa4cd-9328-4749-ab72-6f6f9078062f,
