id,name,area,group,image,term,source
214,Herman R. Longsworth,Albert,United Democratic Party,http://nationalassembly.gov.bz/images/house_of_rep/herman_longsworth.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/214-hon-herman-longsworth
213,Mark Anthony King,Lake Independence,United Democratic Party,http://nationalassembly.gov.bz/images/house_of_rep/mark_king.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/213-hon-mark-king
139,Francis Fonseca,Freetown,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/f_fonseca.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/139-hon-francis-fonseca-
138,Rt. Said Wilbert Musa,Fort George,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/s_musa.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/138-the-rt-hon-said-musa
135,John Briceño,Orange Walk Central,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/j_briceno.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/135-hon-juan-antonio-johnny-briceno-
140,Hon Florencio Julian Marin Jr.,Corozal South East,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/f_marin.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/140-hon-florencio-marin-jr-
137,Michael Joseph Espat,Toledo East,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/michael_espat.png.png,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/137-hon-michael-joseph-espat-
d_balderamos.jpg,Dolores Balderamos Garcia,Belize Rural Central,People's United Party,http://nationalassembly.gov.bz/images/past_senate/d_balderamos.jpg,2012,http://nationalassembly.gov.bz/images/past_senate/d_balderamos.jpg
136,Rodwell Stephen Ferguson Sr.,Stann Creek West,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/rodwell_ferguson.png,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/136-hon-rodwell-stephen-ferguson-
134,Julius Espat,Cayo South,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/j_espat.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/134-hon-julius-espat-
119,Ivan Micahel Ramos,Dangriga,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/ivan%20ramos.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/119-hon-ivan-ramos-
121,Jose Abelardo Mai,Orange Walk South,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/j_mai.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/121-hon-jose-mai-
123,Dr. Marco Tulio Mendez,Orange Walk East,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/marco%20tulio.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/123-hon-dr-marco-tulio-mendez-
117,Joseph Mahmud,Cayo North,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/j_mahmud.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/117-hon-joseph-mahmud-
130,Ramiro Ramirez,Corozal South West,People's United Party,http://nationalassembly.gov.bz/images/house_of_rep/r_ramirez.jpg,2012,http://nationalassembly.gov.bz/index.php/hor-lowerhouse/69-members-of-the-house/130-hon-ramiro-ramirez-
