name,picture,term,source
Yang Amat Mulia Pengiran Setia Negara Pengiran Haji Mohd. Yusuf bin Pengiran Haji Abdul Rahim,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_pgyusuf.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Amat%20Mulia%20Pengiran%20Setia%20Negara%20Pengiran%20Haji%20Mohd.%20Yusuf%20bin%20Pengiran%20Haji%20Abdul%20Rahim.aspx
Yang Berhormat Pehin Datu Imam Dato Paduka Seri Setia Ustaz Haji Awang Abdul Hamid bin Bakal,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_imamhamid.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20Pehin%20Datu%20Imam%20Dato%20Paduka%20Seri%20Setia%20Ustaz%20Haji%20Awang%20Abdul%20Hamid%20bin%20Bakal.aspx
Yang Berhormat Pehin Orang Kaya Maharaja Kerna Dato Paduka Seri Awang Haji Ya’akub,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_yaakub.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20Pehin%20Orang%20Kaya%20Maharaja%20Kerna%20Dato%20Paduka%20Seri%20Awang%20Haji%20Ya%E2%80%99akub.aspx
Yang Berhormat Pehin Kapitan Lela Diraja Dato Paduka Goh King Chin,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_goh.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20%20Pehin%20Kapitan%20Lela%20Diraja%20Dato%20Paduka%20Goh%20King%20Chin.aspx
Yang Berhormat Orang Kaya Maha Bijaya Awang Haji Othman bin Uking,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_othman.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20Orang%20Kaya%20Maha%20Bijaya%20Awang%20Haji%20Othman%20bin%20Uking.aspx
Yang Berhormat Datin Paduka Dayang Hajah Salbiah binti Haji Sulaiman,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_hjhsalbiah.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20Datin%20Paduka%20Dayang%20Hajah%20Salbiah%20binti%20Haji%20Sulaiman.aspx
Yang Berhormat Dato Paduka Awang Haji Abdullah bin Haji Mohd. Jaafar,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_hjabdullah.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20Dato%20Paduka%20Awang%20Haji%20Abdullah%20bin%20Haji%20Mohd.%20Jaafar.aspx
Yang Berhormat Haji Awang Ahmad Morshidi bin Pehin Orang Kaya Digadong Seri Diraja Dato Laila Utama Haji Awang Abdul Rahman,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_morshidi.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20Haji%20Awang%20Ahmad%20Morshidi%20bin%20Pehin%20Orang%20Kaya%20Digadong%20Seri%20Diraja%20Dato%20Laila%20Utama%20Haji%20Awang%20Abdul%20Rahman.aspx
Yang Berhormat Awang Haji Zulkipli bin Haji Abd. Hamid,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_zulkipli.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20Awang%20Haji%20Zulkipli%20bin%20Haji%20Abd.%20Hamid.aspx
Yang Berhormat Datin Paduka Hajah Zasia binti Sirin,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_hjhzasia.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20Datin%20Paduka%20Hajah%20Zasia%20binti%20Sirin.aspx
Yang Berhormat Haji A. Ahmad bin Husain,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_aahmad.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20%20Haji%20A.%20Ahmad%20bin%20Husain.aspx
Yang Berhormat Awang Haji Gapor @ Daud bin Karim,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_gapor.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20%20Awang%20Haji%20Gapor%20@%20Daud%20bin%20Karim.aspx
Yang Berhormat Haji Tahamit bin Haji Nudin,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_tahamit.jpg.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20Haji%20Tahamit%20bin%20Haji%20Nudin.aspx
Yang Berhormat Awang Haji Jumat bin Akim,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_jumat.jpg.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20%20Awang%20Haji%20Jumat%20bin%20Akim.aspx
Yang Berhormat Awang Haji Mohd. Shafiee bin Ahmad,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_shafiee.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20%20Awang%20Haji%20Mohd.%20Shafiee%20bin%20Ahmad.aspx
Yang Berhormat Awang Haji Md. Yusof bin Haji Dulamin,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_mdyusof.jpg.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20%20Awang%20Haji%20Md.%20Yusof%20bin%20Haji%20Dulamin.aspx
Yang Berhormat Orang Kaya Jaya Putera Dato Paduka Haji Muhammad Taha bin Abdul Rauf,http://majlis-mesyuarat.gov.bn/JMM%20Images/ahli_jmm/mmn_mdtaha.jpg.jpg,11,http://majlis-mesyuarat.gov.bn/JMM%20Site%20Pages/Yang%20Berhormat%20%20Orang%20Kaya%20Jaya%20Putera%20Dato%20Paduka%20Haji%20Muhammad%20Taha%20bin%20%20Abdul%20Rauf.aspx
