name,party,party_id,term,source,image
Dr. Nawaf Bin Bidah Al-Fagham,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Nawaf+Bin+Abdullah+Al-Faghm,http://www.shura.gov.sa/img/ar/cv/nawaf-alfakm.jpg
Nayef bin Marzouq bin Manea Al-Fahhadi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Nayef+bin+Marzouq+bin+Manea+Al-Fahhadi,""
Dr.Nihad bint Mohammed Saeed bin Ahmed Al-Jeshi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Nihad+bint+Mohammed+Saeed+bin+Ahmed+Al-Jeshi,""
Dr.Nora bint Abdulaziz bin Abdulrahman Al-Mubarak,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Nora+bint+Abdulaziz+bin+Abdulrahman+Al-Mubarak,""
Dr.Nora bint Abdullah bin Abdulrahman Al-Adwan,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Nora+bint+Abdullah+bin+Abdulrahman+Al-Adwan,""
Dr.Nora bint Abdullah bin Ibrahim Al-Asqah,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Nora+bint+Abdullah+bin+Ibrahim+Al-Asqah,""
Osama Bin Ali Qabani,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Osama+Bin+Majed+Qabany,http://www.shura.gov.sa/img/ar/cv/osama_kabany.jpg
Rashed Bin Hamad Al-Katheery,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Rashed+Bin+Hamad+Al-Katheery,http://www.shura.gov.sa/img/en/cv/Img152.jpg
Dr. Saad Bin Abdulrahman Al-Bazee,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Saad+Bin+Mohammad+Al-Bazeee,http://www.shura.gov.sa/img/ar/cv/saad_albazee.jpg
Dr. Saad Mohammed Ahmed,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/shuraen/internet/cv,
Dr. Sadoun Bin Saad Al-Sadoun.,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Saadoon+Bin+Saadoon+Al-Saadoon,http://www.shura.gov.sa/img/ar/cv/saadoon-alsaadoon.jpg
Dr. Sadaka Yehia Fadil,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Sadaka+Yehia+Fadil,http://www.shura.gov.sa/img/ar/cv/yahya_fadel.jpg
Dr. Saeed Bin Abdullah Al-Sheikh,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Saeed+Bin+Eissa+Al-Sheikh,http://www.shura.gov.sa/img/ar/cv/saeed_alsheikh.jpg
Saleh bin Abdulaziz bin Abdullah Al-Hemaidi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Saleh+bin+Abdulaziz+bin+Abdullah+Al-Hemaidi,""
Saleh Eid H. AL-Hussini,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Saleh+Eid+H.+Al-Huseini,http://www.shura.gov.sa/img/ar/cv/Img164.jpg
Saleh bin Hasan bin Abdullah Al-Afaleq,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Saleh+bin+Hasan+bin+Abdullah+Al-Afaleq,""
Salem A. AL-Qahtani,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Salem+A.+Al-Qahtani,http://www.shura.gov.sa/img/ar/cv/salem_qahtani.jpg
Dr.Salwa bint Abdullah bin Fahad Al-Hazaa,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Salwa+bint+Abdullah+bin+Fahad+Al-Hazaa,""
Dr.Sami bin Mohammed bin Hussein Zaidan,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Sami+bin+Mohammed+bin+Hussein+Zaidan,""
Her Royal Highness Princess Sarah bint Faisal bin Abdulaziz Al-Saud,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Her+Royal+Highness+Princess+Sarah+bint+Faisal+bin+Abdulaziz+Al-Saud,""
Dr.Sattam bin Saud bin Abdullah Linjawe,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Sattam+bin+Saud+bin+Abdullah+Linjawe,""
Saud Bin Abdulrahman Al-Shammari,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Saud+A.+Al-Shammari,http://www.shura.gov.sa/img/ar/cv/Img159.jpg
Dr. Saud Humaid Al-Subaie,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Saud+Humaid+Al-Subayi,http://www.shura.gov.sa/img/ar/cv/Img158.jpg
Sulaiman Bin Abdullah Al-Majed,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Sulaiman+Bin+Naser+Al-Majed,http://www.shura.gov.sa/img/ar/cv/sulaiman_almajed.jpg
Dr.Sultan bin Hasan bin Sultan Al-Sultan,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Sultan+bin+Hasan+bin+Sultan+Al-Sultan,""
Dr. Tariq Bin Ali Fadaq,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Tarek+Bin+Hassan+Fadaak,""
Mej.Thamer bin Abdulmohsen bin Musaed Al-Ginawe,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Mej.Thamer+bin+Abdulmohsen+bin+Musaed+Al-Ginawe,""
Dr. Thamer Bin Naser Ghushayyan,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Thamer+Bin+Fahd+Al-Ghushian,http://www.shura.gov.sa/img/ar/cv/thamer_ushaian.jpg
Dr.Thuraya bint Ahmed bin Obeid bin Mohammed Obeid,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Thuraya+bint+Ahmed+bin+Obeid+bin+Mohammed+Obeid,""
Dr.Thuraya bint Ibrahim bin Hussein Al-Areedh,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Thuraya+bint+Ibrahim+bin+Hussein+Al-Areedh,""
Dr.Wafa bint Mahmoud bin Abdullah Taibah,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Wafa+bint+Mahmoud+bin+Abdullah+Taibah,""
Yahya Bin Abdullah Alsaman,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Yahya+Samaan,http://www.shura.gov.sa/img/ar/cv/yahya_samaan.jpg
Dr.Zainet bint Muthanna bin Abduou Abu-Taleb,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Zainet+bint+Muthanna+bin+Abduou+Abu-Taleb,""
Dr. Zuhair Bin Fahad Al-Harthy,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Zuhair+Bin+Jaber+Al-Harthy,""
