name,party,party_id,term,source,image
Abdul-Rahman A. Al-Swailem,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Abdurrahman+A.+Al-Swailem,http://www.shura.gov.sa/img/ar/cv/abdulrahman_alsuwailim.jpg
Abdulrahman bin Abdulmohsen bin Abdullah Al-Abdulkadir,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Abdulrahman+bin+Abdulmohsen+bin+Abdullah+Al-Abdulkadir,""
Dr. Abdul-Rahman Bin Ahamd Heijan,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Abdul-Rahman+Bin+Mohammad+Heijan,http://www.shura.gov.sa/img/ar/cv/abdulrahman_haiban.jpg
Abdul-Rahman N. S. Al-Atewi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Abdulrhman+N.+S.+AL+-+Atawi,http://www.shura.gov.sa/img/ar/cv/Img177.jpg
Abdulrahman bin Rashid bin Abdulrahman Al-Rashid,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Abdulrahman+bin+Rashid+bin+Abdulrahman+Al-Rashid,""
Dr.Adnan bin Ahmed bin Hasan Al-Bar,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Adnan+bin+Ahmed+bin+Hasan+Al-Bar,""
Ahmed bin Ibrahim bin Meen Al-Hakami,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Ahmed+bin+Ibrahim+bin+Meen+Al-Hakami,""
Dr.Ahmed bin Mahdi bin Mohammed Al-Shuwaikhat,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Ahmed+bin+Mahdi+bin+Mohammed+Al-Shuwaikhat,""
Dr.Ahmed bin Mohammed bin Aboush Al-Ghamdi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Ahmed+bin+Mohammed+bin+Aboush+Al-Ghamdi,""
Dr. Ahmad Bin Omar Al-Zailaee,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Ahmad+Bin+Mohammad+Al-Zeelee,http://www.shura.gov.sa/img/ar/cv/ahmda_alzelaey.jpg
Dr. Ahmed S. AL- Mofarh,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Ahmed+S.+AL-+Mofarh,http://www.shura.gov.sa/img/ar/cv/Img135.jpg
Dr. Ali Bin Abdullah Al-Ghamdi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Ali+Bin+Maghram+Al-Ghamdi,http://www.shura.gov.sa/img/ar/cv/ali_alghamdi.jpg
Maj.Gen.Ali bin Mohammed bin Fahd Al-Tamimi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Maj.Gen.Ali+bin+Mohammed+bin+Fahd+Al-Tamimi,""
Ali Bin Nasser Alwizra,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Ali+Bin+Dahsh+Al-Wazrah,http://www.shura.gov.sa/img/ar/cv/ali_alwazrah.jpg
Dr. Ali Bin Saad Al-Tokeis,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Ali+Bin+Saad+Al-Takhis,http://www.shura.gov.sa/img/ar/cv/ali_altkyes.jpg
Dr.Al-Jawharah bint Ibrahim bin Mohammed Bu-Besht,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Al-Jawharah+bint+Ibrahim+bin+Mohammed+Bu-Besht,""
Dr.Amal bint Salamah bin Sulaiman Al-Shaman,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Amal+bint+Salamah+bin+Sulaiman+Al-Shaman,""
