id,name,start_date,end_date,source
2007,2007–2012,2007,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin
2012,2012–,2012,,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin
