name,party,term,area,area_id,source
"HARRIGAN, Kenneth",Anguilla National Alliance,1989,1,Island Harbour,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp
"HARRIGAN, Kenneth",Anguilla National Alliance,1994,1,Island Harbour,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp
"HARRIGAN, Kenneth",Anguilla National Alliance,1999,1,Island Harbour,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp
"HARRIGAN, Kenneth",Anguilla National Alliance,2000,1,Island Harbour,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp
"HARRIGAN, Kenneth",Anguilla United Front,2005,1,Island Harbour,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp
"VANTERPOOL, Othyn",Anguilla United Front,2010,1,Island Harbour,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp
"WEBSTER, Pamalvon",Independent,2015,1,Island Harbour,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp
"FLEMING, Osbourne B.",Independent,1989,2,Sandy Hill,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp
"FLEMING, Osbourne B.",Independent,1994,2,Sandy Hill,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp
"FLEMING, Osbourne B.",Anguilla National Alliance,1999,2,Sandy Hill,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp
"FLEMING, Osbourne B.",Anguilla National Alliance,2000,2,Sandy Hill,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp
"FLEMING, Osbourne B.",Anguilla United Front,2005,2,Sandy Hill,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp
"ROBERTS, Jerome",Anguilla Progressive Party,2010,2,Sandy Hill,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp
"RICARDSON-HODGE, Cora",Anguilla United Front,2015,2,Sandy Hill,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp
"REID, Eric",Anguilla National Alliance,1989,3,Valley North,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp
"REID, Eric",Anguilla National Alliance,1994,3,Valley North,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp
"REID, Eric",Anguilla National Alliance,1999,3,Valley North,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp
"REID, Eric",Anguilla National Alliance,2000,3,Valley North,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp
"ROGERS, Evans McNiel",Anguilla United Front,2005,3,Valley North,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp
"ROGERS, Evans McNiel",Anguilla United Front,2010,3,Valley North,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp
"ROGERS, Evans McNiel",Anguilla United Front,2015,3,Valley North,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp
"BANKS, Victor",Anguilla Democratic Party,1989,4,Valley South,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp
"BANKS, Victor",Anguilla Democratic Party,1994,4,Valley South,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp
"BANKS, Victor",Anguilla Democratic Party,1999,4,Valley South,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp
"BANKS, Victor",Anguilla Democratic Party,2000,4,Valley South,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp
"BANKS, Victor",Anguilla United Front,2005,4,Valley South,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp
"GUMBS, Evans",Anguilla United Movement,2010,4,Valley South,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp
"BANKS, Victor",Anguilla United Front,2015,4,Valley South,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp
"GUMBS, Emile",Anguilla National Alliance,1989,5,Road North,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp
