name,wikiname,party,party_wikiname,area,term,source
Ke Kim Yan,"",Cambodian People's Party,Cambodian People's Party,Banteay Meanchey Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Yim Chhay Ly,"",Cambodian People's Party,Cambodian People's Party,Banteay Meanchey Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Pal Sam Oeun,Pal Sam Oeun,Cambodian People's Party,Cambodian People's Party,Banteay Meanchey Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Oung Oeun,"",Cambodian People's Party,Cambodian People's Party,Banteay Meanchey Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Long Ry,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Banteay Meanchey Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Yun Tharo,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Banteay Meanchey Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Sar Kheng,Sar Kheng,Cambodian People's Party,Cambodian People's Party,Battambang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ngin Khorn,Ngin Khorn,Cambodian People's Party,Cambodian People's Party,Battambang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Sak Setha,"",Cambodian People's Party,Cambodian People's Party,Battambang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Nim Thot,Nim Thot,Cambodian People's Party,Cambodian People's Party,Battambang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Ly Kimleang,"",Cambodian People's Party,Cambodian People's Party,Battambang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Mu Sochua,Mu Sochua,Cambodia National Rescue Party,Cambodia National Rescue Party,Battambang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
Long Butta,"",Cambodia National Rescue Party,Cambodia National Rescue Party,Battambang Province,5,https://en.wikipedia.org/wiki/List_of_MPs_of_the_National_Assembly_of_Cambodia
