id,wikidata
A,Q190219
H,Q586364
KrF,Q1166025
Sp,Q493685
FrP,Q485665
V,Q500190
SV,Q488418
SVf,Q6791740
NKP,Q587803
ALP,Q12301433
SF,Q1771531
DNF,Q3773198
MDG,Q1518568
FFF,Q1812177
Kp,Q1580985
RV,Q2601661
