id,name,group,area,image,votes,term,winner
reginald_austrie,Reginald V. Austrie,DLP,Cottage,http://electoraloffice.gov.dm/images/2014_ge/reginald_austrie.png,1029,2014,yes
roosevelt_skerrit,Roosevelt Skerrit,DLP,Vieille Case,http://electoraloffice.gov.dm/images/2014_ge/roosevelt_skerrit.png,1098,2014,yes
ian_douglas,Ian C. Douglas,DLP,Portsmouth,http://electoraloffice.gov.dm/images/2014_ge/ian_douglas.png,1202,2014,yes
catherine_daniel,Lady Catherine Daniel,DLP,Colihaut,http://electoraloffice.gov.dm/images/2014_ge/catherine_daniel.png,706,2014,yes
roselyn_paul,Roselyn V. Paul,DLP,Paix Bouche,http://electoraloffice.gov.dm/images/2014_ge/roselyn_paul.png,1212,2014,yes
ezekiel_bazil,Ezekiel Bazil,UWP,Wesley,http://electoraloffice.gov.dm/images/2014_ge/ezekiel_bazil.png,940,2014,yes
hector_john,Hector John,UWP,Salisbury,http://electoraloffice.gov.dm/images/2014_ge/hector_john.png,881,2014,yes
kelver_darroux,Kelver D. Darroux,DLP,St. Joseph,http://electoraloffice.gov.dm/images/2014_ge/kelver_darroux.png,1198,2014,yes
lennox_linton,Lennox I. Linton,UWP,Marigot,http://electoraloffice.gov.dm/images/2014_ge/lennox_linton.png,935,2014,yes
johnson_drigo,Johnson Drigo,DLP,Castle Bruce,http://electoraloffice.gov.dm/images/2014_ge/johnson_drigo.png,944,2014,yes
casius_darroux,Casius Darroux,DLP,Salybia,http://electoraloffice.gov.dm/images/2014_ge/casius_darroux.png,1152,2014,yes
rayburn_blackmoore,Rayburn J. Blackmoore,DLP,Mahaut,http://electoraloffice.gov.dm/images/2014_ge/rayburn_blackmoore.png,2209,2014,yes
ivor_stephenson,Ivor Stephenson,DLP,Morne Jaune/Riviere Cyrique,http://electoraloffice.gov.dm/images/2014_ge/ivor_stephenson.png,622,2014,yes
collin_mcIntyre,John C. Mc Intyre,DLP,Roseau Valley,http://electoraloffice.gov.dm/images/2014_ge/collin_mcIntyre.png,944,2014,yes
daniel_lugay,Daniel A. Lugay,UWP,Roseau North,http://electoraloffice.gov.dm/images/2014_ge/daniel_lugay.png,2266,2014,yes
petter_saint_jean,Petter Saint-Jean,DLP,La Plaine,http://electoraloffice.gov.dm/images/2014_ge/petter_saint_jean.png,842,2014,yes
joseph_isaac,"Joseph ""Zico"" Isaac",UWP,Roseau Central,http://electoraloffice.gov.dm/images/2014_ge/joseph_isaac.png,991,2014,yes
joshua_francis,Joshua Francis,UWP,Roseau South,http://electoraloffice.gov.dm/images/2014_ge/joshua_francis.png,2185,2014,yes
kenneth_darroux,Kenneth M. Darroux,DLP,Petite Savanne,http://electoraloffice.gov.dm/images/2014_ge/kenneth_darroux.png,1183,2014,yes
ian_pinard,Ian Pinard,DLP,Soufriere,http://electoraloffice.gov.dm/images/2014_ge/ian_pinard.png,1326,2014,yes
justina_charles,Justina Charles,DLP,Grand Bay,http://electoraloffice.gov.dm/images/2014_ge/justina_charles.png,1426,2014,yes
