name,wikiname,area,area_id,party,party_id,term,source
Nəriman Əliyev,Nəriman Əliyev (millət vəkili),Masallı şəhər seçki dairəsi,70,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Elmira Axundova,Elmira Axundova,Masallı kənd seçki dairəsi,71,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Sabir Rüstəmxanlı,Sabir Rüstəmxanlı,Yardımlı-Masallı seçki dairəsi,72,Vətəndaş Həmrəyliyi Partiyası,VHP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Rüfət Quliyev,Rüfət Quliyev,Lənkəran şəhər seçki dairəsi,73,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Hadı Rəcəbli,Hadı Rəcəbli,Lənkəran kənd seçki dairəsi,74,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Cavanşir Paşazadə,Cavanşir Paşazadə,Lənkəran-Masallı seçki dairəsi,75,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Ziyafət Əsgərov,Ziyafət Əsgərov,Lənkəran-Astara seçki dairəsi,76,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Aslan Cəfərov,Aslan Cəfərov,Astara seçki dairəsi,77,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
İqbal Məmmədov,İqbal Məmmədov,Lerik seçki dairəsi,78,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Əsabil Qasımov,Əsabil Qasımov,İmişli seçki dairəsi,79,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Çingiz Qənizadə,Çingiz Qənizadə,İmişli-Beyləqan seçki dairəsi,80,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Ayaz Orucov,Ayaz Orucov,Beyləqan seçki dairəsi,81,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Tahir Rzayev,Tahir Rzayev,Ağcabədi seçki dairəsi,82,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Aqil Abbas,Aqil Abbas,Ağcabədi-Füzuli seçki dairəsi,83,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Bahar Muradova,Bahar Muradova,Füzuli seçki dairəsi,84,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Elxan Süleymanov,Elxan Süleymanov,Şamaxı seçki dairəsi,85,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Novruzəli Aslanov,Novruzəli Aslanov,İsmayıllı seçki dairəsi,86,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Ərəstun Cavadov,Ərəstun Cavadov,Ağsu-İsmayıllı seçki dairəsi,87,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Sabir Hacıyev,Sabir Hacıyev (millət vəkili),Göyçay seçki dairəsi,88,Vətəndaş Birliyi Partiyası,VBP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Şəmsəddin Hacıyev,Şəmsəddin Hacıyev,Göyçay-Ağdaş seçki dairəsi,89,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Çingiz Əsədullayev,Çingiz Əsədullayev,Ağdaş seçki dairəsi,90,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Elton Məmmədov,Elton Məmmədov,Ucar seçki dairəsi,91,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Jalə Əliyeva,Jalə Əliyeva,Zərdab-Ucar seçki dairəsi,92,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Zahid Oruc,Zahid Oruc,Bərdə şəhər seçki dairəsi,93,Ana Vətən Partiyası,AVP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Gövhər Baxşəliyeva,Gövhər Baxşəliyeva,Bərdə kənd seçki dairəsi,94,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Sahib Alıyev,Sahib Alıyev,Tərtər seçki dairəsi,95,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Mahir Aslanov,Mahir Aslanov,Goranboy-Naftalan seçki dairəsi,96,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Gülçöhrə Məmmədova,Gülçöhrə Məmmədova,Goranboy-Ağdam-Tərtər seçki dairəsi,97,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Sahibə Qafarova,Sahibə Qafarova,Şəmkir şəhər seçki dairəsi,98,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Məlahət İbrahimqızı,Məlahət İbrahimqızı,Şəmkir kənd seçki dairəsi,99,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Mübariz Qurbanlı,Mübariz Qurbanlı,Şəmkir-Daşkəsən seçki dairəsi,100,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Rövşən Rzayev,Rövşən Rzayev (millət vəkili),Göygöl-Daşkəsən seçki dairəsi,101,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Valeh Ələsgərov,Valeh Ələsgərov,Samux-Şəmkir seçki dairəsi,102,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Sevinc Hüseynova,Sevinc Hüseynova,Gədəbəy seçki dairəsi,103,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Rafiq Məmmədhəsənov,Rafiq Məmmədhəsənov,Gədəbəy-Tovuz seçki dairəsi,104,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Qənirə Paşayeva,Qənirə Paşayeva,Tovuz seçki dairəsi,105,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
İlyas İsmayılov,İlyas İsmayılov,Tovuz-Qazax-Ağstafa seçki dairəsi,106,Ədalət Partiyası (Azərbaycan),ƏP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Əhməd Vəliyev,Əhməd Vəliyev,Qazax seçki dairəsi,107,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Nizami Cəfərov,Nizami Cəfərov,Ağstafa seçki dairəsi,108,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Rəbiyyət Aslanova,Rəbiyyət Aslanova,Balakən seçki dairəsi,109,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Hikmət Atayev,Hikmət Atayev,Zaqatala seçki dairəsi,110,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Kamilə Əliyeva,Kamilə Əliyeva,Zaqatala-Balakən seçki dairəsi,111,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Azər Kərimli,Azər Kərimli,Qax seçki dairəsi,112,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Yaqub Mahmudov,Yaqub Mahmudov,Şəki şəhər seçki dairəsi,113,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Əli Məsimli,Əli Məsimli,Şəki kənd birinci seçki dairəsi,114,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Cavanşir Feyziyev,Cavanşir Feyziyev,Şəki kənd ikinci seçki dairəsi,115,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Fəttah Heydərov,Fəttah Heydərov,Qəbələ seçki dairəsi,116,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Aqiyə Naxçıvanlı,Aqiyə Naxçıvanlı,Oğuz-Qəbələ seçki dairəsi,117,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Bəxtiyar Əliyev,Bəxtiyar Əliyev,Ağdam şəhər seçki dairəsi,118,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Bəxtiyar Sadıqov,Bəxtiyar Sadıqov,Ağdam kənd seçki dairəsi,119,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Astan Şahverdiyev,Astan Şahverdiyev,Cəbrayıl-Qubadlı seçki dairəsi,120,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Nazim Fərəcov,Nazim Fərəcov,Laçın seçki dairəsi,121,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Flora Qasımova,Flora Qasımova,Xankəndi seçki dairəsi,122,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Cavid Qurbanov,Cavid Qurbanov,Kəlbəcər seçki dairəsi,123,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Elman Məmmədov,Elman Məmmədov,Şuşa-Ağdam-Xocalı-Xocavənd seçki dairəsi,124,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
İmamverdi İsmayılov,İmamverdi İsmayılov,Zəngilan-Qubadlı seçki dairəsi,125,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
