name,wikiname,area,area_id,party,party_id,term,source
Ağalar Vəliyev,Ağalar Vəliyev,Qaradağ seçki dairəsi,11,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Mixail Zabelin,Mixail Zabelin,Qaradağ-Binəqədi-Yasamal seçki dairəsi,12,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Rauf Əliyev,Rauf Əliyev (millət vəkili),Xəzər birinci seçki dairəsi,13,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Mehriban Əliyeva,Mehriban Əliyeva,Xəzər ikinci seçki dairəsi,14,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Etibar Hüseynov,Etibar Hüseynov,Yasamal birinci seçki dairəsi,15,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Abel Məhərrəmov,Abel Məhərrəmov,Yasamal ikinci seçki dairəsi,16,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Ülvi Quliyev,Ülvi Quliyev,Yasamal üçüncü seçki dairəsi,17,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Rasim Musabəyov,Rasim Musabəyov,Nərimanov-Nizami seçki dairəsi,18,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Əli Əhmədov,Əli Əhmədov (millət vəkili),Nərimanov birinci seçki dairəsi,19,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Adil Əliyev,Adil Əliyev,Nərimanov ikinci seçki dairəsi,20,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
