name,image,group,group_id,term,source
Josaia Voreqe Bainimarama,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/bainimarama.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Aiyaz Sayed-Khaiyum,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/khaiyum.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Pio Tikoduadua,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/tikoduadua.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Parveen Kumar,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/kumar.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Faiyaz Koya,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/koya.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Mereseini Vuniwaqa,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/vuniwaqa.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Osea Naiqamu,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/naiqamu.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Inia Batikoto Seruiratu,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/seruiratu.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Ratu Inoke Kubuabola,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/kubuabola.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Timoci Lesi Natuva,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/natuva.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Jone Usamate,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/usamate-(1).png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Dr. Mahendra Reddy,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/reddy.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Jioji Konusi Konrote,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/konrote.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Laisenia Bale Tuitubou,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/tuitubou.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Rosy Sofia Akbar,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/akbar.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Lorna Eden,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/eden.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Joeli Ratulevu Cawaki,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/cawaki.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Veena Kumar Bhatnagar,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/veena.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Vijay Nath,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/nath.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Iliesa Delana,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/delana.png.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Ruveni Nadalo,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/nadalo.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Sanjit Patel,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/patel.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Dr Brij Lal,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/lal.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Viam Pillay,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/pillay.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Balmindar Singh,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/singh.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Semi Tuleca Koroilavesau,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/koroilavesau.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
Samuela Bainikalou Vunivalu,http://www.parliament.gov.fj/getattachment/Members/Parliamentery-Parties/vunivalu.jpg.aspx,Fiji First,FF,2014,http://www.parliament.gov.fj/Members/Parliamentery-Parties.aspx
