constituency,name,party,term,source
North Guadalcanal,Samson MANEKA,United Democratic Party,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
Central Guadalcanal,Peter Shanel AGOVAKA,Independent,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
East Honiara,Douglas ETE,Independent,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
Central Honiara,John Moffat FUGUI,Independent,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
West Honiara,Namson TRAN,Independent,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
West Makira,Derek Rawcliff MANU'ARI,Solomon Islands People First Party,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
Central Makira,Nestor GIRO,Independent,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
East Makira,Alfred GHIRO,Democratic Alliance Party,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
Ulawa/Ugi,Willie Bradford MARAU,People's Alliance Party,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
Temotu Pele,Dudley KOPU,Independent,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
Temotu Nende,Commins Aston MEWA,Independent,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
Temotu Vatud,FredaAB Tuki Soria COMUA,People's Alliance Party,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results
