name,constituency,term,party,source,id,phone,image
"Abana, Hon. Steve William",Fataleka,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/592,592,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Steve%20Abana.jpg
"Agovaka, Hon. Peter Shanel",Central Guadalcanal,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/591,591,+677 28607,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Peter_Shanel_Agovaka.JPG
"Avui, Hon. Ishmael Mali",East Central Guadalcanal,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/848,848,+677 28395/28396,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Ismael_Avui.jpg
"Dettke, Hon. Horst Heinz Bodo",North-West Guadalcanal,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/503,503,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Bodo%20Dettke.jpg
"Ete, Hon. Douglas",East Honiara,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/532,532,+677 25591,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Douglas_Ete.JPG
"Fiulaua, Hon. Jackson",Central Kwara’ae,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/506,506,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Jackson_Fiulaua.JPG
"Fugui, Hon. John Moffat",Central Honiara,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/507,507,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Moffat_Fugui.JPG
"Garu, Hon. Moses",West Guadalcanal,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/521,521,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Moses_Garu.JPG
"Ghiro, Hon. Alfred",East Makira,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/845,845,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Alfred_Ghiro.JPG
"Giro, Hon. Nestor",Central Makira,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/851,851,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Nesto_Ghiro.JPG
"Houenipwela, Hon. Rick Nelson",Small Malaita,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/852,852,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Rick_Houenipwela.JPG
"Iduri, Hon. Sam Shemuel",West Kwara’ae,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/853,853,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20ShemuelSam%20Iduri.jpg
"Kaitu’u, Hon. Dr. Tautai Angikimua",Rennell-Bellona,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/915,915,+677 20830,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Dr.%20Tautai%20Angikimua%20Kaitu%E2%80%99u.jpg
"Kealoe, Hon. Martin",Malaita Outer Islands,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/855,855,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Martin%20Kealoe.jpg
"Kopu, Hon. Duddley",Temotu Pele,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/916,916,+677 28709,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Duddley%20Kopu.JPG
"Kuku, Hon. John Dean",North New Georgia,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/920,920,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_John_Dean_Kuku.JPG
"Laore, Hon. Christopher",Shortlands,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/856,856,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Christopher%20Laore.jpg
"Lusibaea, Hon. Jimmy",North Malaita,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/929,929,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Jimmy%20Lusibaea.jpg
"Maelanga, Hon. Manasseh",East Malaita,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/857,857,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Manasseh%20Maelanga.jpg
"Maeue, Hon. Augustine Auga",Lau-Mbaelelea,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/930,930,+677 22143,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Augustine%20Auga.JPG
"Maneka, Hon. Samson",North Guadalcanal,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/931,931,+677 23015,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Sam%20Maneka.JPG
"Manele, Hon. Jeremiah",Hograno-Kia-Havulei,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/935,935,+677 28052,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Jeremiah%20Manele.jpg
"Maneniaru, Hon. John",West Are’Are,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/858,858,+677 28604,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20John%20Mane.jpg
"Manepora’a, Hon Andrew",East Are’Are,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/859,859,+677 28600,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Andrew%20Manepora'a.jpg
"Manetoali, Hon. Samuel",Gao-Bugotu,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/860,860,+677 23031/23032,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Samuel_Manetoali.JPG
"Manu’ari, Hon. Derick Rawcliff",West Makira,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/833,,,
"Marau, Hon. William Bradford",Ulawa-Ugi,10,Unknown,http://www.parliament.gov.sb/index.php?q=node/833,,,
