name,prefix,party,area,gender,term,source
Anote Tong,H.E,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Tinian REIHER,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Tiarite Kwong,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Maere Tekanene,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Kautu Tenaua,Hon. Dr,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Tom Murdock,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Teima Onorio,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Boutu Bateriki,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Pinto Katia,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Taberannang Timeon,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Tawita Temoku,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Waysang Kumkee,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Titabu Taabane,Hon,Boutokaan Te Koaua - Government,"","",10,http://www.parliament.gov.ki/content/party-members
Patrick Tatireta,Mr,Boutokaan Te Koaua - Government,Marakei,male,10,http://www.parliament.gov.ki/content/party-members
Tetaake Kwong,Mr,Boutokaan Te Koaua - Government,Abaiang,male,10,http://www.parliament.gov.ki/content/party-members
Teatao Teannaki,Mr,Boutokaan Te Koaua - Government,Abaiang,male,10,http://www.parliament.gov.ki/content/party-members
Martin Tofinga,Mr,Boutokaan Te Koaua - Government,Betio,male,10,http://www.parliament.gov.ki/content/party-members
Waysang Mosi Kumkee,Mr,Boutokaan Te Koaua - Government,Nonouti,male,10,http://www.parliament.gov.ki/content/party-members
Kouraiti Beniato,Mr,Boutokaan Te Koaua - Government,Onotoa,male,10,http://www.parliament.gov.ki/content/party-members
Mote Terukaio,Mr,Boutokaan Te Koaua - Government,Nikunau,male,10,http://www.parliament.gov.ki/content/party-members
Matiota Kairo,Mr,Boutokaan Te Koaua - Government,Tamana,male,10,http://www.parliament.gov.ki/content/party-members
Kirata Temamaka,Mr,Boutokaan Te Koaua - Government,Kiritimati,male,10,http://www.parliament.gov.ki/content/party-members
Tekiau Aretaateta,Mr,Boutokaan Te Koaua - Government,Tabuaeran,male,10,http://www.parliament.gov.ki/content/party-members
Timon R. Aneri,Mr,Boutokaan Te Koaua - Government,Banaba,male,10,http://www.parliament.gov.ki/content/party-members
Paulo Vanualailai,Dr,Boutokaan Te Koaua - Government,Rabi,"",10,http://www.parliament.gov.ki/content/party-members
Rimeta Beniamina,Mr,Boutokaan Te Koaua - Government,Nikunau,male,10,http://www.parliament.gov.ki/content/party-members
Tetaua Taitai,Dr,Karikirakean Te I-Kiribati - Opposition,Tabiteuea North,"",10,http://www.parliament.gov.ki/content/party-members
James Taom,Mr,Karikirakean Te I-Kiribati - Opposition,Makin,male,10,http://www.parliament.gov.ki/content/party-members
Alexander Teabo,Mr,Karikirakean Te I-Kiribati - Opposition,Butaritari,male,10,http://www.parliament.gov.ki/content/party-members
Mr Inatio Tanentoa,Mr,Karikirakean Te I-Kiribati - Opposition,North Tarawa,male,10,http://www.parliament.gov.ki/content/party-members
Mareko Tofinga,Mr,Karikirakean Te I-Kiribati - Opposition,South Tarawa,male,10,http://www.parliament.gov.ki/content/party-members
Teburoro Tito,Mr,Karikirakean Te I-Kiribati - Opposition,South Tarawa,male,10,http://www.parliament.gov.ki/content/party-members
Willie Tokataake,Mr,Karikirakean Te I-Kiribati - Opposition,Abemama,male,10,http://www.parliament.gov.ki/content/party-members
Tebuai Uaai,Mr,Karikirakean Te I-Kiribati - Opposition,Tabiteuea South,male,10,http://www.parliament.gov.ki/content/party-members
Taaneti Mamau,Mr,Karikirakean Te I-Kiribati - Opposition,Onotoa,male,10,http://www.parliament.gov.ki/content/party-members
Tetabo Nakara,Mr,Karikirakean Te I-Kiribati - Opposition,Beru,male,10,http://www.parliament.gov.ki/content/party-members
Rereao Tetaake Eria,Mrs,Karikirakean Te I-Kiribati - Opposition,Teraina,female,10,http://www.parliament.gov.ki/content/party-members
Rutiano Benetito,Mr,Maurin Kiribati,Marakei,male,10,http://www.parliament.gov.ki/content/party-members
Nabuti Mwemwenikarawa,Mr,Maurin Kiribati,North Tarawa,male,10,http://www.parliament.gov.ki/content/party-members
Tangariki Reete,Ms,Maurin Kiribati,Betio,female,10,http://www.parliament.gov.ki/content/party-members
Ioteba Redfern,Mr,Maurin Kiribati,Betio,male,10,http://www.parliament.gov.ki/content/party-members
Martin Moreti,Mr,Maurin Kiribati,Aranuka,male,10,http://www.parliament.gov.ki/content/party-members
Teiwaki Areieta,Mr,Independent members,Maiana,male,10,http://www.parliament.gov.ki/content/party-members
Jacob Teem,Mr,Independent members,Kiritimati,male,10,http://www.parliament.gov.ki/content/party-members
Teetan Mweretaka,Mr,Independent members,Tabuaeran,male,10,http://www.parliament.gov.ki/content/party-members
