id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
TOWA,Tor Mikkel Wara,,,Fremskrittspartiet,FrP,Oslo,Storting,1989-93,,,,male
TOAS,Tora Aasland,,,Sosialistisk Venstreparti,SV,Akershus,Storting,1989-93,,,,female
TAL,Tore A. Liltved,,,Høyre,H,Aust-Agder,Storting,1989-93,,,,male
TOHU,Tore Haugen,,,Høyre,H,Akershus,Storting,1989-93,,,,male
TKV,Tove Kari Viken,,,Senterpartiet,Sp,Sør-Trøndelag,Storting,1989-93,,,,female
TRJE,Trond Jensrud,,,Arbeiderpartiet,A,Buskerud,Storting,1989-93,,,,male
ULG,Ulf Guttormsen,,,Arbeiderpartiet,A,Sør-Trøndelag,Storting,1989-93,,,,male
VK,Vidar Kleppe,,,Fremskrittspartiet,FrP,Vest-Agder,Storting,1989-93,,,,male
WESE,Wenche Frogn Sellæg,,,Høyre,H,Nord-Trøndelag,Storting,1989-93,,,,female
WELY,Wenche Lyngholm,,,Sosialistisk Venstreparti,SV,Østfold,Storting,1989-93,,,,female
WE,William Engseth,,,Arbeiderpartiet,A,Troms,Storting,1989-93,,,,male
ÅSIV,Åsa Solberg Iversen,,,Arbeiderpartiet,A,Østfold,Storting,1989-93,,,,female
ÅK,Åse Klundelien,,,Arbeiderpartiet,A,Buskerud,Storting,1989-93,,,,female
ÅSHA,Åshild Hauan,,,Arbeiderpartiet,A,Nordland,Storting,1989-93,,,,female
OHE,Øystein Hedstrøm,,,Fremskrittspartiet,FrP,Østfold,Storting,1989-93,,,,male
