name,group,term,source
Bashiir Maxamed Jaamac,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Biibi Khaliif Maxamed,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Burci Maxamed Xamza,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
C/raxmaan Cabdi Cusmaan,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
C/weli Ibraahim Sheekh Muudey,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Caadil Sheegow Sagaar,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Cabdinaasir M.Cali,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Faarax Sheekh C/qaadir maxamed,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Fahmo Axmed Nuur,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Ibraahiim Saalax Dayfullah,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Jeylaani Nur Ikar Sh. Suufi,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Khadiija Maxamed Diiriye,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Axmed Keynan,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Cumar Dhalxa,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Maxamuud Xeyd,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamuud Maxamed Jimcaale,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Mustafa Maxamed Cabdullahi,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Shariif Maxamed Siidi,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Shariif Maxamed Xasan,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Xasan Ibraahim maxamed,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Xuseen Maxamed Muuse,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Yuusuf Maxamed Ismaaciil,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Yuusuf Xeyle Jimcaale,BEESHA SHANAAD,2012,http://www.parliament.somaligov.net/The%20Members.html
Aadan Ibrahim Dhaayow,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Aadan Sheekh Maxamed,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Aweys C/lahi Ibrahiim,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Axmed Mayow Cabdulle,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
C/laahi Cabdi Garuun,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cabdi Macalin Aden,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
CabdiKaafi Macalin Xasan,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cali Aadan Xuseen,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cali Sheekh Maxamed Nuur,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cusman Libax Ibrahim,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Cusman Mukhtar Maxamed,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Dr. Ibrahiim Xuseen Cali Saalax,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Dr. Muumino Sh. Cumar2,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Dr.Khaalid Cumar Cali,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Eng Maxamud Maxamed Bonow,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Fadumo Nuur Maxamed,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Fowziya Maxamed Sheekh,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Ibrahim Cali Cumar,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Ibrahim Isaakh Yarow,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Isaaq Maxamed Cali(Riino),DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Isaaq Maxamed Maxamuud,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Isgow Derow Isaq,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Khaliif Sh. C/laahi,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Luul Cabdi Aadan,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maryan Macalin Isaaq,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Cabdi Cali,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Cali Xuseen,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Cusman Jawaari,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Kheyrow Maxamed Yusuuf,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Mursal Borow,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamed Rashiid Maxamed,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamud Macalin Yaxye,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Maxamuud Cabdi Xuseen,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Mayow Mustaf Xasan,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Mohamed Nuuraani Bakar,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Muna Ibrahim Abiikar,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Mustaf Mukhtar Gudow,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Nuur Cali Aadan,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Saalim Aliyow Ibrow,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Samaan Maxamed Sheekh,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Sayid Cali Cabdulkadir Macalin,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Sh. Shaacir Sh. Maxamed,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Sharif Maxamed Cabdalle,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Sharif Xasan Sh Aden,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Xabiibo Maxamed Kheyr,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Xasan Macalin Xuseen,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Xuseen Cismaan Xuseen,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Xuseen Maxamud Sh Xuseen,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
Yacquub Cali Maxamed,DIGIL MIRIFLE,2012,http://www.parliament.somaligov.net/The%20Members.html
A/weli Maxamed Cali Gaas,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdi Barre Yusuf Jibril,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdi Mohamed Ali,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdirisak Osman Hassan,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdiwahab Ugas Husen Ugas Khalif,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdulahi Bile Nor,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdulahi Haji Dayib,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Abdulaziz Abdulahi Mohamed,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Ahmed Ismail Mohamed,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Ali Ahmed Mohamed,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Axmed Aabi Aadan,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
Bare Ugas Geedi,DAAROOD,2012,http://www.parliament.somaligov.net/The%20Members.html
