id,name,birth_date,death_date,term,source,image,start_date,end_date,area,faction
10745,Valérie PECRESSE,1967-07-14,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10745,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10745.jpg,2007-06-10,2012-06-19,Yvelines,Union pour un mouvement populaire
10745,Valérie PECRESSE,1967-07-14,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10745,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10745.jpg,2012-06-20,"",Yvelines,Union pour un mouvement populaire
10644,Jérôme CHARTIER,1966-11-14,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10644,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10644.jpg,2002-06-16,2007-06-25,Val-d'Oise,Union pour la majorité présidentielle
10644,Jérôme CHARTIER,1966-11-14,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10644,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10644.jpg,2007-06-17,2012-06-19,Val-d'Oise,Union pour un mouvement populaire
10644,Jérôme CHARTIER,1966-11-14,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10644,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10644.jpg,2012-06-20,"",Val-d'Oise,Union pour un mouvement populaire
10747,Nicolas PERRUCHOT,1966-07-09,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10747,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10747.jpg,2002-06-16,2007-06-25,Loir-et-Cher,Union pour la démocratie française
10747,Nicolas PERRUCHOT,1966-07-09,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10747,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10747.jpg,2007-06-17,2012-06-19,Loir-et-Cher,Nouveau Centre
1209,Victor BRIAL,1966-04-09,"",11,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=1209,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/1209.jpg,1997-06-01,2002-06-18,Wallis-et-Futuna,Rassemblement pour la République
1209,Victor BRIAL,1966-04-09,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=1209,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/1209.jpg,2002-06-16,2007-06-25,Wallis-et-Futuna,Union pour la majorité présidentielle
10675,Jean-Claude FLORY,1966-03-07,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10675,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10675.jpg,2002-06-16,2007-06-25,Ardèche,Union pour la majorité présidentielle
10675,Jean-Claude FLORY,1966-03-07,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10675,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10675.jpg,2007-06-17,2012-06-19,Ardèche,Union pour un mouvement populaire
10792,Michel ZUMKELLER,1966-01-21,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10792,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10792.jpg,2002-06-16,2007-06-25,Territoire-de-Belfort,Union pour la majorité présidentielle
10792,Michel ZUMKELLER,1966-01-21,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10792,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10792.jpg,2007-06-17,2012-06-19,Territoire-de-Belfort,Union pour un mouvement populaire
