id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image
551,Alain Bocquet,,,GDR,gdr,Nord,Assemblée nationale,14,2012-06-20,,
605643,Alain Calmette,,,SRC,src,Dordogne,Assemblée nationale,14,2012-06-20,,
608662,Alain Chrétien,,alainchretien,LES-REP,les-rep,Dordogne,Assemblée nationale,14,2012-06-20,,
872,Alain Claeys,,,SRC,src,Dordogne,Assemblée nationale,14,2012-06-20,,
340432,Alain Fauré,,,SRC,src,Ain,Assemblée nationale,14,2012-06-20,,
1466,Alain Gest,,Alain_Gest,LES-REP,les-rep,Nord,Assemblée nationale,14,2012-06-20,,
609740,Alain Leboeuf,,a_leboeuf,LES-REP,les-rep,Dordogne,Assemblée nationale,14,2012-06-20,,
267512,Alain Marc,,,UMP,ump,Isère,Assemblée nationale,14,2012-06-20,2014-09-30,
2084,Alain Marleix,,MARLEIXAlain,LES-REP,les-rep,Ain,Assemblée nationale,14,2012-06-20,,
2089,Alain Marsaud,,,LES-REP,les-rep,Pas-de-Calais,Assemblée nationale,14,2012-06-20,,
267556,Alain Marty,,,LES-REP,les-rep,Nord,Assemblée nationale,14,2012-06-20,,
2250,Alain Moyne-Bressand,,moyne_bressand,LES-REP,les-rep,Essonne,Assemblée nationale,14,2012-06-20,,
2600,Alain Rodet,,,SRC,src,Dordogne,Assemblée nationale,14,2012-06-20,,
331990,Alain Rousset,,al_rousset,SRC,src,Maine-et-Loire,Assemblée nationale,14,2012-06-20,,
2775,Alain Suguenot,,A_Suguenot,LES-REP,les-rep,Oise,Assemblée nationale,14,2012-06-20,,
2828,Alain Tourret,,AlainTourret,RRDP,rrdp,Essonne,Assemblée nationale,14,2012-06-20,,
2912,Alain Vidalies,,,SRC,src,Dordogne,Assemblée nationale,14,2014-05-01,2014-09-26,
610066,Alexis Bachelay,,ABachelay,SRC,src,Dordogne,Assemblée nationale,14,2012-06-20,,
2075,Alfred Marie-Jeanne,,,GDR,gdr,Dordogne,Assemblée nationale,14,2012-06-20,,
267306,André Chassaigne,,AndreChassaigne,GDR,gdr,Oise,Assemblée nationale,14,2012-06-20,,
2675,André Santini,,ASantini_UDI,UDI,udi,Pas-de-Calais,Assemblée nationale,14,2012-06-20,,
2707,André Schneider,,,LES-REP,les-rep,Isère,Assemblée nationale,14,2012-06-20,,
343623,Anne Grommerch,,AnneGrommerch,LES-REP,les-rep,Bouches-du-Rhône,Assemblée nationale,14,2012-06-20,,
643205,Anne-Christine Lang,,,SRC,src,Bouches-du-Rhône,Assemblée nationale,14,2014-05-10,,
607919,Anne-Lise Dufour-Tonini,,,SRC,src,Nord,Assemblée nationale,14,2012-06-20,,
606555,Anne-Yvonne Le Dain,,Ayledain,SRC,src,Ain,Assemblée nationale,14,2012-06-20,,
337633,Annick Girardin,,,NI,ni,Dordogne,Assemblée nationale,14,2014-06-30,2014-07-29,
331658,Annick Le Loch,,annick_leloch,SRC,src,Maine-et-Loire,Assemblée nationale,14,2012-06-20,,
267965,Annick Lepetit,,annick_lepetit,SRC,src,Isère,Assemblée nationale,14,2012-06-20,,
605991,Annie Genevard,,,LES-REP,les-rep,Oise,Assemblée nationale,14,2012-06-20,,
605888,Annie Le Houerou,,,SRC,src,Nord,Assemblée nationale,14,2012-06-20,,
267355,Antoine Herth,,,LES-REP,les-rep,Oise,Assemblée nationale,14,2012-06-20,,
267227,Arlette Grosskost,,agrosskost,LES-REP,les-rep,Oise,Assemblée nationale,14,2012-06-20,,
1748,Armand Jung,,,SRC,src,Dordogne,Assemblée nationale,14,2012-06-20,,
610905,Arnaud Leroy,,ar_leroy,SRC,src,Oise,Assemblée nationale,14,2012-06-20,,
345897,Arnaud Richard,,ArnaudRichard_,UDI,udi,Maine-et-Loire,Assemblée nationale,14,2012-06-20,,
417099,Arnaud Robinet,,ArnaudRobinet,LES-REP,les-rep,Dordogne,Assemblée nationale,14,2012-06-20,,
610615,Ary Chalus,,,RRDP,rrdp,Isère,Assemblée nationale,14,2012-06-20,,
607761,Audrey Linkenheld,,,SRC,src,Ain,Assemblée nationale,14,2012-06-20,,
333611,Aurélie Filippetti,,,SRC,src,Dordogne,Assemblée nationale,14,2014-09-27,,
642682,Avi Assouly,,,SRC,src,Oise,Assemblée nationale,14,2012-07-22,2014-05-02,
267886,Axel Poniatowski,,AxelPoniatowski,LES-REP,les-rep,Ain,Assemblée nationale,14,2012-06-20,,
