id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
fritz_rudolf_körper,Fritz Rudolf Körper,,,SPD,spd,Rheinland-Pfalz,Bundestag,14,,,,
fritz_schösser,Fritz Schösser,,,SPD,spd,Bayern,Bundestag,14,,,,
gabriele_fograscher,Gabriele Fograscher,,,SPD,spd,Bayern,Bundestag,14,,,,
gabriele_iwersen,Gabriele Iwersen,,,SPD,spd,Niedersachsen,Bundestag,14,,,,
gabriele_lösekrug-möller,Gabriele Lösekrug-Möller,,,SPD,spd,Niedersachsen,Bundestag,14,2001-11-01,,,
georg_brunnhuber,Georg Brunnhuber,,,CDU,cdu,Baden-Württemberg,Bundestag,14,,,,
georg_girisch,Georg Girisch,,,CSU,csu,Bayern,Bundestag,14,,,,
georg_janovsky,Georg Janovsky,,,CDU,cdu,Sachsen,Bundestag,14,,,,
georg_pfannenstein,Georg Pfannenstein,,,SPD,spd,Bayern,Bundestag,14,,,,
gerald_häfner,Gerald Häfner,,,Bündnis 90/Die Grünen,die_grünen,Bayern,Bundestag,14,2001-04-01,,,
gerald_thalheim,Gerald Thalheim,,,SPD,spd,Sachsen,Bundestag,14,,,,
gerald_weiß,Gerald Weiß,,,CDU,cdu,Hessen,Bundestag,14,,,,
gerd_andres,Gerd Andres,,,SPD,spd,Niedersachsen,Bundestag,14,,,,
gerd_höfer,Gerd Höfer,,,SPD,spd,Hessen,Bundestag,14,,,,
gerd_müller_(csu),Gerd Müller,,,CSU,csu,Bayern,Bundestag,14,,,,
gerda_hasselfeldt,Gerda Hasselfeldt,,,CSU,csu,Bayern,Bundestag,14,,,,
gerhard_friedrich_(csu),Gerhard Friedrich,,,CSU,csu,Bayern,Bundestag,14,,,,
gerhard_jüttemann,Gerhard Jüttemann,,,PDS,pds,Thüringen,Bundestag,14,,,,
gerhard_neumann_(politiker),Gerhard Neumann,,,SPD,spd,Thüringen,Bundestag,14,,,,
