id,name,image
11,Afioga AFOAFOUVALE John Moors,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-AFOAFOUVALE-John-Moors.png
12,Afioga AFUALO Dr Wood Uti Salele,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-AFUALO-Dr-Wood-Uti-Salele.png
13,Afioga Hon AEAU Peniamina Leavaseeta,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-AEAU-Peniamina-Leavaseeta.png
14,Afioga Hon FAUMUINA Tiatia Faaolatane Liuga,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-FAUMUINA-Tiatia-Faaolatane-Liuga.png
15,Afioga Hon FIAME Naomi Mataafa,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-FIAME-Naomi-Mataafa.png
16,Afioga Hon GATOLOAIFAANA Amataga Alesana Gidlow,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-GATOLOAIFAANA-Amataga-Alesana-Gidlow.png
17,Afioga Hon LE MAMEA Ropati,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-LE-MAMEA-Ropati.png
18,Afioga Hon LEAUPEPE Toleafoa Apulu Faafisi,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-LEAUPEPE-Toleafoa-Apulu-Faafisi.png
19,Afioga Hon MAGELE Mauiliu Magele,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-MAGELE-Mauiliu-Magele.png
20,Afioga Hon PALUSALUE Faapo II,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-PALUSALUE-Faapo-II.png
21,Afioga Hon SALA Fata Lisati Pinati,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-SALA-Fata-Lisati-Pinati.png
22,Afioga Hon TUISUGALETAUA Sofara Aveau,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-TUISUGALETAUA-Sofara-Aveau.png
23,Afioga Hon TUITAMA Talalelei Tuitama,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-TUITAMA-Talalelei-Tuitama.png
24,Afioga LAFAITELE Patrick Leiataualesa,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-LAFAITELE-Patrick-Leiataualesa.png
25,Hon Afioga LAUTAFI Fio Selafi Purcell,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-LAUTAFI-Fio-Selafi-Purcell.png
26,Afioga MAUALAIVAO Pat Ah Him,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-MAUALAIVAO-Pat-Ah-Him.png
27,Afioga PESETA Vaifou Tevaga,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-PESETA-Vaifou-Tevaga.png
28,Afioga TAEFU Lemi,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-TAEFU-Lemi.png
30,Afioga TIALAVEA Fea Tionisio Seigafolava,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-TIALAVEA-Fea-Tionisio-Seigafolava.png
31,Afioga TUFUGA Gafoaleata Faitua,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-TUFUGA-Gafoaleata-Faitua.png
