name,group,area,wikipedia,portfolio,term,source
Milton Dube,Government,Aiwo,https://en.wikipedia.org/wiki/Milton_Dube,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Aaron Cook,Government,Aiwo,"","Commerce, Industry & Environment; RONPhos; Nauru Rehabilitation Corporation",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Riddell Akua,Government,Anabar,https://en.wikipedia.org/wiki/Riddell_Akua,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Ludwig Scotty,Government,Anabar,https://en.wikipedia.org/wiki/Ludwig_Scotty,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Cyril Buraman,Government,Anetan,https://en.wikipedia.org/wiki/Cyril_Buraman,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Marcus Stephen,Opposition,Anetan,https://en.wikipedia.org/wiki/Marcus_Stephen,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Mathew Batsiua,Opposition,Boe,https://en.wikipedia.org/wiki/Mathew_Batsiua,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Baron Waqa,Government,Boe,https://en.wikipedia.org/wiki/Baron_Waqa,Public Service; Police & Emergency Services; Foreign Affairs & Trade; Climate Change,21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Shadlog Bernicke,Government,Buada,https://en.wikipedia.org/wiki/Shadlog_Bernicke,Phosphate; Nauru Utilities Corporation; Telecommunications,21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Roland Kun,Opposition,Buada,https://en.wikipedia.org/wiki/Roland_Kun,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Sprent Dabwido,Government,Meneng,https://en.wikipedia.org/wiki/Sprent_Dabwido,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Lyn-Wannan Kam,Government,Meneng,https://en.wikipedia.org/wiki/Lyn-Wannan_Kam,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Squire Jeremiah,Government,Meneng,https://en.wikipedia.org/wiki/Squire_Jeremiah,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
David Adeang,Government,Ubenide,https://en.wikipedia.org/wiki/David_Adeang,Finance & Sustainable Development; Justice; Eigigu Holdings Corporation; Airline,21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Russ J. Kun,Opposition,Ubenide,https://en.wikipedia.org/wiki/Russell_Kun,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Valdon Dowiyogo,Government,Ubenide,https://en.wikipedia.org/wiki/Valdon_Dowiyogo,Health;Transport;Sports;Fisheries,21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Ranin Akua,Government,Ubenide,"","",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Kieren Keke,Opposition,Yaren,https://en.wikipedia.org/wiki/Kieren_Keke,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Charmaine Scotty,Government,Yaren,https://en.wikipedia.org/wiki/Charmaine_Scotty,Home Affairs; Education and Youth; Land Management,21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
