name,party,term,constituency,source,image,facebook
Donald HALSTEAD,PLM,1971,St. John's City West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCW.asp,,
Donald HALSTEAD,PLM,1976,St. John's City West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCW.asp,,
George PIGOTT,PLM,1980,St. John's City West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCW.asp,,
Henderson SIMON,ALP,1984,St. John's City West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCW.asp,,
Henderson SIMON,ALP,1989,St. John's City West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCW.asp,,
Donald HALSTEAD,UPP,1994,St. John's City West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCW.asp,,
Gaston Alphonso BROWNE,ALP,1999,St. John's City West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCW.asp,http://www.caribbeanelections.com/ag/images/people/Gaston_Browne_2014c.jpg,https://www.facebook.com/gaston.browne
Gaston Alphonso BROWNE,ALP,2004,St. John's City West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCW.asp,http://www.caribbeanelections.com/ag/images/people/Gaston_Browne_2014c.jpg,https://www.facebook.com/gaston.browne
Gaston Alphonso BROWNE,ALP,2009,St. John's City West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCW.asp,http://www.caribbeanelections.com/ag/images/people/Gaston_Browne_2014c.jpg,https://www.facebook.com/gaston.browne
Gaston Alphonso BROWNE,ABLP,2014,St. John's City West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCW.asp,http://www.caribbeanelections.com/ag/images/people/Gaston_Browne_2014c.jpg,https://www.facebook.com/gaston.browne
Basil PETERS,PLM,1971,St. John's City East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCE.asp,,
John ST. LUCE,ALP,1976,St. John's City East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCE.asp,,
John ST. LUCE,ALP,1980,St. John's City East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCE.asp,,
John ST. LUCE,ALP,1984,St. John's City East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCE.asp,,
John ST. LUCE,ALP,1989,St. John's City East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCE.asp,,
John ST. LUCE,ALP,1994,St. John's City East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCE.asp,,
John ST. LUCE,ALP,1999,St. John's City East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCE.asp,,
Harold LOVELL,UPP,2004,St. John's City East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCE.asp,http://www.caribbeanelections.com/ag/images/people/Harold_Lovell_2014.jpg,https://www.facebook.com/harold.lovell.7
Harold LOVELL,UPP,2009,St. John's City East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCE.asp,http://www.caribbeanelections.com/ag/images/people/Harold_Lovell_2014.jpg,https://www.facebook.com/harold.lovell.7
Melford NICHOLAS,ABLP,2014,St. John's City East,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCE.asp,http://www.caribbeanelections.com/ag/images/people/Melford_Nicholas_2014c.jpg,https://www.facebook.com/pages/Melford-W-Nicholas/44273198402
Sydney CHRISTIAN,PLM,1971,St. John's City South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCS.asp,,
Christopher O'MARD,ALP,1976,St. John's City South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCS.asp,,
Christopher O'MARD,ALP,1980,St. John's City South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCS.asp,,
Christopher O'MARD,ALP,1984,St. John's City South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCS.asp,,
Christopher O'MARD,ALP,1989,St. John's City South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCS.asp,,
Steadroy 'Cutie' BENJAMIN,ALP,1994,St. John's City South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCS.asp,http://www.caribbeanelections.com/ag/images/people/Steadroy_Benjamin_2014c.jpg,https://www.facebook.com/CutieBenjamin
Steadroy 'Cutie' BENJAMIN,ALP,1999,St. John's City South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCS.asp,http://www.caribbeanelections.com/ag/images/people/Steadroy_Benjamin_2014c.jpg,https://www.facebook.com/CutieBenjamin
Steadroy 'Cutie' BENJAMIN,ALP,2004,St. John's City South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCS.asp,http://www.caribbeanelections.com/ag/images/people/Steadroy_Benjamin_2014c.jpg,https://www.facebook.com/CutieBenjamin
Steadroy 'Cutie' BENJAMIN,ALP,2009,St. John's City South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCS.asp,http://www.caribbeanelections.com/ag/images/people/Steadroy_Benjamin_2014c.jpg,https://www.facebook.com/CutieBenjamin
Steadroy 'Cutie' BENJAMIN,ABLP,2014,St. John's City South,http://www.caribbeanelections.com/ag/election2014/constituencies/SJCS.asp,http://www.caribbeanelections.com/ag/images/people/Steadroy_Benjamin_2014c.jpg,https://www.facebook.com/CutieBenjamin
Selvyn WALTER,PLM,1971,St. John's Rural West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRW.asp,,
Donald CHRISTIAN,ALP,1976,St. John's Rural West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRW.asp,,
Donald CHRISTIAN,ALP,1980,St. John's Rural West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRW.asp,,
Donald CHRISTIAN,ALP,1984,St. John's Rural West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRW.asp,,
Winston Baldwin SPENCER,UNDP,1989,St. John's Rural West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRW.asp,http://www.caribbeanelections.com/ag/images/people/Baldwin_Spencer_2014.jpg,https://www.facebook.com/pmspencer
Winston Baldwin SPENCER,UPP,1994,St. John's Rural West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRW.asp,http://www.caribbeanelections.com/ag/images/people/Baldwin_Spencer_2014.jpg,https://www.facebook.com/pmspencer
Winston Baldwin SPENCER,UPP,1999,St. John's Rural West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRW.asp,http://www.caribbeanelections.com/ag/images/people/Baldwin_Spencer_2014.jpg,https://www.facebook.com/pmspencer
Winston Baldwin SPENCER,UPP,2004,St. John's Rural West,http://www.caribbeanelections.com/ag/election2014/constituencies/SJRW.asp,http://www.caribbeanelections.com/ag/images/people/Baldwin_Spencer_2014.jpg,https://www.facebook.com/pmspencer
