name,wikipedia__en,state,party,term,holder,source
Alejandro Rangel Segovia,Alejandro Rangel Segovia,Guanajuato,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Luis Ángel Espinoza Cházaro,Luis Ángel Espinoza Cházaro,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Enrique Reina Lizárraga,José Enrique Reina Lizárraga,Sonora,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Luis Esquivel Zalpa,José Luis Esquivel Zalpa,Michoacán,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Tanya Rellstab Carreto,Tanya Rellstab Carreto,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Faustino Félix Chávez,Faustino Félix Chávez,Sonora,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Roberto Carlos Reyes Gámiz,Roberto Carlos Reyes Gámiz,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Francisco Javier Fernández Clamont,Francisco Javier Fernández Clamont,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ernesto Alfonso Robledo,Ernesto Alfonso Robledo,Nuevo León,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Julio César Flemate,Julio César Flemate,Zacatecas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Mayra Karina Robles Aguirre,Mayra Karina Robles Aguirre,Baja California,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Uriel Flores Aguayo,Uriel Flores Aguayo,Veracruz,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Juan Manuel Rocha Piedra,Juan Manuel Rocha Piedra,Nayarit,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Luis Cruz Flores Gómez,José Luis Cruz Flores Gómez,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Francisco Tomás Rodríguez Montero,Francisco Tomás Rodríguez Montero,Morelos,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Luis Flores Méndez,José Luis Flores Méndez,Coahuila,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Diego Rodríguez Vallejo,Diego Rodríguez Vallejo,Guanajuato,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Guadalupe Flores Salazar,Guadalupe Flores Salazar,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Antonio Rojo García,José Antonio Rojo García,Hidalgo,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Víctor Oswaldo Fuentes Solís,Víctor Oswaldo Fuentes Solís,Nuevo León,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jesús Tolentino Román,Jesús Tolentino Román,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Adriana Fuentes Téllez,Adriana Fuentes Téllez,Chihuahua,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Rosa Elia Romero Guzmán,Rosa Elia Romero Guzmán,Oaxaca,PT,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
David Galindo Delgado,David Galindo Delgado,Sonora,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Salvador Romero Valencia,Salvador Romero Valencia,Michoacán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marina Garay Cabada,Marina Garay Cabada,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Bárbara Romo Fonseca,Bárbara Romo Fonseca,Zacatecas,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Guadalupe García Ramírez,José Guadalupe García Ramírez,Querétaro,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Lizbeth Rosas Montero,Lizbeth Rosas Montero,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Antonio García Conejo,Antonio García Conejo,Michoacán,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Blas Ramón Rubio Lara,Blas Ramón Rubio Lara,Sinaloa,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Héctor García García,Héctor García García,Nuevo León,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Genaro Ruiz Arriaga,Genaro Ruiz Arriaga,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Carlos Alberto García González,Carlos Alberto García González,Tamaulipas,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Roberto Ruiz Moronatti,Roberto Ruiz Moronatti,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Josefina García Hernández,Josefina García Hernández,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Cristina Ruiz Sandoval,Cristina Ruiz Sandoval,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María García Olmedo,María García Olmedo,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Mauricio Sahui Rivero,Mauricio Sahui Rivero,Yucatán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María García Romero,María García Romero,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jessica Salazar Trejo,Jessica Salazar Trejo,Mexico,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Esther Garza Moreno,María Esther Garza Moreno,Guanajuato,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Graciela Saldaña Fraire,Graciela Saldaña Fraire,Quintana Roo,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Juan Manuel Gastélum,Juan Manuel Gastélum,Baja California,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jorge Salgado Parra,Jorge Salgado Parra,Guerrero,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gerardo Gaudiano Rovirosa,Gerardo Gaudiano Rovirosa,Tabasco,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Abel Salgado Peña,Abel Salgado Peña,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Celia Isabel Gauna Ruiz,Celia Isabel Gauna Ruiz,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Glafiro Salinas Mendiola,Glafiro Salinas Mendiola,Tamaulipas,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Raúl Gómez Ramírez,Raúl Gómez Ramírez,Guanajuato,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Miguel Sámano Peralta,Miguel Sámano Peralta,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Blanca Estela Gómez Carmona,Blanca Estela Gómez Carmona,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Leopoldo Sánchez Cruz,Leopoldo Sánchez Cruz,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Luis Gómez Gómez,Luis Gómez Gómez,Chiapas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Carlos Sánchez Romero,Carlos Sánchez Romero,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Pedro Gómez Gómez,Pedro Gómez Gómez,Chiapas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Guadalupe Sánchez Santiago,María Guadalupe Sánchez Santiago,Tlaxcala,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gabriel Gómez Michel,Gabriel Gómez Michel,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Hugo Sandoval Martínez,Hugo Sandoval Martínez,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Roy Argel Gómez Olguín,Roy Argel Gómez Olguín,Nayarit,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Antonio Sansores Sastré,Antonio Sansores Sastré,Tabasco,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Ángel González Serna,José Ángel González Serna,Aguascalientes,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Fernanda Schroeder,María Fernanda Schroeder,Baja California,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Valentín González Bautista,Valentín González Bautista,Mexico,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Víctor Serralde Martínez,Víctor Serralde Martínez,Veracruz,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Cristina González Cruz,Cristina González Cruz,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
William Renán Sosa Altamira,William Renán Sosa Altamira,Yucatán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Eligio González Farías,Eligio González Farías,Michoacán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Soto Martínez,José Soto Martínez,Oaxaca,MC,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Cecilia González Gómez,Cecilia González Gómez,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jorge Francisco Sotomayor,Jorge Francisco Sotomayor,Federal District,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Irazema González Martínez,Irazema González Martínez,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Rebeca Terán Guevara,Rebeca Terán Guevara,San Luis Potosí,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Rafael González Reséndiz,Rafael González Reséndiz,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jorge Terán Juárez,Jorge Terán Juárez,San Luis Potosí,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marco Antonio González Valdez,Marco Antonio González Valdez,Nuevo León,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marcelo Torres Cofiño,Marcelo Torres Cofiño,Coahuila,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Francisco González Vargas,Francisco González Vargas,Hidalgo,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Pedro Pablo Treviño Villarreal,Pedro Pablo Treviño Villarreal,Nuevo León,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Néstor Octavio Gordillo Castillo,Néstor Octavio Gordillo Castillo,Puebla,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Aurora Ugalde,Aurora Ugalde,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Francisco Grajales Palacios,Francisco Grajales Palacios,Chiapas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jesús Antonio Valdés Palazuelos,Jesús Antonio Valdés Palazuelos,Sinaloa,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Rosalba Gualito Castañeda,Rosalba Gualito Castañeda,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Aída Valencia,Aída Valencia,Oaxaca,MRN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Abel Guerra Garza,Abel Guerra Garza,Nuevo León,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Elizabeth Vargas Martín,Elizabeth Vargas Martín,Guanajuato,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Judit Magdalena Guerrero,Judit Magdalena Guerrero,Zacatecas,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Laura Guadalupe Vargas Vargas,Laura Guadalupe Vargas Vargas,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Javier Filiberto Guevara,Javier Filiberto Guevara,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ponciano Vázquez Parissi,Ponciano Vázquez Parissi,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Mario Francisco Guillén Guillén,Mario Francisco Guillén Guillén,Chiapas,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Regina Vázquez Saut,Regina Vázquez Saut,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Samuel Gurrión Matías,Samuel Gurrión Matías,Oaxaca,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Humberto Vega Vázquez,José Humberto Vega Vázquez,Tlaxcala,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Harvey Gutiérrez Álvarez,Harvey Gutiérrez Álvarez,Chiapas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marco Alonso Vela,Marco Alonso Vela,Yucatán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Héctor Humberto Gutiérrez,Héctor Humberto Gutiérrez,Nuevo León,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Víctor Hugo Velasco Orozco,Víctor Hugo Velasco Orozco,Hidalgo,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Delfina Guzmán Díaz,Delfina Guzmán Díaz,Oaxaca,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Guadalupe Velázquez Díaz,María Guadalupe Velázquez Díaz,Guanajuato,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Martín Alonso Heredia,Martín Alonso Heredia,Sinaloa,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Mirna Velázquez López,Mirna Velázquez López,Sinaloa,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gaudencio Hernández Burgos,Gaudencio Hernández Burgos,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Diana Velázquez Ramírez,Diana Velázquez Ramírez,Chihuahua,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Noé Hernández González,Noé Hernández González,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Amílcar Villafuerte Trujillo,Amílcar Villafuerte Trujillo,Chiapas,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Adriana Hernández Íñiguez,Adriana Hernández Íñiguez,Michoacán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gerardo Villanueva Albarrán,Gerardo Villanueva Albarrán,Federal District,MRN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Mirna Esmeralda Hernández,Mirna Esmeralda Hernández,Hidalgo,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ricardo Villarreal García,Ricardo Villarreal García,Guanajuato,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gerardo Xavier Hernández,Gerardo Xavier Hernández,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Alma Marina Vitela,Alma Marina Vitela,Durango,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jorge Herrera Delgado,Jorge Herrera Delgado,Durango,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Darío Zacarías Capuchino,Darío Zacarías Capuchino,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Manuel Rafael Huerta,Manuel Rafael Huerta,Federal District,MRN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Fernando Zamora Morales,Fernando Zamora Morales,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Antonio Hurtado Gallegos,José Antonio Hurtado Gallegos,Federal District,MC,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Fernando Zárate Salgado,Fernando Zárate Salgado,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Alfonso Inzunza Montoya,Alfonso Inzunza Montoya,Sinaloa,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Damián Zepeda Vidales,Damián Zepeda Vidales,Sonora,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jhonatan Jardines Fraire,Jhonatan Jardines Fraire,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Francisco Zepeda González,Francisco Zepeda González,Colima,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Carlos Humberto Aceves,Carlos Humberto Aceves,Federal District,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Roberto López Suárez,Roberto López Suárez,Zacatecas,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Rubén Acosta Montoya,Rubén Acosta Montoya,Chihuahua,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Javier López Zavala,Javier López Zavala,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Brasil Acosta Peña,Brasil Acosta Peña,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Patricia Lugo Barriga,Patricia Lugo Barriga,Colima,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Juan Pablo Adame,Juan Pablo Adame,Morelos,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Roxana Luna Porquillo,Roxana Luna Porquillo,Puebla,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Aurora Aguilar Rodríguez,Aurora Aguilar Rodríguez,Tlaxcala,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Raúl Macías Sandoval,Raúl Macías Sandoval,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Lilia Aguilar Gil,Lilia Aguilar Gil,Chihuahua,PT,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Areli Madrid Tovilla,Areli Madrid Tovilla,Chiapas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Luisa María Alcalde Luján,Luisa María Alcalde Luján,Federal District,MRN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Víctor Manuel Manríquez,Víctor Manuel Manríquez,Michoacán,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Luis Ricardo Aldana,Luis Ricardo Aldana,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Laura Martel Cantú,Laura Martel Cantú,Federal District,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Miguel Alonso Raya,Miguel Alonso Raya,Guanajuato,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Martínez Santillán,María Martínez Santillán,Michoacán,PT,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Martha Berenice Álvarez Tovar,Martha Berenice Álvarez Tovar,Michoacán,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gabriela Medrano Galindo,Gabriela Medrano Galindo,Quintana Roo,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ricardo Anaya Cortés,Ricardo Anaya Cortés,Querétaro,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ricardo Mejía Berdeja,Ricardo Mejía Berdeja,Guerrero,MC,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Alfredo Anaya Gudiño,Alfredo Anaya Gudiño,Michoacán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Julisa Mejía Guardado,Julisa Mejía Guardado,Mexico,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Alberto Anaya Gutiérrez,Alberto Anaya Gutiérrez,Nuevo León,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Angélica Melchor Vásquez,Angélica Melchor Vásquez,Oaxaca,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Guillermo Anaya Llamas,José Guillermo Anaya Llamas,Coahuila,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jorge Mendoza Garza,Jorge Mendoza Garza,Nuevo León,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Manuel Añorve Baños,Manuel Añorve Baños,Guerrero,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Rafael Alejandro Micalco,Rafael Alejandro Micalco,Puebla,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Juan Jesús Aquino Calvo,Juan Jesús Aquino Calvo,Chiapas,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Guadalupe Moctezuma,María Guadalupe Moctezuma,Veracruz,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Elsa Patricia Araujo,Elsa Patricia Araujo,Tamaulipas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Teresa Mojica,Teresa Mojica,Guerrero,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Consuelo Argüelles Loya,Consuelo Argüelles Loya,Nuevo León,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Guadalupe Mondragón,María Guadalupe Mondragón,Mexico,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Luis Manuel Arias Pallares,Luis Manuel Arias Pallares,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ricardo Monreal Ávila,Ricardo Monreal Ávila,Federal District,MRN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Francisco Arroyo Vieyra,Francisco Arroyo Vieyra,Guanajuato,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ramón Montalvo Hernández,Ramón Montalvo Hernández,Mexico,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Ángel Ávila Pérez,José Ángel Ávila Pérez,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Trinidad Morales Vargas,Trinidad Morales Vargas,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Flor Ayala,Flor Ayala,Sonora,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,Campeche,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Fernando Belaunzarán,Fernando Belaunzarán,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Julio César Moreno Rivera,Julio César Moreno Rivera,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Manlio Fabio Beltrones,Manlio Fabio Beltrones,Sonora,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Tania Morgan Navarrete,Tania Morgan Navarrete,Sinaloa,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marco Antonio Bernal,Marco Antonio Bernal,Tamaulipas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gisela Mota Ocampo,Gisela Mota Ocampo,Morelos,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Juana Bonilla Jaime,Juana Bonilla Jaime,Mexico,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Felipe Muñoz Kapamas,Felipe Muñoz Kapamas,Federal District,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Jaime Bonilla Valdez,Jaime Bonilla Valdez,Baja California,MRN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Juan Carlos Muñoz Márquez,Juan Carlos Muñoz Márquez,Guanajuato,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
