name,wikipedia__en,state,party,term,holder,source
Silvano Aureoles Conejo,Silvano Aureoles Conejo,Michoacán,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Luis Márquez Martínez,José Luis Márquez Martínez,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Xavier Azuara Zúñiga,Xavier Azuara Zúñiga,San Luis Potosí,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Silvia Márquez Velasco,Silvia Márquez Velasco,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Darío Badillo Ramírez,Darío Badillo Ramírez,Hidalgo,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Esther Angélica Martínez,Esther Angélica Martínez,San Luis Potosí,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Salvador Barajas del Toro,Salvador Barajas del Toro,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Elia Cabañas,María Elia Cabañas,Baja California,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marco Antonio Barba Mariscal,Marco Antonio Barba Mariscal,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Juan Luis Martínez Martínez,Juan Luis Martínez Martínez,Oaxaca,MRN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Delvim Fabiola Bárcenas,Delvim Fabiola Bárcenas,Querétaro,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Andrés Eloy Martínez,Andrés Eloy Martínez,Morelos,MRN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Petra Barrera Barrera,Petra Barrera Barrera,Guanajuato,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ángel Abel Mavil,Ángel Abel Mavil,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Rodimiro Barrera Estrada,Rodimiro Barrera Estrada,Michoacán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ricardo Medina Fierro,Ricardo Medina Fierro,Baja California,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Laura Barrera Fortoul,Laura Barrera Fortoul,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marcos Rosendo Medina Filigrana,Marcos Rosendo Medina Filigrana,Tabasco,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Agustín Barrios Gómez,Agustín Barrios Gómez,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Lorena Méndez Denis,Lorena Méndez Denis,Tabasco,MRN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Noé Barrueta,Noé Barrueta,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Mario Rafael Méndez Martínez,Mario Rafael Méndez Martínez,Oaxaca,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Alliet Mariana Bautista,Alliet Mariana Bautista,Mexico,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Leticia Mendoza Curiel,María Leticia Mendoza Curiel,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gloria Bautista Cuevas,Gloria Bautista Cuevas,Oaxaca,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
