name,party,area,term
"Almando ""Rocky"" Liburd",Independent,Senator at Large,2014
Marvin A. Blyden,Democratic,St. Thomas-St. John,2014
Myron D. Jackson,Democratic,St. Thomas-St. John,2014
Clifford Graham,Democratic,St. Thomas-St. John,2014
Tregenza A Roach,Independent,St. Thomas-St. John,2014
Jean Forde,Democratic,St. Thomas-St. John,2014
Janette Millin Young,Democratic,St. Thomas-St. John,2014
"Justin Harrigan, Sr.",Democratic,St. Thomas-St. John,2014
Kurt Vialet,Democratic,St. Croix,2014
Novelle E. Francis,Democratic,St. Croix,2014
Samuel Sanes,Democratic,St. Croix,2014
Kenneth Kenny Gittens,Democratic,St. Croix,2014
Neville James,Democratic,St. Croix,2014
T. Positive Nelson,Independent Citizens Movement,St. Croix,2014
Nereida Rivera O' Reilly,Independent,St. Croix,2014
