name,wikipedia__tk,party,area,term,source
Ayşe Eser Danışoğlu,"",Cumhuriyet Halk Partisi,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Şafak Pavey,Şafak Pavey,Cumhuriyet Halk Partisi,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
İhsan Özkes,İhsan Özkes,Cumhuriyet Halk Partisi,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Fatma Nur Serter,Fatma Nur Serter,Cumhuriyet Halk Partisi,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mahmut Tanal,"",Cumhuriyet Halk Partisi,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Müslim Sarı,"",Cumhuriyet Halk Partisi,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Celal Dinçer,Celal Dinçer,Cumhuriyet Halk Partisi,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Kadir Gökmen Öğüt,Kadir Gökmen Öğüt,Cumhuriyet Halk Partisi,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Engin Alan,Engin Alan,Milliyetçi Hareket Partisi,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Durmuşali Torlak,Durmuşali Torlak,Milliyetçi Hareket Partisi,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Sebahat Tuncel,Sebahat Tuncel,Bağımsız,İstanbul (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Nimet Baş,Nimet Baş,Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ayşe Nur Bahçekapılı,Ayşe Nur Bahçekapılı,Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Burhan Kuzu,Burhan Kuzu,Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ekrem Erdem,"",Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Volkan Bozkır,Volkan Bozkır,Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
İbrahim Yiğit,"",Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ahmet Kutalmış Türkeş,Ahmet Kutalmış Türkeş,Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
İsmail Safi,"",Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Türkan Dağoğlu,Türkan Dağoğlu,Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Şirin Ünal,"",Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Sevim Savaşer,"",Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Hüseyin Bürge,"",Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Osman Aşkın Bak,"",Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ahmet Haldun Ertürk,"",Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ahmet Baha Öğütken,"",Adalet ve Kalkınma Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Kemal Kılıçdaroğlu,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Bihlun Tamaylıgil,Bihlun Tamaylıgil,Cumhuriyet Halk Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mustafa Sezgin Tanrıkulu,Mustafa Sezgin Tanrıkulu,Cumhuriyet Halk Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Aydın Ağan Ayaydın,Aydın Ağan Ayaydın,Cumhuriyet Halk Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Sedef Küçük,"",Cumhuriyet Halk Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ercan Cengiz,"",Cumhuriyet Halk Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Haluk Eyidoğan,"",Cumhuriyet Halk Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Aykut Erdoğdu,Aykut Erdoğdu,Cumhuriyet Halk Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Melda Onur,Melda Onur,Cumhuriyet Halk Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Murat Başesgioğlu,Murat Başesgioğlu,Milliyetçi Hareket Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Celal Adan,Celal Adan,Milliyetçi Hareket Partisi,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Sırrı Süreyya Önder,Sırrı Süreyya Önder,Bağımsız,İstanbul (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ömer Dinçer,Ömer Dinçer,Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Abdülkadir Aksu,Abdülkadir Aksu,Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ünal Kacır,Ünal Kacır,Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Hakan Şükür,Hakan Şükür,Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Halide İncekara,Halide İncekara,Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mustafa Şentop,Mustafa Şentop,Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Feyzullah Kıyıklık,"",Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Tülay Kaynarca,"",Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Nureddin Nebati,"",Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mehmet Doğan Kubat,"",Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Bülent Turan,Bülent Turan,Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mehmet Muş,"",Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Gülay Dalyan,"",Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Enver Yılmaz,Enver Yılmaz (siyasetçi),Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Harun Karaca,"",Adalet ve Kalkınma Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Erdoğan Toprak,Erdoğan Toprak,Cumhuriyet Halk Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Umut Oran,Umut Oran,Cumhuriyet Halk Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Süleyman Çelebi,Süleyman Çelebi (sendikacı),Cumhuriyet Halk Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Oktay Ekşi,Oktay Ekşi,Cumhuriyet Halk Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Binnaz Toprak,Binnaz Toprak,Cumhuriyet Halk Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Sabahat Akkiraz,Sabahat Akkiraz,Cumhuriyet Halk Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Faik Tunay,"",Cumhuriyet Halk Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ali Özgündüz,Ali Özgündüz,Cumhuriyet Halk Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ferit Mevlüt Aslanoğlu,Ferit Mevlüt Aslanoğlu,Cumhuriyet Halk Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Meral Akşener,Meral Akşener,Milliyetçi Hareket Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Atila Kaya,Atila Kaya,Milliyetçi Hareket Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
İhsan Barutçu,"",Milliyetçi Hareket Partisi,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Abdullah Levent Tüzel,Abdullah Levent Tüzel,Bağımsız,İstanbul (III),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ertuğrul Günay,Ertuğrul Günay,Adalet ve Kalkınma Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mehmet Sayım Tekelioğlu,Mehmet Sayım Tekelioğlu,Adalet ve Kalkınma Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
İlhan İşbilen,"",Adalet ve Kalkınma Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
İlknur Denizli,"",Adalet ve Kalkınma Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ali Aşlık,"",Adalet ve Kalkınma Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Rıfat Sait,"",Adalet ve Kalkınma Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Güldal Mumcu,Güldal Mumcu,Cumhuriyet Halk Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Rıza Türmen,Rıza Türmen,Cumhuriyet Halk Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Oğuz Oyan,"",Cumhuriyet Halk Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Hülya Güven,"",Cumhuriyet Halk Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Erdal Aksünger,"",Cumhuriyet Halk Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Aydın Özcan,"",Cumhuriyet Halk Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Oktay Vural,Oktay Vural,Milliyetçi Hareket Partisi,İzmir (I),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Binali Yıldırım,Binali Yıldırım,Adalet ve Kalkınma Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Aydın Şengül,"",Adalet ve Kalkınma Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Erdal Kalkan,Erdal Kalkan,Adalet ve Kalkınma Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Nesrin Ulema,"",Adalet ve Kalkınma Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Hamza Dağ,"",Adalet ve Kalkınma Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Alaattin Yüksel,Alaattin Yüksel,Cumhuriyet Halk Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mustafa Balbay,Mustafa Balbay,Cumhuriyet Halk Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mehmet Ali Susam,"",Cumhuriyet Halk Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Rahmi Aşkın Türeli,"",Cumhuriyet Halk Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Aytun Çıray,"",Cumhuriyet Halk Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Birgül Ayman Güler,Birgül Ayman Güler,Cumhuriyet Halk Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mustafa Moroğlu,"",Cumhuriyet Halk Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ahmet Kenan Tanrıkulu,Ahmet Kenan Tanrıkulu,Milliyetçi Hareket Partisi,İzmir (II),24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mehmet Sağlam,Mehmet Sağlam,Adalet ve Kalkınma Partisi,Kahramanmaraş,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Nevzat Pakdil,Nevzat Pakdil,Adalet ve Kalkınma Partisi,Kahramanmaraş,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mahir Ünal,Mahir Ünal,Adalet ve Kalkınma Partisi,Kahramanmaraş,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Yıldırım Mehmet Ramazanoğlu,Yıldırım Mehmet Ramazanoğlu,Adalet ve Kalkınma Partisi,Kahramanmaraş,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Sevde Bayazıt Kaçar,Sevde Bayazıt Kaçar,Adalet ve Kalkınma Partisi,Kahramanmaraş,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Sıtkı Güvenç,"",Adalet ve Kalkınma Partisi,Kahramanmaraş,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Durdu Özbolat,Durdu Özbolat,Cumhuriyet Halk Partisi,Kahramanmaraş,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mesut Dedeoğlu,Mesut Dedeoğlu,Milliyetçi Hareket Partisi,Kahramanmaraş,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mehmet Ali Şahin,Mehmet Ali Şahin,Adalet ve Kalkınma Partisi,Karabük,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Osman Kahveci,Osman Kahveci,Adalet ve Kalkınma Partisi,Karabük,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Lütfi Elvan,Lütfi Elvan,Adalet ve Kalkınma Partisi,Karaman,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mevlüt Akgün,Mevlüt Akgün,Adalet ve Kalkınma Partisi,Karaman,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ahmet Arslan,Ahmet Arslan (Milletvekili),Adalet ve Kalkınma Partisi,Kars,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Yunus Kılıç,"",Adalet ve Kalkınma Partisi,Kars,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mülkiye Birtane,"",Bağımsız,Kars,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Hakkı Köylü,Hakkı Köylü,Adalet ve Kalkınma Partisi,Kastamonu,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mustafa Gökhan Gülşen,Mustafa Gökhan Gülşen,Adalet ve Kalkınma Partisi,Kastamonu,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Emin Çınar,"",Milliyetçi Hareket Partisi,Kastamonu,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Taner Yıldız,Taner Yıldız,Adalet ve Kalkınma Partisi,Kayseri,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Sadık Yakut,Sadık Yakut,Adalet ve Kalkınma Partisi,Kayseri,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mustafa Elitaş,Mustafa Elitaş,Adalet ve Kalkınma Partisi,Kayseri,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Yaşar Karayel,Yaşar Karayel,Adalet ve Kalkınma Partisi,Kayseri,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Pelin Gündeş Bakır,Pelin Gündeş Bakır,Adalet ve Kalkınma Partisi,Kayseri,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ahmet Öksüzkaya,"",Adalet ve Kalkınma Partisi,Kayseri,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
İsmail Tamer,"",Adalet ve Kalkınma Partisi,Kayseri,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mehmet Şevki Kulkuloğlu,"",Cumhuriyet Halk Partisi,Kayseri,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Yusuf Halaçoğlu,Yusuf Halaçoğlu,Milliyetçi Hareket Partisi,Kayseri,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Fuat Karakuş,"",Adalet ve Kalkınma Partisi,Kilis,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ahmet Salih Dal,"",Adalet ve Kalkınma Partisi,Kilis,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Şenol Gürşan,"",Adalet ve Kalkınma Partisi,Kırklareli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mehmet Siyam Kesimoğlu,Mehmet Siyam Kesimoğlu,Cumhuriyet Halk Partisi,Kırklareli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Turgut Dibek,Turgut Dibek,Cumhuriyet Halk Partisi,Kırklareli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Beşir Atalay,Beşir Atalay,Adalet ve Kalkınma Partisi,Kırıkkale,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Oğuz Kağan Köksal,Oğuz Kağan Köksal,Adalet ve Kalkınma Partisi,Kırıkkale,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ramazan Can,Ramazan Can,Adalet ve Kalkınma Partisi,Kırıkkale,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Abdullah Çalışkan,"Abdullah Çalışkan (siyasetçi, 1974)",Adalet ve Kalkınma Partisi,Kırşehir,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Muzaffer Aslan,"",Adalet ve Kalkınma Partisi,Kırşehir,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Nihat Ergün,Nihat Ergün,Adalet ve Kalkınma Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Fikri Işık,Fikri Işık,Adalet ve Kalkınma Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Sibel Gönül,"",Adalet ve Kalkınma Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Muzaffer Baştopçu,Muzaffer Baştopçu,Adalet ve Kalkınma Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Zeki Aygün,"",Adalet ve Kalkınma Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
İlyas Şeker,"",Adalet ve Kalkınma Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mehmet Ali Okur,"",Adalet ve Kalkınma Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Hurşit Güneş,Hurşit Güneş,Cumhuriyet Halk Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mehmet Hilal Kaplan,"",Cumhuriyet Halk Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Haydar Akar,Haydar Akar,Cumhuriyet Halk Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Lütfü Türkkan,"",Milliyetçi Hareket Partisi,Kocaeli,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ahmet Davutoğlu,Ahmet Davutoğlu,Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Kerim Özkul,"",Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
İlhan Yerlikaya,"",Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Ayşe Türkmenoğlu,"",Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Cem Zorlu,"",Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Hüseyin Üzülmez,Hüseyin Üzülmez,Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mustafa Baloğlu,Mustafa Baloğlu,Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mustafa Kabakcı,"",Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Gülay Samancı,Gülay Samancı,Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mustafa Akış,"",Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Harun Tüfekci,Harun Tüfekci,Adalet ve Kalkınma Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Atilla Kart,Atilla Kart,Cumhuriyet Halk Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Faruk Bal,Faruk Bal,Milliyetçi Hareket Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
Mustafa Kalaycı,Mustafa Kalaycı,Milliyetçi Hareket Partisi,Konya,24,https://tr.wikipedia.org/wiki/TBMM_24._d%C3%B6nem_milletvekilleri_listesi
