id,name,start_date,end_date
50,50. Legislatur,2015-11-30T00:00:00Z,2019-11-29T00:00:00Z
49,49. Legislatur,2011-12-05T00:00:00Z,2015-11-29T00:00:00Z
48,48. Legislatur,2007-12-03T00:00:00Z,2011-12-02T00:00:00Z
47,47. Legislatur,2003-12-01T00:00:00Z,2007-11-30T00:00:00Z
46,46. Legislatur,1999-12-01T00:00:00Z,2003-11-30T00:00:00Z
45,45. Legislatur,1995-12-04T00:00:00Z,1999-11-30T00:00:00Z
44,44. Legislatur,1991-11-25T00:00:00Z,1995-12-03T00:00:00Z
43,43. Legislatur,1987-11-30T00:00:00Z,1991-11-24T00:00:00Z
42,42. Legislatur,1983-11-28T00:00:00Z,1987-11-29T00:00:00Z
41,41. Legislatur,1979-11-26T00:00:00Z,1983-11-27T00:00:00Z
40,40. Legislatur,1975-12-01T00:00:00Z,1979-11-25T00:00:00Z
39,39. Legislatur,1971-11-29T00:00:00Z,1975-11-30T00:00:00Z
38,38. Legislatur,1967-12-04T00:00:00Z,1971-11-28T00:00:00Z
37,37. Legislatur,1963-12-02T00:00:00Z,1967-12-03T00:00:00Z
