name,group,term,source
Кочиев Игорь Иванович,ПП «Ныхас»,2014,http://cominf.org/node/1166502155
Бесаева Зита Григорьевна,ПП «Ныхас»,2014,http://cominf.org/node/1166502155
Джиоева Алла Алексеевна,ПП «Ныхас»,2014,http://cominf.org/node/1166502155
Габараев Алан Георгиевич,ПП «Ныхас»,2014,http://cominf.org/node/1166502155
Бибилов Анатолий Ильич,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Тасоев Дмитрий Николаевич,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Кочиева Жанна Герсановна,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Каджаев Филипп Григорьевич,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Габараев Юрий Константинович,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Валиева Роза Сергеевна,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Гассиев Петр Леонидович,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Тадтаев Анатолий Григорьевич,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Мамиев Инал Димитриевич,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Тасоев Борис Леонидович,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Туаев Алан Андреевич,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Кочиева Олеся Ахсаровна,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Тедеев Бахва Отарович,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Бекоев Геннадий Борисович,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Джиоев Инал Иванович,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Базаев Владимир Гелаевич,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Дзукаев Вилорд Сергеевич,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Лохов Мендик Феликсович,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Хубулов Илья Франгелович,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Келехсаев Георгий Геноевич,РПП «Единая Осетия»,2014,http://cominf.org/node/1166502155
Плиев Александр Михайлович,ПП «Народная партия РЮО»,2014,http://cominf.org/node/1166502155
Дьяконов Амиран Евгенович,ПП «Народная партия РЮО»,2014,http://cominf.org/node/1166502155
Харебаты Сергей Владимирович,ПП «Народная партия РЮО»,2014,http://cominf.org/node/1166502155
Дудайты Эрик Владимирович,ПП «Народная партия РЮО»,2014,http://cominf.org/node/1166502155
Келехсаев Владимир Степанович,СП «Единство Народа»,2014,http://cominf.org/node/1166502155
Плиева Агунда Феликсовна,СП «Единство Народа»,2014,http://cominf.org/node/1166502155
Парастаев Дмитрий Зелимханович,СП «Единство Народа»,2014,http://cominf.org/node/1166502155
Тедеев Руслан Рутенович,СП «Единство Народа»,2014,http://cominf.org/node/1166502155
Хубаев Альберт Юрьевич,СП «Единство Народа»,2014,http://cominf.org/node/1166502155
Козонов Алан Дударович,СП «Единство Народа»,2014,http://cominf.org/node/1166502155
