id,name,name__ru,party,party__ru,image,term,source
21251,ABDRAXMANOV Alisher Orozbaevich,АБДРАХМАНОВ Алишер Орозбаевич,Respublika,«Республика»,http://kenesh.kg/MyFiles/image/IMG_2687(1).JPG,5,http://www.kenesh.kg/RU/Articles/21251-ABDRAXMANOV_Alisher_Orozbaevich__Frakciya_Respublika_.aspx
2322,ABDYKERIMOV SHarshenbek SHajloobekovich,АБДЫКЕРИМОВ Шаршенбек Шайлообекович,Yntymak,"""Ынтымак""",http://www.kenesh.kg/MyFiles/image/clip_image002.jpg,5,http://www.kenesh.kg/RU/Articles/2322-ABDYKERIMOV_SHarshenbek_SHajloobekovich__deputatskaya_gruppa_Yntymak.aspx
298,ABDYLDAEV Myktybek YUsupovich,АБДЫЛДАЕВ Мыктыбек Юсупович,AtaZHurt,«Ата-Журт»,http://www.kenesh.kg/MyFiles/image/%D0%9C_%D0%90%D0%B1%D0%B4%D1%8B%D0%BB%D0%B4%D0%B0%D0%B5%D0%B2-26.JPG,5,http://www.kenesh.kg/RU/Articles/298-ABDYLDAEV_Myktybek_YUsupovich__Frakciya_AtaZHurt.aspx
299,ABDYRAXMANOV Omurbek,АБДЫРАХМАНОВ Омурбек,"","",http://www.kenesh.kg/MyFiles/image/%D0%90%D0%B1%D0%B4%D1%8B%D1%80%D0%B0%D1%85%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%20%D0%9E%D0%BC%D1%83%D1%80%D0%B1%D0%B5%D0%BA%20copy.jpg,5,http://www.kenesh.kg/RU/Articles/299-ABDYRAXMANOV_Omurbek_.aspx
30533,ABYTOV Almasbek Axunzhanovich,АБЫТОВ Алмасбек Ахунжанович,AtaZHurt,«Ата-Журт»,"",5,http://www.kenesh.kg/RU/Articles/30533-ABYTOV_Almasbek_Axunzhanovich__Frakciya_AtaZHurt.aspx
241,AJDAROV Nurgazy Abdyraevich,АЙДАРОВ Нургазы Абдыраевич,AtaZHurt,«Ата-Журт»,http://www.kenesh.kg/MyFiles/image/for%20site/%D0%90%D0%B9%D0%B4%D0%B0%D1%80%D0%BE%D0%B2%20%D0%9D_%20%D0%90_.jpg,5,http://www.kenesh.kg/RU/Articles/241-AJDAROV_Nurgazy_Abdyraevich__Frakciya_AtaZHurt.aspx
301,AJTMATOVA SHirin,АЙТМАТОВА Ширин,Ata Meken,«Ата Мекен»,http://www.kenesh.kg/MyFiles/image/%D0%90%D0%B9%D1%82%D0%BC%D0%B0%D1%82%D0%BE%D0%B2%D0%B0%20%D0%A8.jpg,5,http://www.kenesh.kg/RU/Articles/301-AJTMATOVA_SHirin__Frakciya_Ata_Meken.aspx
302,AKNAZAROVA Roza Korchubekovna,АКНАЗАРОВА Роза Корчубековна,Respublika,«Республика»,http://www.kenesh.kg/MyFiles/image/%D0%A4%D0%BE%D1%82%D0%BE%20%D1%84%D1%80%D0%B0%D0%BA%D1%86%D0%B8%D1%8F%20%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0/sait/P1110498(1).JPG,5,http://www.kenesh.kg/RU/Articles/302-AKNAZAROVA_Roza_Korchubekovna__Frakciya_Respublika.aspx
303,ALIMBEKOV Nurbek Kaaryevich,АЛИМБЕКОВ Нурбек Каарыевич,Respublika,«Республика»,http://www.kenesh.kg/MyFiles/image/%D0%A4%D0%BE%D1%82%D0%BE%20%D1%84%D1%80%D0%B0%D0%BA%D1%86%D0%B8%D1%8F%20%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0/sait/%D0%B0%D0%BB%D0%B8%D0%BC%D0%B1%D0%B5%D0%BA%D0%BE%D0%B22.JPG,5,http://www.kenesh.kg/RU/Articles/303-ALIMBEKOV_Nurbek_Kaaryevich__Frakciya_Respublika.aspx
304,ALTYBAEVA Ajnuru Tojchievna,АЛТЫБАЕВА Айнуру Тойчиевна,ArNamys,«Ар–Намыс»,http://www.kenesh.kg/MyFiles/image/Altybaeva%20A_T_.jpg,5,http://www.kenesh.kg/RU/Articles/304-ALTYBAEVA_Ajnuru_Tojchievna__Frakciya_ArNamys.aspx
305,ALYMBEKOV Zamirbek Madanbekovich,АЛЫМБЕКОВ Замирбек Маданбекович,SDPK,СДПК,http://www.kenesh.kg/MyFiles/image/%D0%90%D0%BB%D1%8B%D0%BC%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%20%D0%97%D0%B0%D0%BC%D0%B8%D1%80%20%D0%9C%D0%B0%D0%B4%D0%B0%D0%BD%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%D0%B8%D1%87.jpg,5,http://www.kenesh.kg/RU/Articles/305-ALYMBEKOV_Zamirbek_Madanbekovich__Frakciya_SDPK.aspx
242,ARAPBAEV Azamat Abdullazhanovich,АРАПБАЕВ Азамат Абдуллажанович,AtaZHurt,«Ата-Журт»,http://www.kenesh.kg/MyFiles/image/IMG_0955(2).jpg,5,http://www.kenesh.kg/RU/Articles/242-ARAPBAEV_Azamat_Abdullazhanovich__Frakciya_AtaZHurt.aspx
