name,group,area,term,source
Abdoul Kassoum Touré,CODEM,COMMUNE I,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Fatoumata Simpara,CNID,COMMUNE I,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mamadou Doumbia,RPM,COMMUNE II,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Karim Keita,RPM,COMMUNE II,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Hadi Niangadou,CODEM,COMMUNE II,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Kalilou Ouattara,RPM,COMMUNE III,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Moussa Diarra,RPM,COMMUNE IV,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
NDoula Thiam,RPM,COMMUNE IV,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Moussa Timbiné,RPM,COMMUNE V,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Oumou Keita,RPM,COMMUNE V,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Amadou Thiam,ADP-Maliba,COMMUNE V,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bafotigui Diallo,RPM,COMMUNE VI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mahamadou Djiguiné,RPM,COMMUNE VI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Moussa Coulibaly,UDD,COMMUNE VI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Abdoul Malick Diallo,URD,ANSONGO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Halidou Bonzeye,PDES,ANSONGO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Aïchata Alassane Cissé,UM-RDA,BOUREM,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mohamed Ould Mataly,RPM,BOUREM,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Assarid Ag Imbarcaouane,ADEMA,GAO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Abouzeïdi Ousmane Maïga,ASMA,GAO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Arbonkana Maïga,CFP,GAO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bajan Ag Hamatou,Ind,MENAKA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Boubacar Djankina Sissoko,RPM,BAFOULABE,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Kissima Keïta,RPM,BAFOULABE,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
