name,group,area,term,source
Makan Traoré,RPM,BAFOULABE,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mody Fofana,ADEMA,DIEMA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Dioncounda Sacko,CNID,DIEMA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mahamadou Cissé,ADEMA,KAYES,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Moussa Cissé,URD,KAYES,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Cheick Oumar Konaté,PRVM,KAYES,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Modibo Sogoré,PDES,KAYES,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bakary Macalou,PARENA,KAYES,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Aïssata Haidara,RPM,KENIEBA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Boubacar Sissoko,RPM,KENIEBA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Modibo Cissé,RPM,KITA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mamadou Tounkara,RPM,KITA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Drissa Nomoko,RPM,KITA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mohamed Tounkara,RPM,KITA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Ousmane Bathily,RPM,NIORO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Cheick Tahara Nimaga,MPR,NIORO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mamadou Alpha Diallo,ADP-Maliba,NIORO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Ahmada Ag Bibi,RPM,ABEIBARA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Ahmoudene Ag Iknass,Ind,KIDAL,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Aïcha Belco Maïga,RPM,TESSALIT,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mohamed Ag Intalla,RPM,TIN-ESSAKO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mamadou Diarrassouba,RPM,DIOLA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Yiri Keita,RPM,DIOLA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bakary Fomba,URD,DIOLA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Daouda Coulibaly,FARE,DIOLA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Sékou Traoré,ADEMA,DIOLA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mahamadou Keita,RPM,KANGABA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Soiba Coulibaly,RPM,KATI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mamadou Cissé,RPM,KATI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Souléymane Soumano,RPM,KATI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bourama Traoré,RPM,KATI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Toumany Diarra,ADEMA,KATI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Tiassé Coulibaly,ADEMA,KATI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Seydou Coulibaly,ADEMA,KATI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Yaya Konaré,RPM,KOLOKANI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Ousmane Kouyaté,RPM,KOLOKANI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Sériba Diarra,ADEMA,KOLOKANI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Issaka Sidibé,RPM,KOULIKORO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Labasse Kané,RPM,KOULIKORO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Traoré Soumare,ADEMA,NARA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Boubacar Mangara,ADEMA,NARA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mahamadou Diarisso,ADP-Maliba,NARA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Amadou Diepkile,ADEMA,BANDIAGARA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bocari Sagara,CODEM,BANDIAGARA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Yagama Tembely,RPM,BANDIAGARA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Idrissa Sankare,ASMA,BANKASS,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Adama Paul Damango,Unknown,BANKASS,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Karim Yossi,CODEM,BANKASS,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Habibou Sofara,URD,DJENNE,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Sékou Cissé,URD,DJENNE,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Amadou Maïga,Unknown,DOUENTZA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Ilias Goro,PDES,DOUENTZA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Issa Togo,ADEMA,KORO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Youssouf Aya,ADEMA,KORO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Djibril Diarra,CODEM,KORO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Hamadoun Niagaly,RPM,KORO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Belco Samassekou,RPM,MOPTI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Samba Yattassaye,ARP,MOPTI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Hamadoun Yaranangoré,ADEMA,MOPTI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Abderhamane Niang,RPM,TENENKOU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Amadou Cissé,URD,TENENKOU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Aïssata Touré,RPM,YOUWAROU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Sidi Fomba,YELEMA,BAROUELI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Adama Kané,CNID,BAROUELI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mody NDiaye,URD,BAROUELI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Drissa Tangara,RPM,BLA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Alassane Tangara,RPM,BLA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Harouna Traoré,FARE,BLA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Aboubacar Ba,ASMA,MACINA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Lahassana Koné,ASMA,MACINA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Boubacar Touré,RPDM,NIONO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Diadié Bah,RPDM,NIONO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Modibo Kimbiry,ADP-Maliba,NIONO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Adama Coulibaly,RPM,SAN,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Fatimata Niambali,RPM,SAN,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Aminata Traoré,RPM,SAN,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Lamine Théra,RPM,SAN,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Maïmouna Drame,RPM,SEGOU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Yacouba Traoré,Unknown,SEGOU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Youssouf Maïga,MIRIA,SEGOU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Seydou Dembélé,RPM,SEGOU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Abdine Koumaré,RPM,SEGOU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Abdoul Haidara,Unknown,SEGOU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Abdoulaye Fofana,FARE,SEGOU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Abdias Théra,RPM,TOMINIAN,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Schadrac Keïta,MIRIA,TOMINIAN,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Abdoulaye Dembele,FARE,TOMINIAN,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Zoumana Doumbia,CDS,BOUGOUNI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Siaka Sangare,CDS,BOUGOUNI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Seydou Diawara,URD,BOUGOUNI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bakary Doumbia,FARE,BOUGOUNI,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bréhima Beridogo,PARENA,KADIOLO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
SOuléymane Ouattara,PARENA,KADIOLO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Oumar Mariko,SADI,KOLONDIEBA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bafermé Sangaré,SADI,KOLONDIEBA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Abdoulaye Dembele,ADEMA,KOUTIALA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bakary Koné,Unknown,KOUTIALA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Dotian Traoré,URD,KOUTIALA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Abdou Agouzer,MPR,KOUTIALA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Souléymane Diarra,SADI,KOUTIALA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Nanko Mariko,SADI,KOUTIALA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Rokia Traoré,RPM,SIKASSO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Seydou Traoré,RPM,SIKASSO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Bakary Diarra,RPM,SIKASSO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Salia Togola,RPM,SIKASSO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mahamadou Diallo,MPR,SIKASSO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Guédiouma Sanogo,Unknown,SIKASSO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Yacouba Koné,FARE,SIKASSO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mamedi Sidibé,RPM,YANFOLILA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Yaya Sangaré,ADEMA,YANFOLILA,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Dramane Goita,ADEMA,YOROSSO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Samuel Cissé,RPM,YOROSSO,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Alkaïdi Touré,URD,DIRE,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Oumar Traoré,Ind,GOUNDAM,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Mohamed Ould Sidy Mohamed,Ind,GOUNDAM,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Boubacar Maïga,URD,GOURMA-RHAROUSS,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Soumaïla Cissé,URD,NIAFUNKE,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Dédéou Traoré,URD,NIAFUNKE,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
Aziza Mint Mohamed,ADEMA,TOMBOUCTOU,2014,http://psephos.adam-carr.net/countries/m/mali/mali20131.txt
