id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
lee_chong_meng,Lee Chong Meng,,,Malaysian Chinese Association,MCA,"Shah Alam, Selangor",Dewan Rakyat,9,,,,
leo_michael_toyad,Leo Michael Toyad,,,Parti Pesaka Bumiputera Bersatu,PBB,"Batu Sapi, Sabah",Dewan Rakyat,9,,,,
leo_moggie_irok,Leo Moggie Irok,,,Parti Bansa Dayak Sarawak,PBDS,"Pensiangan, Sabah",Dewan Rakyat,9,,,,
liew_ah_kim,Liew Ah Kim,,,Democratic Action Party,DAP,"Klang, Selangor",Dewan Rakyat,9,,,,
lim_ah_lek,Lim Ah Lek,,,Malaysian Chinese Association,MCA,"Kuantan, Pahang",Dewan Rakyat,9,,,,
lim_guan_eng,Lim Guan Eng,,,Democratic Action Party,DAP,"Muar, Johor",Dewan Rakyat,9,,,,
lim_hock_seng,Lim Hock Seng,,,Democratic Action Party,DAP,"Nibong Tebal, Penang",Dewan Rakyat,9,,,,
lim_keng_yaik,Lim Keng Yaik,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Kampar, Perak",Dewan Rakyat,9,,,,
lim_kit_siang,Lim Kit Siang,,,Democratic Action Party,DAP,"Bukit Bendera, Penang",Dewan Rakyat,9,,,,
lim_lay_hoon,Lim Lay Hoon,,,Malaysian Chinese Association,MCA,"Tumpat, Kelantan",Dewan Rakyat,9,,,,
lim_si_cheng,Lim Si Cheng,,,Malaysian Chinese Association,MCA,"Kinabalu, Sabah",Dewan Rakyat,9,,,,
ling_liong_sik,Ling Liong Sik,,,Malaysian Chinese Association,MCA,"Seremban, Negeri Sembilan",Dewan Rakyat,9,,,,
loke_yuen_yow,Loke Yuen Yow,,,Malaysian Chinese Association,MCA,"Lumut, Perak",Dewan Rakyat,9,,,,
m._kulasegaran,M. Kulasegaran,,,Democratic Action Party,DAP,"Telok Intan, Perak",Dewan Rakyat,9,,,,
m._mahalingam,M. Mahalingam,,,Malaysian Indian Congress,MIC,"Batu, Federal Territory",Dewan Rakyat,9,,,,
mahathir_mohamad,Mahathir Mohamad,,,United Malays National Organisation,UMNO,"Kota Setar, Kedah",Dewan Rakyat,9,,,,
mahbud_hashim,Mahbud Hashim,,,United Malays National Organisation,UMNO,"Kapar, Selangor",Dewan Rakyat,9,,,,
mansor_masikon,Mansor Masikon,,,United Malays National Organisation,UMNO,"Aloh Gajah, Malacca",Dewan Rakyat,9,,,,
maximus_johnity_ongkili,Maximus Johnity Ongkili,,,Parti Bersatu Sabah,PBS,"Bandau, Sabah",Dewan Rakyat,9,,,,
md_isa_sabu,Md Isa Sabu,,,United Malays National Organisation,UMNO,"Kangar, Perlis",Dewan Rakyat,9,,,,
megat_junid_megat_ayub,Megat Junid Megat Ayub,,,United Malays National Organisation,UMNO,"Kampar, Perak",Dewan Rakyat,9,,,,
michael_lisa_kaya,Michael Lisa Kaya,,,Parti Pesaka Bumiputera Bersatu,PBB,"Baram, Sarawak",Dewan Rakyat,9,,,,
mohamad_sabu,Mohamad Sabu,,,Pan-Malaysian Islamic Party,PAS,"Kubang Kerian, Kelantan",Dewan Rakyat,9,,,,
mohamed_abdullah,Mohamed Abdullah,,,Semangat 46,S46,"Pasir Puteh, Kelantan",Dewan Rakyat,9,,,,
mohamed_khaled_nordin,Mohamed Khaled Nordin,,,United Malays National Organisation,UMNO,"Sekijang, Johor",Dewan Rakyat,9,,,,
mohamed_nazri_abdul_aziz,Mohamed Nazri Abdul Aziz,,,United Malays National Organisation,UMNO,"Pasir Pinji, Perak",Dewan Rakyat,9,,,,
