id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
leo_michael_toyad,Leo Michael Toyad,,,Parti Pesaka Bumiputera Bersatu,PBB,"Mukah, Sarawak",Dewan Rakyat,7,,
leo_moggie_irok,Leo Moggie Irok,,,Parti Bansa Dayak Sarawak,PBDS,"Kanowit, Sarawak",Dewan Rakyat,7,,
liew_ah_kim,Liew Ah Kim,,,Democratic Action Party,DAP,"Seputeh, Federal Territory",Dewan Rakyat,7,,
lim_ah_lek,Lim Ah Lek,,,Malayan Chinese Association,MCA,"Bentong, Pahang",Dewan Rakyat,7,,
lim_guan_eng,Lim Guan Eng,,,Democratic Action Party,DAP,"Kota Melaka, Malacca",Dewan Rakyat,7,,
lim_keng_yaik,Lim Keng Yaik,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Beruas, Perak",Dewan Rakyat,7,,
lim_kit_siang,Lim Kit Siang,,,Democratic Action Party,DAP,"Tanjong, Penang",Dewan Rakyat,7,,
ling_chooi_sieng,Ling Chooi Sieng,,,Malayan Chinese Association,MCA,"Kluang, Johor",Dewan Rakyat,7,,
ling_liong_sik,Ling Liong Sik,,,Malayan Chinese Association,MCA,"Labis, Johor",Dewan Rakyat,7,,
loke_yuen_yow,Loke Yuen Yow,,,Malayan Chinese Association,MCA,"Tanjong Malim, Perak",Dewan Rakyat,7,,
luhat_wan,Luhat Wan,,,Sarawak National Party,SNAP,"Baram, Sarawak",Dewan Rakyat,7,,
m._g._pandithan,M. G. Pandithan,,,Malayan Indian Congress,MIC,"Tapah, Perak",Dewan Rakyat,7,,
mahathir_mohamad,Mahathir Mohamad,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Kubang Pasu, Kedah",Dewan Rakyat,7,,
maidom_pansai,Maidom Pansai,,,Parti Bersatu Sabah,PBS,"Kota Belud, Sabah",Dewan Rakyat,7,,
megat_junid_megat_ayub,Megat Junid Megat Ayub,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Pasir Salak, Perak",Dewan Rakyat,7,,
metah_asang,Metah Asang,,,Parti Bersatu Sabah,PBS,"Jambongan, Sabah",Dewan Rakyat,7,,
mohamad_subky_abdul_raof,Mohamad Subky Abdul Raof,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Balik Pulau, Penang",Dewan Rakyat,7,,
mohamed_ali,Mohamed Ali,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Nilam Puri, Kelantan",Dewan Rakyat,7,,
mohamed_amin_daud,Mohamed Amin Daud,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Rompin, Pahang",Dewan Rakyat,7,,
mohamed_isa,Mohamed Isa,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Kuala Kerai, Kelantan",Dewan Rakyat,7,,
mohamed_jamrah,Mohamed Jamrah,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Bagan Datok, Perak",Dewan Rakyat,7,,
mohamed_rahmat,Mohamed Rahmat,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Pulai, Johor",Dewan Rakyat,7,,
mohamed_sam_sailan,Mohamed Sam Sailan,,,Pertubuhan Kebangsaan Melayu Bersatu,UMNO,"Muar, Johor",Dewan Rakyat,7,,
