name,wikipedia,constituency,party,term,start_date,end_date,source
Frosti Sigurjónsson,,Reykjavik Constituency North,Progressive Party,2013–,,,
Brynjar Þór Níelsson,,Reykjavik Constituency North,Independence Party,2013–,,,
Björt Ólafsdóttir,http://en.wikipedia.org/wiki/Bj%C3%B6rt_%C3%93lafsd%C3%B3ttir,Reykjavik Constituency North,Bright Future,2013–,,,
Sigrún Magnúsdóttir,http://en.wikipedia.org/wiki/Sigr%C3%BAn_Magn%C3%BAsd%C3%B3ttir,Reykjavik Constituency North,Progressive Party,2013–,,,
Árni Þór Sigurðsson,http://en.wikipedia.org/wiki/%C3%81rni_%C3%9E%C3%B3r_Sigur%C3%B0sson,Reykjavik Constituency North,Left-Green Movement,2013–,,,
Helgi Hrafn Gunnarsson,http://en.wikipedia.org/wiki/Helgi_Hrafn_Gunnarsson,Reykjavik Constituency North,Pirate Party,2013–,,,
Hanna B. Kristjánsdóttir,http://en.wikipedia.org/wiki/Hanna_Birna_Kristj%C3%A1nsd%C3%B3ttir,Reykjavik Constituency South,Independence Party,2013–,,,
Sigríður I. Ingadóttir,http://en.wikipedia.org/wiki/Sigr%C3%AD%C3%B0ur_Ingibj%C3%B6rg_Ingad%C3%B3ttir,Reykjavik Constituency South,Social Democratic Alliance,2013–,,,
Pétur H. Blöndal,http://en.wikipedia.org/wiki/P%C3%A9tur_H._Bl%C3%B6ndal,Reykjavik Constituency South,Independence Party,2013–,,,
Guðlaugur Þór Þórðarson,http://en.wikipedia.org/wiki/Gu%C3%B0laugur_%C3%9E%C3%B3r_%C3%9E%C3%B3r%C3%B0arson,Reykjavik Constituency South,Independence Party,2013–,,,
Karl Garðarsson,,Reykjavik Constituency South,Progressive Party,2013–,,,
Jón Þór Ólafsson,http://en.wikipedia.org/wiki/J%C3%B3n_%C3%9E%C3%B3r_%C3%93lafsson,Reykjavik Constituency South,Pirate Party,2013–,,,
Óttarr Proppé,http://en.wikipedia.org/wiki/%C3%93ttarr_Propp%C3%A9,Reykjavik Constituency South,Bright Future,2013–,,,
Árni Páll Árnason,http://en.wikipedia.org/wiki/%C3%81rni_P%C3%A1ll_%C3%81rnason,Southwest Constituency,Social Democratic Alliance,2013–,,,
Willum Þór Þórsson,http://en.wikipedia.org/wiki/Willum_%C3%9E%C3%B3r_%C3%9E%C3%B3rsson,Southwest Constituency,Progressive Party,2013–,,,
Vilhjálmur Bjarnason,,Southwest Constituency,Independence Party,2013–,,,
Þorsteinn Sæmundsson,,Southwest Constituency,Progressive Party,2013–,,,
Elín Hirst,http://en.wikipedia.org/wiki/El%C3%ADn_Hirst,Southwest Constituency,Independence Party,2013–,,,
Gunnar Bragi Sveinsson,http://en.wikipedia.org/wiki/Gunnar_Bragi_Sveinsson,Northwest Constituency,Progressive Party,2013–,,,
Einar K. Guðfinnsson,http://en.wikipedia.org/wiki/Einar_K._Gu%C3%B0finnsson,Northwest Constituency,Independence Party,2013–,,,
Ásmundur Einar Daðason,http://en.wikipedia.org/wiki/%C3%81smundur_Einar_Da%C3%B0ason,Northwest Constituency,Progressive Party,2013–,,,
Haraldur Benediktsson,,Northwest Constituency,Independence Party,2013–,,,
Elsa Lára Arnardóttir,,Northwest Constituency,Progressive Party,2013–,,,
Jóhanna M. Sigmundsdóttir,,Northwest Constituency,Progressive Party,2013–,,,
Lilja R. Magnúsdóttir,http://en.wikipedia.org/wiki/Lilja_Rafney_Magn%C3%BAsd%C3%B3ttir,Northwest Constituency,Left-Green Movement,2013–,,,
Sigmundur D. Gunnlaugsson,http://en.wikipedia.org/wiki/Sigmundur_Dav%C3%AD%C3%B0_Gunnlaugsson,Northeast Constituency,Progressive Party,2013–,,,
Kristján Þór Júlíusson,http://en.wikipedia.org/wiki/Kristj%C3%A1n_%C3%9E%C3%B3r_J%C3%BAl%C3%ADusson,Northeast Constituency,Independence Party,2013–,,,
Höskuldur Þór Þórhallsson,http://en.wikipedia.org/wiki/H%C3%B6skuldur_%C3%9E%C3%B3r_%C3%9E%C3%B3rhallsson,Northeast Constituency,Progressive Party,2013–,,,
Steingrímur J. Sigfússon,http://en.wikipedia.org/wiki/Steingr%C3%ADmur_J._Sigf%C3%BAsson,Northeast Constituency,Left-Green Movement,2013–,,,
Líneik Anna Sævarsdóttir,,Northeast Constituency,Progressive Party,2013–,,,
Valgerður Gunnarsdóttir,http://en.wikipedia.org/wiki/Valger%C3%B0ur_Gunnarsd%C3%B3ttir,Northeast Constituency,Independence Party,2013–,,,
Kristján L. Möller,http://en.wikipedia.org/wiki/Kristj%C3%A1n_L._M%C3%B6ller,Northeast Constituency,Social Democratic Alliance,2013–,,,
Þórunn Egilsdóttir,,Northeast Constituency,Progressive Party,2013–,,,
Bjarkey Gunnarsdóttir,,Northeast Constituency,Left-Green Movement,2013–,,,
Brynhildur Pétursdóttir,,Northeast Constituency,Bright Future,2013–,,,
Sigurður I. Jóhannsson,http://en.wikipedia.org/wiki/Sigur%C3%B0ur_Ingi_J%C3%B3hannsson,South Constituency,Progressive Party,2013–,,,
Ragnheiður E. Árnadóttir,http://en.wikipedia.org/wiki/Ragnhei%C3%B0ur_El%C3%ADn_%C3%81rnad%C3%B3ttir,South Constituency,Independence Party,2013–,,,
Silja Dögg Gunnarsdóttir,,South Constituency,Progressive Party,2013–,,,
Unnur Brá Konráðsdóttir,http://en.wikipedia.org/wiki/Unnur_Br%C3%A1_Konr%C3%A1%C3%B0sd%C3%B3ttir,South Constituency,Independence Party,2013–,,,
Páll Jóhann Pálsson,,South Constituency,Progressive Party,2013–,,,
Oddný G. Harðardóttir,http://en.wikipedia.org/wiki/Oddn%C3%BD_G._Har%C3%B0ard%C3%B3ttir,South Constituency,Social Democratic Alliance,2013–,,,
Ásmundur Friðriksson,,South Constituency,Independence Party,2013–,,,
Haraldur Einarsson,,South Constituency,Progressive Party,2013–,,,
Vilhjálmur Árnason,http://en.wikipedia.org/wiki/Vilhj%C3%A1lmur_%C3%81rnason,South Constituency,Independence Party,2013–,,,
Páll Valur Björnsson,,South Constituency,Bright Future,2013–,,,
Egill Jónsson,"",Eastern Region,Independence Party,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Friðrik Sophusson,http://en.wikipedia.org/wiki/Fri%C3%B0rik_Sophusson,Capital Region,Independence Party,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Gunnlaugur Sigmundsson,"",Westfjords,Progressive Party,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Guðmundur Bjarnason,"",Northeastern Region,Progressive Party,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Guðný Guðbjörnsdóttir,"",Capital Region,Women's List,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Hjörleifur Guttormsson,http://en.wikipedia.org/wiki/Hj%C3%B6rleifur_Guttormsson,Eastern Region,People's Alliance,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Jón Hannibalsson,http://en.wikipedia.org/wiki/J%C3%B3n_Baldvin_Hannibalsson,Capital Region,Social Democratic Party,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Kristín Halldórsdóttir,"",Reykjanes,Women's List,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Kristín Ástgeirsdóttir,"",Capital Region,Women's List,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
Ragnar Arnalds,http://en.wikipedia.org/wiki/Ragnar_Arnalds,Northwestern Region,People's Alliance,1995–1999,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1995%E2%80%9399"
