id,wikidata
UP,Q550159
CDC,Q1125914
LP,Q1142892
NUDP,Q16937291
NDC,Q6972209
NPP,Q1142176
APD,Q4732391
LTP,Q21483197
NRP,Q6975241
LPD,Q6541121
