id,name,party,image,term,source,name__ar,area
1882,Marzouq AlGhanim,Independent,http://www.kna.kw/newsimages2/speaker_=_=_marzooq.jpg,14,http://www.kna.kw/clt/run.asp?id=1882,مرزوق علي محمد ثنيان الغانم,الدائرة الانتخابية الثانية
1910,Mobarak AlKhrinej,Independent,http://www.kna.kw/newsimages2/mubarak1_=_=_mubarak%20khrainej.jpg,14,http://www.kna.kw/clt/run.asp?id=1910,مبارك بنيه متعب الخرينج,الدائرة الانتخابية الرابعة
1902,Adel Al Khorafi,Independent,http://www.kna.kw/newsimages2/Adel_Alkhurafi_=_=_adel.jpg,14,http://www.kna.kw/clt/run.asp?id=1902,عادل مساعد محمد الخرافي,الدائرة الانتخابية الثانية
1883,Dr. Ahmad Al Azmi,Independent,http://www.kna.kw/newsimages2/ahmed2_=_=_ahmed.jpg,14,http://www.kna.kw/clt/run.asp?id=1883,د . أحمد عبد الله مطيع العازمي,الدائرة الانتخابية الخامسة
1892,Jamal Al Omar,Independent,http://www.kna.kw/newsimages2/jamal1_=_=_jamal.jpg,14,http://www.kna.kw/clt/run.asp?id=1892,جمال حسين العمر,الدائرة الانتخابية الثالثة
1899,Hamad Al Harshani,Independent,http://www.kna.kw/newsimages2/hamad1_=_=_hamad.jpg,14,http://www.kna.kw/clt/run.asp?id=1899,حمد سيف محمد الهرشاني,الدائرة الانتخابية الثانية
1886,Hamdan Al Azmi,Independent,http://www.kna.kw/newsimages2/hamdan1_=_=_hamdan.jpg,14,http://www.kna.kw/clt/run.asp?id=1886,حمدان سالم فنيطل العازمي,الدائرة الانتخابية : الخامسة
1868,Humoud Al Hamdan,Independent,http://www.kna.kw/newsimages2/homod1_=_=_homood.jpg,14,http://www.kna.kw/clt/run.asp?id=1868,حمود محمد الحمدان,الدائرة الانتخابية : الخامسة
1900,Khalaf Al Enezi,Independent,http://www.kna.kw/newsimages2/khalaf1_=_=_khalaf.jpg,14,http://www.kna.kw/clt/run.asp?id=1900,خلف دميثير عجاج العنزي,الدائرة الانتخابية الثانية
1904,Khalil Abdullah,Independent,http://www.kna.kw/newsimages2/kh3_=_=_khalil%20abdullah.jpg,14,http://www.kna.kw/clt/run.asp?id=1904,خليل عبد الله علي عبد الله,الدائرة الانتخابية الثالثة
1887,Dr. Khalil Saleh,Independent,http://www.kna.kw/newsimages2/kh1_=_=_khalil%20alsaleh.jpg,14,http://www.kna.kw/clt/run.asp?id=1887,خليل إبراهيم الصالح,الدائرة الانتخابية : الثانية
1873,Rakan Al Nesef,Independent,http://www.kna.kw/newsimages2/Rakan%20Yousef%20Alnosof_=_=_rakan.jpg,14,http://www.kna.kw/clt/run.asp?id=1873,راكان يوسف حمود النصف,الدائرة الانتخابية : الثانية
1905,Rawdan Al Rawdan,Independent,http://www.kna.kw/newsimages2/Roudhan%20Abdul%20Aziz%20AlRoudhan_=_=_rodhan.jpg,14,http://www.kna.kw/clt/run.asp?id=1905,روضان عبد العزيز العبد الله الروضان,الدائرة الانتخابية الثالثة
1907,Saad Al Khanfour,Independent,http://www.kna.kw/newsimages2/saad1_=_=_saad%20alrashidi.jpg,14,http://www.kna.kw/clt/run.asp?id=1907,سعد علي خالد الرشيدي,الدائرة الانتخابية الرابعة
1912,Saadoun Al Otaibi,Independent,http://www.kna.kw/newsimages2/s_hammad_=_=_saadon%20hammad.jpg,14,http://www.kna.kw/clt/run.asp?id=1912,سعدون حماد عبيد العتيبي,الدائرة الانتخابية الخامسة
1908,Sultan Al Shammari,Independent,http://www.kna.kw/newsimages2/Sultan_Alshammari_=_=_sultan.jpg,14,http://www.kna.kw/clt/run.asp?id=1908,سلطان جدعان عواد الشمري,الدائرة الانتخابية الرابعة
1913,Saif Al Azmi,Independent,http://www.kna.kw/newsimages2/Saif_AlAzmi_=_=_saif.jpg,14,http://www.kna.kw/clt/run.asp?id=1913,سيف مطلق سيف العازمي,الدائرة الانتخابية الخامسة
1894,Saleh Ashour,Independent,http://www.kna.kw/newsimages2/Saleh%20Ashor_=_=_saleh.jpg,14,http://www.kna.kw/clt/run.asp?id=1894,صالح أحمد حسن عاشور,الدائرة الانتخابية الأولى
1870,Saud AlHarijy,Independent,http://www.kna.kw/newsimages2/saud1_=_=_saud.jpg,14,http://www.kna.kw/clt/run.asp?id=1870,سعود نشمي الحريجي,الدائرة الانتخابية الرابعة
1878,Talal Al Sahli,Independent,http://www.kna.kw/newsimages2/t_saad_=_=_talal.jpg,14,http://www.kna.kw/clt/run.asp?id=1878,طلال سعد الجلال السهلي,الدائرة الانتخابية : الخامسة
1934,Dr. Abdul Hameed Dashti,Independent,http://www.kna.kw/images/member_14_/dashti.jpg,14,http://www.kna.kw/clt/run.asp?id=1934,د.عبد الحميد عباس دشتي,الدائرة الانتخابية الأولى
1884,Dr. Abdul Rahman AlJiran,Independent,http://www.kna.kw/newsimages2/abd_aljeeran_=_=_abdulRahman.jpg,14,http://www.kna.kw/clt/run.asp?id=1884,د . عبد الرحمن صالح الجيران,الدائرة الانتخابية الثانية
1914,Abdullah Al Tamimi,Independent,http://www.kna.kw/newsimages2/ab_altemimy_=_=_abdullah%20altemimy.jpg,14,http://www.kna.kw/clt/run.asp?id=1914,عبد الله إبراهيم عبد الله التميمي,الدائرة الانتخابية الخامسة
1885,Dr. Abdullah Al Traygi,Independent,http://www.kna.kw/newsimages2/ab_alturaijy_=_=_abdullah%20alturaijy.jpg,14,http://www.kna.kw/clt/run.asp?id=1885,د. عبد الله محمد عبدالرحمن الطريجي,الدائرة الانتخابية الأولى
1888,Dr. Ali Al Omair,Independent,http://www.kna.kw/newsimages2/ali_alOmair_=_=_ali%20alomair.jpg,14,http://www.kna.kw/clt/run.asp?id=1888,د . علي صالح العمير,الدائرة الانتخابية الثالثة
1875,Askar Al Enzi,Independent,http://www.kna.kw/newsimages2/aaskar1_=_=_aaskar.jpg,14,http://www.kna.kw/clt/run.asp?id=1875,عسكر عويد عسكر العنزي,الدائرة الانتخابية الرابعة
1895,Adnan AbdulSamad,Independent,http://www.kna.kw/newsimages2/adnan_sayyed_=_=_adnan%20abdul%20samad.jpg,14,http://www.kna.kw/clt/run.asp?id=1895,عدنان سيد عبد الصمد أحمد,الدائرة الانتخابية الأولى
1917,Abdullah Al Adwani,Independent,http://www.kna.kw/newsimages2/ab_aladwani_=_=_abdullah%20alAdwani.jpg,14,http://www.kna.kw/clt/run.asp?id=1917,عبد الله مرزوق ناهي العدواني,الدائرة الانتخابية الرابعة
1881,Dr. Awda Al Rowaey,Independent,http://www.kna.kw/newsimages2/_=_=_ÚæÏÉ%20ÚæÏÉ%20ÇáÑæíÚí.jpg,14,http://www.kna.kw/clt/run.asp?id=1881,د . عوده العوده الرويعي,الدائرة الانتخابية الثانية
