area,name,situation,party,gender,death_date,deputy,area_id,term
Adamaoua,ABOUBAKAR SIROMA,Elected,SDF,male,,DJOUMBA DJIDERE,adamaoua,9
Adamaoua,MAIKANO ABDOULAHI,Elected,SDF,female,,HADIDJA,adamaoua,9
Adamaoua,HAMAN PAUL,Elected,SDF,female,,BINTALI Paulina,adamaoua,9
Adamaoua,MAANDE Paul,Elected,SDF,female,,FANTA Jeannine Figuim,adamaoua,9
Adamaoua,NGUIEBE Joël,Elected,SDF,female,,DIDDI Madeleine,adamaoua,9
Adamaoua,Mme HAOUA Madeleine,Elected,SDF,male,,ABOUBAKAR ISSA,adamaoua,9
Adamaoua,AHMADOU TIDJANI,Elected,SDF,male,,OUSMAN IBRAHIM,adamaoua,9
Adamaoua,BABA HAMADOU,Appointed,RDPC,male,,HALIROU MAMOUDOU,adamaoua,9
Adamaoua,MOUSSA SABO,Appointed,RDPC,male,,ABOUBAKAR KOMBO,adamaoua,9
Adamaoua,MOHAMAN GABDO,Appointed,RDPC,male,,SAMAKI JOSEPH,adamaoua,9
Centre,NAAH ONDOUA Sylvestre,Elected,RDPC,female,,Mme NTSOGO Salomé,centre,9
Centre,S.M. MAMA Jean Marie,Elected,RDPC,male,,ABATE MESSANGA André,centre,9
Centre,ESSOMBA TSOUNGUI Elie,Elected,RDPC,female,,Mme BEKONO Lucie,centre,9
Centre,ANONG ADIBIME Pascal,Elected,RDPC,male,,SOYA ZENON,centre,9
Centre,BELL Luc René,Elected,RDPC,female,,Mme NGO NSOM Julienne,centre,9
Centre,Mme OKALA BILAÎ Nicole,Elected,RDPC,male,,MVOUTSI GOMTSE,centre,9
Centre,NNEMDE Emmanuel,Elected,RDPC,female,,Mme ONGOLO Régine,centre,9
Centre,NKODO Laurent,Appointed,RDPC,male,,BIHINA ELOUNDOU Floribert,centre,9
Centre,ONDOUA Pius,Appointed,RDPC,male,,ABANDA METOGO Valère,centre,9
Centre,PONGMONI Jean Marie,Appointed,RDPC,male,,NDI SAMBA Joseph,centre,9
East,SALE Charles,Elected,RDPC,male,,ZAORO ADAMOU,east,9
East,Mme NDJOLE ASSOUO épse TOKPANOU Isabelle,Elected,RDPC,male,,EBOLA Gérard,east,9
East,Mme OULI NDONGO Monique,Elected,RDPC,male,,DJANGOUA Salomon,east,9
East,NDANGA NDINGA Badel,Elected,RDPC,female,,Mme EYENGA Blandine,east,9
East,AMAMA AMAMA Benjamin,Elected,RDPC,male,,AMBAH Emmanuel,east,9
East,Mme MOAMPEA Marie Claire,Elected,RDPC,male,,DIWALA MONI Hilarion,east,9
East,MBOUNDJO Jean,Elected,RDPC,female,,Mme DONDJA BAMBOUA Julienne épse KOMBO,east,9
East,MATTA Joseph Roland,Appointed,RDPC,male,,VOUMIA Rigobert,east,9
East,ZE NGUELE René,Appointed,RDPC,male,,ALEOKOL Jean Marie,east,9
East,Mme ABOUI Marlyse,Appointed,ANDP,male,,NGBA Zacharie,east,9
Far-North,ABBA BOUKAR,Elected,RDPC,female,,Mme SAKI LAMINE,far-north,9
Far-North,MAHAMAT ABDOULKARIM,Elected,RDPC,male,,HEROUAMA MALLOUM,far-north,9
Far-North,ALIOUM ALADJI HAMADOU,Elected,RDPC,female,,Mme DAM DAM Marie,far-north,9
Far-North,ABDOULAYE WOUYACK MARAVA,Elected,RDPC,male,,KOGNE ZIMA,far-north,9
Far-North,Mme ZAKIATOU épse SALE,Elected,RDPC,male,,BOUKASSA VAGAI,far-north,9
Far-North,Mme DJAKAOU née FOUTCHOU Julienne,Elected,RDPC,male,,BOUBA DJOULDE,far-north,9
Far-North,AMRAKAYE Martin,Elected,RDPC,male,,GAOUE Henri,far-north,9
Far-North,MAHAMAT BAHAR Manouf,Appointed,RDPC,male,,HESSANA MAHAMAT,far-north,9
Far-North,BASKOUDA Jean Baptiste,Appointed,RDPC,male,,NGABAYA TCHEF TCHEF,far-north,9
