id,name,type,group,area_id,area,gender,image,term,source
588,ABABSA NASSER,National,INDEPENDANTS,ocd-division/country:dz/wilayah:40,Khenchla,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/313.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/588-ababsa-nasser
22,ABAS ABDELHAMID,National,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:34,Bordj Bou Arreridj,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/477.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/22-abas-abdelhamid
23,ABAZI MOHAMED KAMEL,National,PARTI NAT. POUR LA SOLIDARITE ET LE DEVELOPPEMENT,ocd-division/country:dz/wilayah:30,Ouargla,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/314.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/23-abazi-mohamed-kame
24,ABDELAZIZ MANSOUR,National,FRONT DU CHANGEMENT,ocd-division/country:dz/wilayah:35,Boumerdes,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/318.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/24-abdelaziz-mansour
25,ABDELLAOUI ABDELKADER,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:22,Sidi Bel Abbes,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/319.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/25-abdellaoui-abdelkader
26,ABDELLI ZOUBIR,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:9,Blida,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/321.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/26-abdelli-zoubir
27,ABDELOUAHAB ABDELHALIM,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:16,Alger,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/320.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/27-abdelouahab-abdelhalim
30,ABDELSADOUK SID AHMED,National,MOUVEMENT POPULAIRE ALGERIEN,ocd-division/country:dz/wilayah:48,Relizane,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/317.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/30-abdelsadouk-sid-ahmed
31,ABEIRI SID AHMED,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:37,Tindouf,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/3.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/31-abeiri-sid-ahmed
34,ABIDAT AMAR,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:17,Djelfa,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/323.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/34-abidat-amar
35,ADAMMI MOHAMMED,National,AHD 54,ocd-division/country:dz/wilayah:33,Illizi,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/6.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/35-adammi-mohammed
38,AGGAB BOUALEM,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:22,Sidi Bel Abbes,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/336.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/38-aggab-boualem
39,AGUENINI MESSAOUD,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:9,Blida,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/10.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/39-aguenini-messaoud
41,AISSAOUI ABDELHAMID,National,INDEPENDANTS,ocd-division/country:dz/wilayah:5,Batna,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/352.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/41-aissaoui-abdelhamid
42,AKABA NASREDDINE,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:26,Medea,Homme,http://www.apn.dz/fr/media/com_mtree/images/listings/s/337.jpg,7,http://www.apn.dz/fr/les-membres/deputes-national/42-akaba-nasreddine
