incoming_name,existing_name,confidence
Karin Jiroflée,Karine Jiroflée,95.65217391304348
Julie Fernandez Fernandez,Julie Fernandez-Fernandez,95.23809523809523
Robert Van de Velde,Rob Van de Velde,85.71428571428571
Sophie Wilmès,Sophie Wilmes,80.0
