incoming_name,existing_name,confidence
Danne Sundman,Sundman Danne,100.0
Anders Eriksson,Eriksson Anders,100.0
Viveka Eriksson,Eriksson Viveka,100.0
Anders Englund,Englund Anders,100.0
Torsten Sundblom,Sundblom Torsten,100.0
Torbjörn Eliasson,Eliasson Torbjörn,100.0
Runar Karlsson,Karlsson Runar,100.0
Roger Nordlund,Nordlund Roger,100.0
Roger Jansson,Jansson Roger,100.0
Olof Erland,Erland Olof,100.0
Jörgen Strand,Strand Jörgen,100.0
Barbro Sundback,Sundback Barbro,100.0
Harry Jansson,Jansson Harry,100.0
Gunnar Jansson,Jansson Gunnar,100.0
Gun Carlson,Carlson Gun,100.0
Gun-Mari Lindholm,Lindholm Gun-Mari,100.0
Fredrik Karlström,Karlström Fredrik,100.0
Carina Aaltonen,Aaltonen Carina,100.0
Camilla Gunell,Gunell Camilla,100.0
Britt Lundberg,Lundberg Britt,100.0
Johan Ehn,Ehn Johan,100.0
