id,uuid
mario-adao-carlos-almeida,a30fe409-1837-4c10-a922-62fcc1269dc5
mario-siano-fambe,ad80d122-8923-469c-9e90-9ee819a266d6
martina-moreira-moniz-nafantchamna,c1d91638-1b6c-4b83-9f94-20cdddf5f0ad
mulai-balde,d74cb663-0367-4bd2-8a84-bc14d92a27e9
nhau-incanha,608cae87-7e70-4857-90f0-f09bcd59673d
nicolau-dos-santos,de152053-71bc-4ebd-b0fb-72f59973bddc
orlando-mendes-viegas,0b551a51-f88b-4cd9-9f21-893e5a7df905
paulino-te,e9c9e303-348f-4879-9e5e-848acd80d60d
serifo-jalo,6c5b7ba6-7e4c-48d6-b1d9-7c197a56199d
sola-naquilin-babitchita,28473f65-7c0e-4b37-b0b7-77a1b28faa8c
tumane-balde,0807f56f-a93f-4af4-b80e-b8ed55a50f5c
mama-saliu-embalo,b918888d-5dd6-45dd-bb34-e78bc299f1bf
victor-luis-pinto-fernandes-mandigna,743231eb-da75-4bd0-9c7d-6ad35f7d431d
abubacri-demba-balde,2ef09839-4abf-4075-bc1f-b8c39817f937
joao-maria-batica-ferreira,be9abd84-6bee-4ff8-8397-38dba43f1599
