incoming_name,existing_name,id,confidence
David Anderson,David L. Anderson,,95.65217391304348
Nycole Turmel,Nycole Turmell,,95.23809523809523
Jack Layton,Jack Laytoni,,94.11764705882352
Bob Rae,Bob Raeh,,88.88888888888889
David de Burgh Graham,David Graham,,78.26086956521739
Patricia Davidson,Pat Davidson,,78.26086956521739
Władysław Lizoń,Wladyslaw Lizon,,58.333333333333336
Dick Harris,Richard Harris,,
