id,name,term,source,gender,birth_place,birth_date,party,faction,religion
238,حنين محمود احمد قدو,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=238,male,نينوى,1949,كتلة الاحرار,ائتلاف الاحرار,مسلم
239,نھلة حسين سعدلله ويردي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=239,female,نينوى,1979,كتلة الاحرار,ائتلاف الاحرار,مسلم
240,عبدالرحمن حسن خالد عبدلله اللويزي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=240,male,نينوى,1974,كتلة الجماهير السامية,ائتلاف العربية,مسلم
241,محمد نوري احمد حمود عبدربه,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=241,male,نينوى,1969,ائتلاف الجماهير الوطنية,ائتلاف العربية,مسلم
242,ساجده محمد يونس عبدالكريم عباس,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=242,female,نينوى,1968,ائتلاف الجماهير الوطنية,ائتلاف العربية,مسلم
243,سبھان سليمان صلبي احمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=243,male,نينوى,1958,يةكيَتى نيشتمانى كوردستان \\\\ الاتحاد الوطني الكوردستاني,يه كيتي نيشتماني كوردستان \\\\\\\\الاتحاد الوطني الكوردستاني,مسلم
254,علي يوسف عبدالنبي عمران,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=254,male,نجف,1969,كتلة الاحرار,ائتلاف الاحرار,مسلم
257,فريد خالد داخل شعلان,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=257,male,نجف,1962,حركة الوفاء العراقية,ائتلاف دولة القانون,مسلم
258,عبدالھادي محمدتقي سعيد حسين,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=258,male,نجف,1949,المواطن,ائتلاف المواطن,مسلم
269,جواد كاظم عيدان عبد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=269,male,القادسية,1960,تجمع الكفاءات والجماھير,ائتلاف دولة القانون,مسلم
270,علي مانع عطية سلمان,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=270,male,القادسية,1975,حزب الدعوة الاسلامية / تنظيم الداخل,حزب الدعوة الاسلامية / تنظيم الداخل,مسلم
272,بدر محمود فحل خليل,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=272,male,صلاح الدين,1969,تجمع مقتدرون للسلم والبناء,ائتلاف العربية,مسلم
273,امل مرعى حسن محمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=273,female,صلاح الدين,1975,ائتلاف الجماهير الوطنية,ائتلاف العربية,مسلم
274,عبدالقھار مھدي محمد حسن,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=274,male,صلاح الدين,1973,التجمع المدني للإصلاح (عمل),متحدون للاصلاح,مسلم
275,مطشر حسين عليوي ياسين,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=275,male,صلاح الدين,1955,متحدون للاصلاح,متحدون للاصلاح,مسلم
276,ھناء اصغر محمد رضا,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=276,female,صلاح الدين,1968,للعراق متحدون,متحدون للاصلاح,مسلم
277,شعلان عبدالجبار علي الكريم,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=277,male,صلاح الدين,1967,تجمع نداء الحرية,ائتلاف الوطنية,مسلم
268,عبدالحسين عزيز احمد جليل,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=268,male,القادسية,1977,حزب الفضيلة الاسلامي,ائتلاف الفضيله والنخب المستقلة,مسلم
267,حامد موسى احمد موسى,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=267,male,القادسية,1957,المواطن,ائتلاف المواطن,مسلم
259,بان عبدالرضا سعد دوش,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=259,female,نجف,1960,المجلس الاعلى الاسلامي العراقي,ائتلاف المواطن,مسلم
260,ھدى سجاد محمود شاكر,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=260,female,القادسية,1978,حزب الدعوة الاسلامية,ائتلاف دولة القانون,مسلم
261,محمد كون حميدي فلك,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=261,male,القادسية,1968,منظمة بدر,ائتلاف دولة القانون,مسلم
262,سھام موسى حمود جبر,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=262,female,القادسية,1983,منظمة بدر,ائتلاف دولة القانون,مسلم
263,عبدالاله علي محمد طاھر النائلي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=263,male,القادسية,1969,حزب الدعوة الاسلامية,ائتلاف دولة القانون,مسلم
264,عباس جابر مطيوي شنان,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=264,male,القادسية,1971,حزب الدعوة الاسلامية,ائتلاف دولة القانون,مسلم
265,غزوان فيصل فاھم كاظم,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=265,male,القادسية,1980,كتلة الاحرار,ائتلاف الاحرار,مسلم
266,اقبال علي موات حمود,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=266,female,القادسية,1969,كتلة الاحرار,ائتلاف الاحرار,مسلم
278,اشواق سالم حسن حسين,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=278,female,صلاح الدين,1975,تجمع نداء الحرية,ائتلاف الوطنية,مسلم
186,ليلى علي خضر احمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=186,female,كركوك,1978,يةكيَتى نيشتمانى كوردستان \\\\ الاتحاد الوطني الكوردستاني,يه كيتي نيشتماني كوردستان \\\\\\\\الاتحاد الوطني الكوردستاني,مسلم
200,ناظم كاطع رسن سراج,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=200,male,ميسان,1971,حزب الدعوة الاسلامية,ائتلاف دولة القانون,مسلم
202,عادل مھودر راضي ماھود,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=202,male,ميسان,1970,كتلة الاحرار,ائتلاف الاحرار,مسلم
203,ماجد جبار عبدالحسين زورة,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=203,male,ميسان,1972,كتلة الاحرار,ائتلاف الاحرار,مسلم
204,انغام حوشي سالم وشيع,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=204,female,ميسان,1973,كتلة الاحرار,ائتلاف الاحرار,مسلم
205,فيصل غازي حسين شبار,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=205,male,ميسان,1962,المجلس الاعلى الاسلامي العراقي,ائتلاف المواطن,مسلم
206,عبير عيسى محمد عبدلله,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=206,female,ميسان,1978,المجلس الاعلى الاسلامي العراقي,ائتلاف المواطن,مسلم
207,صباح مھدي حسين سلمان,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=207,male,ميسان,1973,تيار الإصلاح الوطني / الدكتور الجعفري,تحالف الاصلاح الوطني / الجعفري,مسلم
208,عدنان ھادي نورعلي سعيد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=208,male,المثنى,1952,حزب الدعوة الاسلامية,ائتلاف دولة القانون,مسلم
199,علي معارج صويدج طاھر,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=199,male,ميسان,1966,كتلة مستقلون,ائتلاف دولة القانون,مسلم
198,محمد سعدون حاتم صيھود,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=198,male,ميسان,1964,حزب الدعوة الاسلامية / تنظيم العراق,ائتلاف دولة القانون,مسلم
187,ارشد رشاد فتح لله عبدالرزاق,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=187,male,كركوك,1959,تجمع تركمان العراق,قائمة جبهة تركمان كركوك,مسلم
188,حسن توران بھاء الدين سعيد عبدلله,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=188,male,كركوك,1962,تجمع تركمان العراق,قائمة جبهة تركمان كركوك,مسلم
189,شاخه وان عبدلله احمد عبدالقادر,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=189,male,كركوك,1979,الحزب الديموقراطي الكوردستاني,الحزب الديموقراطي الكوردستاني,مسلم
190,اميرة كريم حمة لاو مردان,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=190,female,كركوك,1970,الحزب الديموقراطي الكوردستاني,الحزب الديموقراطي الكوردستاني,مسلم
191,محمد علي محمد تميم,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=191,male,كركوك,1974,الجبهه العراقيه للحوار الوطني,ائتلاف العربية,مسلم
192,خالد حمد علاوي شھاب المفرجي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=192,male,كركوك,1974,للعراق متحدون,متحدون للاصلاح,مسلم
193,يونادم يوسف كنا خوشابا,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=193,male,بغداد,1951,قائمة الرافدين,قائمة الرافدين,مسيحي
196,رائد اسحق متي داود,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=196,male,نينوى,1970,المجلس الشعبي الكلداني السرياني الآشوري,المجلس الشعبي الكلداني السرياني الاشوري,مسيحي
209,رسول راضي ابوحسنة عاصي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=209,male,المثنى,1948,حزب الدعوة الاسلامية,ائتلاف دولة القانون,مسلم
210,علي لفتة فنغش حسن,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=210,male,المثنى,1969,منظمة بدر,ائتلاف دولة القانون,مسلم
211,خولة منفي جودة عوفي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=211,female,المثنى,1969,كتلة مستقلون,ائتلاف دولة القانون,مسلم
226,نورة سالم محمد حماد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=226,female,نينوى,1966,الحركة الوطنية للاصلاح والتنمية ( الحل ),متحدون للاصلاح,مسلم
227,فارس صديق نوري عبدالجبار,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=227,male,نينوى,1967,الحزب الديموقراطي الكوردستاني,الحزب الديموقراطي الكوردستاني,مسلم
228,ماجد خلف حمو مسطو,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=228,male,نينوى,1973,الحزب الديموقراطي الكوردستاني,الحزب الديموقراطي الكوردستاني,مسلم
229,محسن سعدون احمد سعدون,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=229,male,نينوى,1950,الحزب الديموقراطي الكوردستاني,الحزب الديموقراطي الكوردستاني,مسلم
230,سوران اسماعيل عبدلله خضر,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=230,male,نينوى,1971,الحزب الديموقراطي الكوردستاني,الحزب الديموقراطي الكوردستاني,مسلم
231,فيان دخيل سعيد خضر,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=231,female,بغداد,1971,الحزب الديموقراطي الكوردستاني,الحزب الديموقراطي الكوردستاني,يزيدي
232,بھار سليمان عيسى نعمان,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=232,female,نينوى,1978,الحزب الديموقراطي الكوردستاني,الحزب الديموقراطي الكوردستاني,مسلم
233,عبدالرحيم جاسم محمد مطلك,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=233,male,نينوى,1971,حركة العدل والاصلاح العراقي,ائتلاف الوطنية,مسلم
