id,start_date,end_date,name,term_number
4th National Council: 2010 - 2015,2010,2015,4th National Council: 2010 - 2015,4
3rd National Council: 2004 - 2010,2004,2010,3rd National Council: 2004 - 2010,3
2nd National Council: 1998 - 2004,1998,2004,2nd National Council: 1998 - 2004,2
1st National Council: 1993 - 1998,1993,1998,1st National Council: 1993 - 1998,1
6th National Assembly: 2015 - 2020,2015,2020,6th National Assembly: 2015 - 2020,6
5th National Assembly: 2010 - 2015,2010,2015,5th National Assembly: 2010 - 2015,5
4th National Assembly: 2005 - 2010,2005,2010,4th National Assembly: 2005 - 2010,4
3rd National Assembly: 2000 - 2005,2000,2005,3rd National Assembly: 2000 - 2005,3
2nd National Assembly: 1995 - 2000,1995,2000,2nd National Assembly: 1995 - 2000,2
1st National Assembly: 1990 - 1995,1990,1995,1st National Assembly: 1990 - 1995,1
Constituent Assembly: 1989 - 1990,1989,1990,Constituent Assembly: 1989 - 1990,0
