id,identifier__skupstina,birth_date,name,image,source,term,party,party_id,start_date,end_date
550a7f50273a3965683bd826,148,"",Ljerka Dragičević,http://files.parldata.eu/me/skupstina/people/550a7f50273a3965683bd826/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/28-skupstina/poslanice-i-poslanici/parlamentarne-partije/hrvatska-gradanska-inicijativa/148-ljerka-dragicevic,25,Hrvatska građanska inicijativa,hrvatska-gradanska-inicijativa,2012,2015
550a7f52273a3965683bd82a,249,"",Nik Gjeloshaj,http://files.parldata.eu/me/skupstina/people/550a7f52273a3965683bd82a/image.2.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica?layout=edit&id=249,25,Demokratska partija,demokratska-partija,2012,2015
550a7f52273a3965683bd82e,145,"",Genci Nimanbegu,http://files.parldata.eu/me/skupstina/people/550a7f52273a3965683bd82e/image.2.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/27-skupstina/poslanice-i-poslanici/parlamentarne-partije/forca/145-genci-nimanbegu,25,Forca,forca,2012,2015
550a7f53273a3965683bd832,105,1973-10-08,Suljo Mustafić,http://files.parldata.eu/me/skupstina/people/550a7f53273a3965683bd832/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/23-skupstina/poslanice-i-poslanici/parlamentarne-partije/bosnjacka-stranka/105-suljo-mustafic,25,Bošnjačka stranka,bosnjacka-stranka,2012,2015
550a7f54273a3965683bd836,265,1956-05-10,Rešad Sijarić,http://files.parldata.eu/me/skupstina/people/550a7f54273a3965683bd836/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/lista-poslanika-i-poslanica?layout=edit&id=265,25,Bošnjačka stranka,bosnjacka-stranka,2012,2015
550a7f55273a3965683bd83a,102,1975-02-17,Almer Kalač,http://files.parldata.eu/me/skupstina/people/550a7f55273a3965683bd83a/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/23-skupstina/poslanice-i-poslanici/parlamentarne-partije/bosnjacka-stranka/102-almer-kalac,25,Bošnjačka stranka,bosnjacka-stranka,2012,2015
550a7f56273a3965683bd83e,103,1965-11-29,Zoran Miljanić,http://files.parldata.eu/me/skupstina/people/550a7f56273a3965683bd83e/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/22-skupstina/poslanice-i-poslanici/parlamentarne-partije/pozitivna-crna-gora/103-zoran-miljanic,25,Pozitivna Crna Gora,pozitivna-crna-gora,2012,2015
550a7f57273a3965683bd842,101,"",Goran Tuponja,http://files.parldata.eu/me/skupstina/people/550a7f57273a3965683bd842/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/22-skupstina/poslanice-i-poslanici/parlamentarne-partije/pozitivna-crna-gora/101-goran-tuponja,25,Pozitivna Crna Gora,pozitivna-crna-gora,2012,2015
550a7f58273a3965683bd846,100,1985-12-25,mr Dritan Abazović,http://files.parldata.eu/me/skupstina/people/550a7f58273a3965683bd846/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/22-skupstina/poslanice-i-poslanici/parlamentarne-partije/pozitivna-crna-gora/100-mr-dritan-abazovic,25,Pozitivna Crna Gora,pozitivna-crna-gora,2012,2015
550a7f59273a3965683bd84a,99,1976-06-11,Srđan Perić,http://files.parldata.eu/me/skupstina/people/550a7f59273a3965683bd84a/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/22-skupstina/poslanice-i-poslanici/parlamentarne-partije/pozitivna-crna-gora/99-srdan-peric,25,Pozitivna Crna Gora,pozitivna-crna-gora,2012,2015
550a7f5a273a3965683bd84e,96,1972-11-24,Darko Pajović,http://files.parldata.eu/me/skupstina/people/550a7f5a273a3965683bd84e/image.jpeg,http://www.skupstina.me/index.php/me/skupstina/poslanice-i-poslanici/parlamentarne-partije/22-skupstina/poslanice-i-poslanici/parlamentarne-partije/pozitivna-crna-gora/96-darko-pajovic,25,Pozitivna Crna Gora,pozitivna-crna-gora,2012,2015
