name,area,group,term
Ibrahim DIDI,FEYDHOO,Progressive Party of Maldives,2014
Ali NIZAR,HITHADHOO DHEKUNU,Maldives Democratic Party,2014
Ibrahim Mohamed DIDI,HITHADHOO MEDHU,Maldives Democratic Party,2014
Mohamed ASLAM,HITHADHOO UTHURU,Maldives Democratic Party,2014
Mohamed SHAHIDH,HULHUDHOO,Progressive Party of Maldives,2014
Ibrahim SHAREEF,MARADHOO,Maldives Democratic Party,2014
Rozaina ADAM,MEEDHOO,Maldives Democratic Party,2014
Hussain MOHAMED,MATHIVERI,Republican Party,2014
Ibrahim HASSAN,THOHDOO,Republican Party,2014
Ilham AHMED,DHANGETHI,Republican Party,2014
Qasim IBRAHIM,MAAMIGILI,Republican Party,2014
Ahmed THORIQ,MAHIBADHOO,"",2014
Ahmed SALEEM,EYDHAFUSHI,Progressive Party of Maldives,2014
Ali HUSSAIN,KENDHOO,Republican Party,2014
Nazim RASHAAD,THULHAADHOO,Maldives Democratic Party,2014
Ahmed AMIR,KUDAHUVADHOO,Maldives Development Alliance,2014
Ahmed Siyam MOHAMED,MEEDHOO,Maldives Development Alliance,2014
Ahmed MUBEEN,BILEHDHOO,Republican Party,2014
Abdullah KHALEEL,NILANDHOO,"",2014
Abdullah Maseeh MOHAMED,FUVAHMULAH DHEKUNU,Progressive Party of Maldives,2014
Ali FAZAD,FUVAHMULAH MEDHU,Progressive Party of Maldives,2014
Ali SHAH,FUVAHMULAH UTHURU,Progressive Party of Maldives,2014
Ahmed Assad,DHAANDHOO,Progressive Party of Maldives,2014
Jameel Usman,GEMANAFUSHI,Progressive Party of Maldives,2014
Saud Hussain,VILLINGILI,Progressive Party of Maldives,2014
Hussain Mohamed LATHEEF,FARESMAATHODA,Progressive Party of Maldives,2014
Ahmed RASHEEDH,GADHOO,Progressive Party of Maldives,2014
Muaz Mohamed RASHEED,MADAVELI,"",2014
Abdullah AHMED,THINADHOO DHEKUNU,Republican Party,2014
Saudhullah HILMY,THINADHOO UTHURU,Progressive Party of Maldives,2014
Ibrahim SHUJAU,BAARASHU,Progressive Party of Maldives,2014
Abdul Latheef MOHAMED,DHIHDHOO,"",2014
Mohamed ISMAIL,HOARAFUSHI,Maldives Development Alliance,2014
Mohamed ABDULLAH,IHAVANDHOO,Republican Party,2014
Ali ARIF,KELAA,Progressive Party of Maldives,2014
Hussain SHAHUDHEE,HANIMADHOO,Republican Party,2014
Mohamed NASHEED,KULHUDHUHFUSHI DHEKUNU,Progressive Party of Maldives,2014
Abdul Ghafoor MOOSA,KULHUDHUHFUSHI UTHURU,Maldives Democratic Party,2014
Anaara NAEEM,MAKUNUDHOO,Justice Party,2014
Hussain AREEF,NOLHIVARAM,Republican Party,2014
Mohamed NAZIM,VAIKARADHOO,Maldives Democratic Party,2014
Ibrahim RIZA,GURAIDHOO,Progressive Party of Maldives,2014
Faisal NASEEM,KAASHIDHOO,Republican Party,2014
Mohamed Waheed IBRAHIM,THULUSDHOO,Progressive Party of Maldives,2014
Abdu Raheem ABDULLAH,FONADHOO,Progressive Party of Maldives,2014
Fayyaz ISMAIL,GAN,Maldives Democratic Party,2014
Ahmed Rasheed IBRAHIM,ISDHOO,Progressive Party of Maldives,2014
Ahmed Azhan FAHMY,MAAVASHU,Progressive Party of Maldives,2014
Ibrahim Mohamed SALIH,HINNAVARU,Maldives Democratic Party,2014
Abdul Baaree ABDULLAH,KURENDHOO,Maldives Democratic Party,2014
Ahmed SHIYAM,NAIFARU,"",2014
Ahmed MAHLOOF,GALOLHU DHEKUNU,Progressive Party of Maldives,2014
Eva ABDULLAH,GALOLHU UTHURU,Maldives Democratic Party,2014
Mohamed Abdul KAREEM,HENVEIRU DHEKUNU,Maldives Democratic Party,2014
Abdullah SHAHID,HENVEIRU UTHURU,Maldives Democratic Party,2014
Moosa MANIK,HULHU HENVEIRU,Maldives Democratic Party,2014
Abdullah RIFAU,MAAFANNU DHEKUNU,Progressive Party of Maldives,2014
Mohamed FALAH,MAAFANNU HULHANGU,Maldives Democratic Party,2014
Asma RASHEEDH,MAAFANNU MEDHU,Progressive Party of Maldives,2014
Imthiyaz FAHMY,MAAFANNU UTHURU,Maldives Democratic Party,2014
Abdullah SINAN,MACHANGOLHI DHEKUNU,Progressive Party of Maldives,2014
Mariya Ahmed DIDI,MACHANGOLHI UTHURU,Maldives Democratic Party,2014
Ali AZIM,MEDHU HENVERIU,Maldives Democratic Party,2014
Ahmed Nihan H MANIK,VILIMALE,Progressive Party of Maldives,2014
