id,name,term,source,image,birth_date,birth_place,nationality,area,group
14173,Абдижамилов Жолдасбай Зинатдинович,5,http://www.parliament.gov.uz/uz/structure/deputy/14173,"",1984-11-04,"Қорақалпоғистон Республикаси, Нукус шаҳри",қорақалпоқ,4-Амударё сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
2106,Абдубакиев Сиддик Ахматжонович,5,http://www.parliament.gov.uz/uz/structure/deputy/2106,http://www.parliament.gov.uz/upload/iblock/c9a/_mg_4319.jpg,1963-12-20,Андижон шаҳри,ўзбек,Андижон вилояти,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
2181,Абдуғаниев Отабек Абдуҳамидович,5,http://www.parliament.gov.uz/uz/structure/deputy/2181,http://www.parliament.gov.uz/upload/iblock/73f/_mg_4313.jpg,1974-07-23,"Сирдарё вилояти, Ховос тумани",ўзбек,Сирдарё вилояти,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
13951,Абдукадыров Дониёр Хусанович,5,http://www.parliament.gov.uz/uz/structure/deputy/13951,http://www.parliament.gov.uz/upload/iblock/1a1/thomgshexgczchevxugnkj%20ojinxescnljb.jpg,1981-08-07,"Тошкент вилояти, Зангиота тумани",ўзбек,81-Зангиота,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14183,Абдуқодиров Абдурашид Толибжонович,5,http://www.parliament.gov.uz/uz/structure/deputy/14183,"",1976-01-14,"Фарғона вилояти, Қува тумани",ўзбек,102-Қува сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
2188,Абдуллаев Илҳом Зоирович,5,http://www.parliament.gov.uz/uz/structure/deputy/2188,http://www.parliament.gov.uz/upload/iblock/617/_mg_4615.jpg,1965-05-18,"Туркманистон Республикаси, Чарджоу шаҳри",ўзбек,131-Астробод сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
2196,Абдусатторов Тўлқин Сайфуллаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/2196,http://www.parliament.gov.uz/upload/iblock/3e5/_mg_4351.jpg,1978-01-18,Жиззах вилояти,ўзбек,32-Ғаллаорол,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
2126,Айтжанова Нурия Жалгасбаевна,5,http://www.parliament.gov.uz/uz/structure/deputy/2126,http://www.parliament.gov.uz/upload/iblock/608/_mg_4312.jpg,1966-02-07,"Қорақалпоғистон Республикаси, Хожели қаласи",қозоқ,Қорақалпоғистон Республикаси,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
14393,Акбаров Нуман Абдуазизович,5,http://www.parliament.gov.uz/uz/structure/deputy/14393,"",1961-11-22,"Фарғона вилояти, Қўқон шаҳри",ўзбек,93-Қўқон сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
14174,Акрамова Зулайҳо Абдуразоқовна,5,http://www.parliament.gov.uz/uz/structure/deputy/14174,"",1970-09-15,"Жиззах вилояти, Бахмал тумани",ўзбек,30-Дўстлик сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
