id,name,sort_name,honorific_prefix,group,start_date,birth_date,source,twitter,facebook,website,term
829,DRAGAN ALEKSIC,DRAGAN ALEKSIC,"",,2014-04-16,1963,http://www.parlament.gov.rs/DRAGAN_ALEKSIC.829.488.html,,,,10
731,IRENA ALEKSIC,IRENA ALEKSIC,"",,2014-04-16,1978,http://www.parlament.gov.rs/IRENA_ALEKSIC.731.488.html,,,,10
821,ADRIANA ANASTASOV,ADRIANA ANASTASOV,"",,2014-04-16,1985,http://www.parlament.gov.rs/ADRIANA_ANASTASOV.821.488.html,http://www.twitter.com/adrianastasov,http://www.facebook.com/adriana.anastasov,,10
824,MIRJANA ANDRIC,MIRJANA ANDRIC,"",,2014-04-16,1959,http://www.parlament.gov.rs/MIRJANA_ANDRIC.824.488.html,,,,10
675,ZORAN ANTIC,ZORAN ANTIC,"",,2014-04-16,1962,http://www.parlament.gov.rs/ZORAN_ANTIC.675.488.html,,,,10
416,KONSTANTIN ARSENOVIC,KONSTANTIN ARSENOVIC,"",,2014-04-16,1940,http://www.parlament.gov.rs/KONSTANTIN_ARSENOVIC.416.488.html,,,,10
676,VEROLJUB ARSIC,VEROLJUB ARSIC,"",,2014-04-16,1969,http://www.parlament.gov.rs/VEROLJUB_ARSIC.676.488.html,,,,10
603,MARKO Prof.ATLAGIC,MARKO Prof. Dr ATLAGIC,Dr,,2014-04-16,1949,http://www.parlament.gov.rs/MARKO_ATLAGIC++.603.488.html,,,,10
872,VLADO BABIC,VLADO BABIC,"",,2014-05-10,1960,http://www.parlament.gov.rs/VLADO_BABIC.872.488.html,,,,10
678,ZORAN BABIC,ZORAN BABIC,"",,2014-04-16,1971,http://www.parlament.gov.rs/ZORAN_BABIC.678.488.html,,,,10
769,MUAMERBACEVAC,MUAMER Dr BACEVAC,Dr,,2014-04-16,1977,http://www.parlament.gov.rs/MUAMER_BACEVAC.769.488.html,http://www.twitter.com/mbacevac,,,10
247,DUSAN BAJATOVIC,DUSAN BAJATOVIC,"",,2014-04-16,1967,http://www.parlament.gov.rs/DUSAN_BAJATOVIC.247.488.html,,,,10
876,GROZDANA BANAC,GROZDANA BANAC,"",,2014-05-10,1951,http://www.parlament.gov.rs/GROZDANA_BANAC.876.488.html,,,,10
781,DRAGANABARISIC,DRAGANA Dr BARISIC,Dr,,2014-04-16,1975,http://www.parlament.gov.rs/DRAGANA_BARISIC.781.488.html,,http://www.facebook.com/dragana.micic.barisic,,10
570,OLGICA BATIC,OLGICA BATIC,"",,2014-04-16,1981,http://www.parlament.gov.rs/OLGICA_BATIC.570.488.html,,,http://www.dhss.org.rs,10
