name,region,area,area_id,party,term,source
Mohammed bin Salim Al Wahaibi,Governorate of Muscat,Muscat,ocd-division/country:om/region:governorate_of_muscat/wilayah:muscat,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Mohammed bin Salim Al Busaidi,Governorate of Muscat,Bausher,ocd-division/country:om/region:governorate_of_muscat/wilayah:bausher,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Hamoud bin Khalifa Al Rashdi,Governorate of Muscat,Bausher,ocd-division/country:om/region:governorate_of_muscat/wilayah:bausher,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Tawfiq bin Abdulhussein Al Lawati,Governorate of Muscat,Muttrah,ocd-division/country:om/region:governorate_of_muscat/wilayah:muttrah,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Murad bin Ali Al Hooti,Governorate of Muscat,Muttrah,ocd-division/country:om/region:governorate_of_muscat/wilayah:muttrah,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Salim bin Hamoud Al Ghamari,Governorate of Muscat,Quriyat,ocd-division/country:om/region:governorate_of_muscat/wilayah:quriyat,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Said bin Jumah Al Ghazaili,Governorate of Muscat,Quriyat,ocd-division/country:om/region:governorate_of_muscat/wilayah:quriyat,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Ahmed bin Saud Al Ma’ashari,Governorate of Muscat,Amaraat,ocd-division/country:om/region:governorate_of_muscat/wilayah:amaraat,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Mohammed bin Said Al Hadi,Governorate of Muscat,Amaraat,ocd-division/country:om/region:governorate_of_muscat/wilayah:amaraat,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Mohammed bin Jumah Al Raisi,Governorate of Muscat,Seeb,ocd-division/country:om/region:governorate_of_muscat/wilayah:seeb,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Nu’amah bint Jamayel Al Busaidi,Governorate of Muscat,Seeb,ocd-division/country:om/region:governorate_of_muscat/wilayah:seeb,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Kadhim bin Al Ajmi,Batinah Region,Sohar,ocd-division/country:om/region:batinah_region/wilayah:sohar,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Saeed bin Ghanim Al Muqbali,Batinah Region,Sohar,ocd-division/country:om/region:batinah_region/wilayah:sohar,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Khalid bin Hilal Al Ma’awali,Batinah Region,Maawil,ocd-division/country:om/region:batinah_region/wilayah:maawil,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Al Khalil bin Abdulraheem AL Kharousi,Batinah Region,Awabi,ocd-division/country:om/region:batinah_region/wilayah:awabi,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
Salim bin Al Braiki ,Batinah Region,Nakhal,ocd-division/country:om/region:batinah_region/wilayah:nakhal,None,7,http://www.khaleejtimes.com/article/20111017/ARTICLE/310179889/1016
