name,group,term,source
Robin E. Adams,Independent,14,http://www.norfolkisland.gov.nf/legislativeassembly/legislativeassembly.html
David E. Buffett,Independent,14,http://www.norfolkisland.gov.nf/legislativeassembly/legislativeassembly.html
Haydn P. Evans,Independent,14,http://www.norfolkisland.gov.nf/legislativeassembly/legislativeassembly.html
Ronald C. Nobbs,Independent,14,http://www.norfolkisland.gov.nf/legislativeassembly/legislativeassembly.html
David R. Porter,Independent,14,http://www.norfolkisland.gov.nf/legislativeassembly/legislativeassembly.html
Timothy J.Sheridan,Independent,14,http://www.norfolkisland.gov.nf/legislativeassembly/legislativeassembly.html
Lisle D.Snell,Independent,14,http://www.norfolkisland.gov.nf/legislativeassembly/legislativeassembly.html
Ronald J. Ward,Independent,14,http://www.norfolkisland.gov.nf/legislativeassembly/legislativeassembly.html
Melissa Ward,Independent,14,http://www.norfolkisland.gov.nf/legislativeassembly/legislativeassembly.html
