incoming_name,existing_name,id,confidence
Alamuddin Dimyati Rois,H. ALAMUDDIN DIMYATI ROIS,59,97.14285714285714
Hasnuryadi Sulaiman,H. HASNURYADI SULAIMAN,1572,96.96969696969697
Helmy Faishal Zaini,A. HELMY FAISHAL ZAINI,892,96.55172413793103
Verna Gladies Merry Inkiriwang,dr. VERNA GLADIES MERRY INKIRIWANG,486,95.83333333333334
Zulkifli Anwar,H. ZULKIFLI ANWAR,455,95.65217391304348
Adian Yunus Yusak Napitupulu,"ADIAN YUNUS YUSAK NAPITUPULU, SH",1413,95.45454545454545
Darizal Basir,H. DARIZAL BASIR,492,95.23809523809523
Endre Saifoel,H. ENDRE SAIFOEL,1345,95.23809523809523
Ahmad Muzani,H. AHMAD MUZANI,290,94.73684210526315
Karolin Margret Natasa,dr. KAROLIN MARGRET NATASA,319,94.44444444444444
Agus Gumiwang Kartasasmita,Drs. AGUS GUMIWANG KARTASASMITA,102,93.33333333333333
Sungkono,H. SUNGKONO,1486,93.33333333333333
Refrizal,H. REFRIZAL,555,93.33333333333333
Nurdin Tampubolon,Ir. NURDIN TAMPUBOLON,57,93.33333333333333
Primus Yustisio,"PRIMUS YUSTISIO, SE",8,92.3076923076923
Alimin Abdullah,Ir. ALIMIN ABDULLAH,31,92.3076923076923
Popong Otje Djundjunan,Dra. POPONG OTJE DJUNDJUNAN,100,91.8918918918919
Mindo Sianipar,Ir. MINDO SIANIPAR,316,91.66666666666666
Muhammad Nasir,"MUHAMMAD NASIR, SH",477,91.66666666666666
Said Abdullah,MH. SAID ABDULLAH,318,90.9090909090909
Agus Hermanto,Dr. AGUS HERMANTO,407,90.9090909090909
Tifatul Sembiring,Ir. H. TIFATUL SEMBIRING,781,90.32258064516128
Patrice Rio Capella,"PATRICE RIO CAPELLA, SH.",1373,90.32258064516128
Sigit Sosiantomo,Ir. H. SIGIT SOSIANTOMO,530,89.65517241379311
Ahmad Zainuddin,"AHMAD ZAINUDDIN, Lc.",434,88.88888888888889
Daryatmo Mardiyanto,Ir.H. DARYATMO MARDIYANTO,280,88.88888888888889
Andriyanto Johan Syah,"ANDRIYANTO JOHAN SYAH, ST, MM",1473,88.88888888888889
Maruarar Sirait,"MARUARAR SIRAIT, SIP",266,88.88888888888889
Delia Pratiwi Sitepu,"DELIA PRATIWI BR. SITEPU, SH",1341,88.23529411764706
Puti Guntur Soekarno,"PUTI GUNTUR SOEKARNO, S.Ip",275,88.23529411764706
Iwan Kurniawan,"H. IWAN KURNIAWAN, SH",1565,88.0
Rieke Diah Pitaloka,"RIEKE DIAH PITALOKA, M. Hum",262,87.5
Kasriyah,Hj. KASRIYAH,1580,87.5
Sofyan Tan,dr. SOFYAN TAN,1330,87.5
