name,constituency,party,term,source
Dalton Tagelagi,Alofi South,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Va’aiga Tukuitoga,Alofi North,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Tofua Puletama,Makefu,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Fisa Igilisi Pihigia,Tuapa,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
"Jack Willie Lipitoa, QSM",Namukulu,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Opili Talafasi,Hikutavake,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Dion Paki Taufitu,Toi,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Bill Vakaafi Motufoou,Mutalau,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Kupa Magatogia,Lakepa,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Pokotoa Sipeli,Liku,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Mititaiagimene Young Vivian,Hakupu,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Talaititama Talaiti,Vaiea,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Billy Graham Talagi,Avatele,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Peter Andrew Funaki,Tamakautoga,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Stanley Atuvaha Kalauni,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Toke Tufukia Talagi,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Crossley Tatui,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Togia Likalika Sioneholo,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Terry Donald Coe,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
Joan Sisiata Tahafa Viliamu,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php
