id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image
agoua_edmond,A. Edmond AGOUA,,,Unknown,_unknown,Collines,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/749_524d3edcf38c4.jpg
ahlonsou_amoudatou,Amoudatou AHLONSOU G.,,,PRD - Union fait la Nation,prd_union_fait_la_nation,ATLANTIQUE,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/751_524d42d92ac9c.jpg
okounlola_andre,André OKOUNLOLA-BIAOU,,,Autre,autre,Collines,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/732_523266c4c8fad.jpg
amoussou_bruno,Ange Marie Bruno AMOUSSOU,,,Union fait la Nation,union_fait_la_nation,COUFFO,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/758_524d4c614514c.jpg
dayori_antoine,Antoine DAYORI,,,"Refondation, Paix et Développement",refondation_paix_et_développement,ATACORA,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/770_524d6793a00e0.jpg
idji_kolawole,Antoine IDJI,,,Union fait la Nation,union_fait_la_nation,PLATEAU,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/786_524d7a748217f.jpg
ahouanvoebla_augustin,Augustin AHOUANVOEBLA,,,PRD - Union fait la Nation,prd_union_fait_la_nation,OUEME,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/753_524d460b1c084.jpg
sanni_ayouba,Ayouba SANNI,,,"Refondation, Paix et Développement",refondation_paix_et_développement,ALIBORI,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/808_524d9f1041d0c.jpg
kakpozannou_babatunde,Babatundé KAKPO ZANNOU,,,UMPP Unité – Solidarité – Progrès,umpp_unité_solidarité_progrès,PLATEAU,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/793_524d84038200a.jpg
gobi_bado,Bado GOBI,,,Unknown,_unknown,DONGA,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/778_524d72bf6efa8.jpg
