name,state,constituency,wikipedia,party_id,party,term,source,area,coalition,coalition_id
Khairy Jamaluddin,Negeri Sembilan,Rembau,http://en.wikipedia.org/wiki/Khairy_Jamaluddin,UMNO,United Malays National Organisation,12,"","Rembau, Negeri Sembilan",Barisan Nasional,BN
Kamarul Bahrin Abbas,Negeri Sembilan,Telok Kemang,http://en.wikipedia.org/wiki/Kamarul_Bahrin_Abbas,PKR,People's Justice Party,12,"","Telok Kemang, Negeri Sembilan",Pakatan Rakyat,PR
Shaziman Abu Mansor,Negeri Sembilan,Tampin,http://en.wikipedia.org/wiki/Shaziman_Abu_Mansor,UMNO,United Malays National Organisation,12,"","Tampin, Negeri Sembilan",Barisan Nasional,BN
Abu Seman Yusop,Malacca,Masjid Tanah,http://en.wikipedia.org/wiki/Abu_Seman_Yusop,UMNO,United Malays National Organisation,12,"","Masjid Tanah, Malacca",Barisan Nasional,BN
Fong Chan Onn,Malacca,Aloh Gajah,http://en.wikipedia.org/wiki/Fong_Chan_Onn,MCA,Malaysian Chinese Association,12,"","Aloh Gajah, Malacca",Barisan Nasional,BN
Idris Haron,Malacca,Tangga Batu,http://en.wikipedia.org/wiki/Idris_Haron,UMNO,United Malays National Organisation,12,"","Tangga Batu, Malacca",Barisan Nasional,BN
Md Sirat Abu,Malacca,Bukit Katil,http://en.wikipedia.org/wiki/Md_Sirat_Abu,UMNO,United Malays National Organisation,12,"","Bukit Katil, Malacca",Barisan Nasional,BN
Sim Tong Him,Malacca,Kota Melaka,http://en.wikipedia.org/wiki/Sim_Tong_Him,DAP,Democratic Action Party,12,"","Kota Melaka, Malacca",Pakatan Rakyat,PR
Ahmad Hamzah,Malacca,Jasin,http://en.wikipedia.org/wiki/Ahmad_Hamzah,UMNO,United Malays National Organisation,12,"","Jasin, Malacca",Barisan Nasional,BN
Subramaniam Sathasivam,Johor,Segamat,http://en.wikipedia.org/wiki/Subramaniam_Sathasivam,MIC,Malaysian Indian Congress,12,"","Segamat, Johor",Barisan Nasional,BN
Baharum Mohamed,Johor,Sekijang,http://en.wikipedia.org/wiki/Baharum_Mohamed,UMNO,United Malays National Organisation,12,"","Sekijang, Johor",Barisan Nasional,BN
Chua Tee Yong,Johor,Labis,http://en.wikipedia.org/wiki/Chua_Tee_Yong,MCA,Malaysian Chinese Association,12,"","Labis, Johor",Barisan Nasional,BN
Muhyiddin Yassin,Johor,Pagoh,http://en.wikipedia.org/wiki/Muhyiddin_Yassin,UMNO,United Malays National Organisation,12,"","Pagoh, Johor",Barisan Nasional,BN
Hamim Samuri,Johor,Ledang,http://en.wikipedia.org/wiki/Hamim_Samuri,UMNO,United Malays National Organisation,12,"","Ledang, Johor",Barisan Nasional,BN
Er Teck Hwa,Johor,Bakri,http://en.wikipedia.org/wiki/Er_Teck_Hwa,DAP,Democratic Action Party,12,"","Bakri, Johor",Pakatan Rakyat,PR
Razali Ibrahim,Johor,Muar,http://en.wikipedia.org/wiki/Razali_Ibrahim,UMNO,United Malays National Organisation,12,"","Muar, Johor",Barisan Nasional,BN
Noraini Ahmad,Johor,Parit Sulong,http://en.wikipedia.org/wiki/Noraini_Ahmad,UMNO,United Malays National Organisation,12,"","Parit Sulong, Johor",Barisan Nasional,BN
Wee Ka Siong,Johor,Ayer Hitam,http://en.wikipedia.org/wiki/Wee_Ka_Siong,MCA,Malaysian Chinese Association,12,"","Ayer Hitam, Johor",Barisan Nasional,BN
Mohamed Aziz,Johor,Sri Gading,http://en.wikipedia.org/wiki/Mohamed_Aziz,UMNO,United Malays National Organisation,12,"","Sri Gading, Johor",Barisan Nasional,BN
Mohd Puad Zarkashi,Johor,Batu Pahat,http://en.wikipedia.org/wiki/Mohd_Puad_Zarkashi,UMNO,United Malays National Organisation,12,"","Batu Pahat, Johor",Barisan Nasional,BN
Liang Teck Meng,Johor,Simpang Renggam,http://en.wikipedia.org/wiki/Liang_Teck_Meng,Gerakan,Parti Gerakan Rakyat Malaysia,12,"","Simpang Renggam, Johor",Barisan Nasional,BN
Hou Kok Chung,Johor,Kluang,http://en.wikipedia.org/wiki/Hou_Kok_Chung,MCA,Malaysian Chinese Association,12,"","Kluang, Johor",Barisan Nasional,BN
