name,state,constituency,wikipedia,party_id,party,term,source,area,coalition,coalition_id
Harun Abdullah,Kedah,Baling,,UMNO,United Malays National Organisation,1,"","Baling, Kedah",Alliance Party,Alliance
Harun Pilus,Trengganu,Trengganu Tengah,,PMIP,Pan-Malayan Islamic Party,1,"","Trengganu Tengah, Trengganu",,
Hasan Adli Mohd Arshad,Trengganu,Kuala Trengganu Utara,,PMIP,Pan-Malayan Islamic Party,1,"","Kuala Trengganu Utara, Trengganu",,
Hassan Ahmad,Kelantan,Tumpat,http://en.wikipedia.org/wiki/Hassan_Ahmad,PMIP,Pan-Malayan Islamic Party,1,"","Tumpat, Kelantan",,
Hassan Mansor,Malacca,Malacca Selatan,,UMNO,United Malays National Organisation,1,"","Malacca Selatan, Malacca",Alliance Party,Alliance
Hussein Hassan,Pahang,Raub,,UMNO,United Malays National Organisation,1,"","Raub, Pahang",Alliance Party,Alliance
Hussein Mohd Noordin,Perak,Parit,,UMNO,United Malays National Organisation,1,"","Parit, Perak",Alliance Party,Alliance
Hussain Rahimi Saman,Kelantan,Kota Bharu Hulu,,PMIP,Pan-Malayan Islamic Party,1,"","Kota Bharu Hulu, Kelantan",,
Ibrahim Abdul Rahman,Penang,Seberang Tengah,,UMNO,United Malays National Organisation,1,"","Seberang Tengah, Penang",Alliance Party,Alliance
Ismail Idris,Penang,Penang Selatan,,UMNO,United Malays National Organisation,1,"","Penang Selatan, Penang",Alliance Party,Alliance
Ismail Haji Kassim,Trengganu,Kuala Trengganu Selatan,,UMNO,United Malays National Organisation,1,"","Kuala Trengganu Selatan, Trengganu",Alliance Party,Alliance
Kang Kok Seng,Johore,Batu Pahat,,MCA,Malayan Chinese Association,1,"","Batu Pahat, Johore",Alliance Party,Alliance
Kaher Karam Singh,Selangor,Damansara,,Ra'ayat,Parti Rakyat Malaysia,1,"","Damansara, Selangor",Malayan Peoples' Socialist Front,Socialist Front
Che Khadijah Mohd Sidik,Trengganu,Dungun,,PMIP,Pan-Malayan Islamic Party,1,"","Dungun, Trengganu",,
Khir Johari,Kedah,Kedah Tengah,http://en.wikipedia.org/wiki/Khir_Johari,UMNO,United Malays National Organisation,1,"","Kedah Tengah, Kedah",Alliance Party,Alliance
Khong Kok Yat,Perak,Batu Gajah,,PPP,People's Progressive Party,1,"","Batu Gajah, Perak",,
Lee San Choon,Johore,Kluang Utara,http://en.wikipedia.org/wiki/Lee_San_Choon,MCA,Malayan Chinese Association,1,"","Kluang Utara, Johore",Alliance Party,Alliance
Lee Seck Fun,Perak,Tanjong Malim,,MCA,Malayan Chinese Association,1,"","Tanjong Malim, Perak",Alliance Party,Alliance
Lee Siok Yew,Selangor,Sepang,,MCA,Malayan Chinese Association,1,"","Sepang, Selangor",Alliance Party,Alliance
Lim Joo Kong,Kedah,Alor Star,,MCA,Malayan Chinese Association,1,"","Alor Star, Kedah",Alliance Party,Alliance
Lim Kean Siew,Penang,Dato Kramat,,Lab,Labour Party of Malaya,1,"","Dato Kramat, Penang",Malayan Peoples' Socialist Front,Socialist Front
Lim Swee Aun,Perak,Larut Selatan,http://en.wikipedia.org/wiki/Lim_Swee_Aun,MCA,Malayan Chinese Association,1,"","Larut Selatan, Perak",Alliance Party,Alliance
Liu Yoong Peng,Selangor,Rawang,,Lab,Labour Party of Malaya,1,"","Rawang, Selangor",Malayan Peoples' Socialist Front,Socialist Front
T. Mahima Singh,Negri Sembilan,Port Dickson,,MIC,Malayan Indian Congress,1,"","Port Dickson, Negri Sembilan",Alliance Party,Alliance
V. Manickavasagam,Selangor,Klang,http://en.wikipedia.org/wiki/V._Manickavasagam,MIC,Malayan Indian Congress,1,"","Klang, Selangor",Alliance Party,Alliance
Mohamed Ujang,Negri Sembilan,Jelebu-Jempol,,UMNO,United Malays National Organisation,1,"","Jelebu-Jempol, Negri Sembilan",Alliance Party,Alliance
Mohamed Abbas Ahmad,Perak,Hilir Perak,,UMNO,United Malays National Organisation,1,"","Hilir Perak, Perak",Alliance Party,Alliance
Mohamad Asri Muda,Kelantan,Pasir Puteh,http://en.wikipedia.org/wiki/Asri_Muda,PMIP,Pan-Malayan Islamic Party,1,"","Pasir Puteh, Kelantan",,
Mohamed Dahari Mohd Ali,Selangor,Kuala Selangor,,UMNO,United Malays National Organisation,1,"","Kuala Selangor, Selangor",Alliance Party,Alliance
Mohamed Nor Mohd Dahan,Perak,Ulu Perak,,UMNO,United Malays National Organisation,1,"","Ulu Perak, Perak",Alliance Party,Alliance
Mohamed Hanifah Abdul Ghani,Kelantan,Pasir Mas Hulu,,PMIP,Pan-Malayan Islamic Party,1,"","Pasir Mas Hulu, Kelantan",,
Mohamed Ismail Mohd Yusof,Kedah,Jerai,,UMNO,United Malays National Organisation,1,"","Jerai, Kedah",Alliance Party,Alliance
Mohamed Yusof Mahmud,Pahang,Temerloh,,UMNO,United Malays National Organisation,1,"","Temerloh, Pahang",Alliance Party,Alliance
Mokhtar Ismail,Perlis,Perlis Selatan,,UMNO,United Malays National Organisation,1,"","Perlis Selatan, Perlis",Alliance Party,Alliance
Nik Man Nik Mohamed,Kelantan,Pasir Mas Hilir,,PMIP,Pan-Malayan Islamic Party,1,"","Pasir Mas Hilir, Kelantan",,
Ng Ann Teck,Selangor,Batu,,Lab,Labour Party of Malaya,1,"","Batu, Selangor",Malayan Peoples' Socialist Front,Socialist Front
Othman Abdullah,Perlis,Perlis Utara,,UMNO,United Malays National Organisation,1,"","Perlis Utara, Perlis",Alliance Party,Alliance
Quek Kai Dong,Negri Sembilan,Seremban Barat,,IND,Independent,1,"","Seremban Barat, Negri Sembilan",,
Redza Mohd Said,Negri Sembilan,Rembau-Tampin,,UMNO,United Malays National Organisation,1,"","Rembau-Tampin, Negri Sembilan",Alliance Party,Alliance
Seah Teng Ngiab,Johore,Muar Pantai,,MCA,Malayan Chinese Association,1,"","Muar Pantai, Johore",Alliance Party,Alliance
D. R. Seenivasagam,Perak,Ipoh,http://en.wikipedia.org/wiki/D._R._Seenivasagam,PPP,People's Progressive Party,1,"","Ipoh, Perak",,
S. P. Seenivasagam,Perak,Menglembu,,PPP,People's Progressive Party,1,"","Menglembu, Perak",,
Syed Esa Alwee,Johore,Batu Pahat Dalam,http://en.wikipedia.org/wiki/Syed_Esa_Alwee,UMNO,United Malays National Organisation,1,"","Batu Pahat Dalam, Johore",Alliance Party,Alliance
Syed Hashim Syed Ajam,Selangor,Sabak Bernam,,UMNO,United Malays National Organisation,1,"","Sabak Bernam, Selangor",Alliance Party,Alliance
Syed Jaafar Albar,Johore,Johore Tenggara,http://en.wikipedia.org/wiki/Syed_Jaafar_Albar,UMNO,United Malays National Organisation,1,"","Johore Tenggara, Johore",Alliance Party,Alliance
Tajudin Ali,Perak,Larut Utara,,UMNO,United Malays National Organisation,1,"","Larut Utara, Perak",Alliance Party,Alliance
Tan Cheng Bee,Penang,Bagan,,MCA,Malayan Chinese Association,1,"","Bagan, Penang",Alliance Party,Alliance
Tan Kee Gak,Malacca,Bandar Malacca,,MP,Malayan Party,1,"","Bandar Malacca, Malacca",,
Tan Phock Kin,Penang,Tanjong,,Lab,Labour Party of Malaya,1,"","Tanjong, Penang",Malayan Peoples' Socialist Front,Socialist Front
Tan Tye Chek,Kedah,Kulim-Bandar Bahru,,MCA,Malayan Chinese Association,1,"","Kulim-Bandar Bahru, Kedah",Alliance Party,Alliance
Tengku Indra Petra Sultan Ibrahim,Kelantan,Ulu Kelantan,,UMNO,United Malays National Organisation,1,"","Ulu Kelantan, Kelantan",Alliance Party,Alliance
Teoh Chze Chong,Johore,Segamat Selatan,,MCA,Malayan Chinese Association,1,"","Segamat Selatan, Johore",Alliance Party,Alliance
Too Joon Hing,Perak,Telok Anson,,IND,Independent,1,"","Telok Anson, Perak",,
Veerappen Veerathan,Penang,Seberang Selatan,,Lab,Labour Party of Malaya,1,"","Seberang Selatan, Penang",Malayan Peoples' Socialist Front,Socialist Front
Wan Mustapha Ali,Kelantan,Kelantan Hilir,,PMIP,Pan-Malayan Islamic Party,1,"","Kelantan Hilir, Kelantan",,
Wan Sulaiman Wan Tam,Kedah,Kota Star Selatan,,UMNO,United Malays National Organisation,1,"","Kota Star Selatan, Kedah",Alliance Party,Alliance
Wan Yahya Wan Mohamed,Trengganu,Kemaman,,UMNO,United Malays National Organisation,1,"","Kemaman, Trengganu",Alliance Party,Alliance
Yahya Ahmad,Perak,Bagan Datoh,http://en.wikipedia.org/wiki/Yahya_Ahmad,UMNO,United Malays National Organisation,1,"","Bagan Datoh, Perak",Alliance Party,Alliance
Yeoh Tat Beng,Perak,Bruas,,IND,Independent,1,"","Bruas, Perak",,
Yong Woo Ming,Perak,Sitiawan,,MCA,Malayan Chinese Association,1,"","Sitiawan, Perak",Alliance Party,Alliance
Zainon Munshi Sulaiman,Johore,Pontian Selatan,,UMNO,United Malays National Organisation,1,"","Pontian Selatan, Johore",Alliance Party,Alliance
Zakaria Mohd Taib,Selangor,Langat,,UMNO,United Malays National Organisation,1,"","Langat, Selangor",Alliance Party,Alliance
Zulkiflee Muhammad,Kelantan,Bachok,,PMIP,Pan-Malayan Islamic Party,1,"","Bachok, Kelantan",,
Syed Esa Alwee,Johore,Batu Pahat Dalam,http://en.wikipedia.org/wiki/Syed_Esa_Alwee,UMNO,United Malays National Organisation,2,"","Batu Pahat Dalam, Johore",Alliance Party,Alliance
Tunku Abdul Rahman,Kedah,Kuala Kedah,http://en.wikipedia.org/wiki/Tunku_Abdul_Rahman,UMNO,United Malays National Organisation,2,"","Kuala Kedah, Kedah",Alliance Party,Alliance
Abdul Razak Hussein,Pahang,Pekan,http://en.wikipedia.org/wiki/Abdul_Razak_Hussein,UMNO,United Malays National Organisation,2,"","Pekan, Pahang",Alliance Party,Alliance
Ismail Abdul Rahman,Johore,Johore Timor,http://en.wikipedia.org/wiki/Ismail_Abdul_Rahman,UMNO,United Malays National Organisation,2,"","Johore Timor, Johore",Alliance Party,Alliance
Tan Siew Sin,Malacca,Malacca Tengah,http://en.wikipedia.org/wiki/Tan_Siew_Sin,MCA,Malaysian Chinese Association,2,"","Malacca Tengah, Malacca",Alliance Party,Alliance
V. T. Sambanthan,Perak,Sungei Siput,http://en.wikipedia.org/wiki/V._T._Sambanthan,MIC,Malaysian Indian Congress,2,"","Sungei Siput, Perak",Alliance Party,Alliance
Sardon Jubir,Johore,Pontian Utara,http://en.wikipedia.org/wiki/Sardon_Jubir,UMNO,United Malays National Organisation,2,"","Pontian Utara, Johore",Alliance Party,Alliance
Bahaman Samsudin,Negri Sembilan,Kuala Pilah,,UMNO,United Malays National Organisation,2,"","Kuala Pilah, Negri Sembilan",Alliance Party,Alliance
Abdul Rahman Talib,Pahang,Kuantan,,UMNO,United Malays National Organisation,2,"","Kuantan, Pahang",Alliance Party,Alliance
Lim Swee Aun,Perak,Larut Selatan,http://en.wikipedia.org/wiki/Lim_Swee_Aun,MCA,Malaysian Chinese Association,2,"","Larut Selatan, Perak",Alliance Party,Alliance
Abdul Hamid Khan Sakhawat Ali Khan,Perak,Batang Padang,,UMNO,United Malays National Organisation,2,"","Batang Padang, Perak",Alliance Party,Alliance
Khaw Kai Boh,Selangor,Ulu Selangor,,MCA,Malaysian Chinese Association,2,"","Ulu Selangor, Selangor",Alliance Party,Alliance
Jugah Barieng,Sarawak,"",http://en.wikipedia.org/wiki/Jugah_anak_Barieng,PESAKA,Parti Pesaka Sarawak,2,"",Sarawak,,
V. Manickavasagam,Selangor,Klang,http://en.wikipedia.org/wiki/V._Manickavasagam,MIC,Malaysian Indian Congress,2,"","Klang, Selangor",Alliance Party,Alliance
Senu Abdul Rahman,Kedah,Kubang Pasu Barat,http://en.wikipedia.org/wiki/Senu_Abdul_Rahman,UMNO,United Malays National Organisation,2,"","Kubang Pasu Barat, Kedah",Alliance Party,Alliance
Khir Johari,Kedah,Kedah Tengah,http://en.wikipedia.org/wiki/Khir_Johari,UMNO,United Malays National Organisation,2,"","Kedah Tengah, Kedah",Alliance Party,Alliance
Abdul Khalid Awang Osman,Kedah,Kota Star Utara,,UMNO,United Malays National Organisation,2,"","Kota Star Utara, Kedah",Alliance Party,Alliance
Mohamed Ghazali Jawi,Perak,Ulu Perak,,UMNO,United Malays National Organisation,2,"","Ulu Perak, Perak",Alliance Party,Alliance
Abdul Rahman Ya'kub,Sarawak,"",http://en.wikipedia.org/wiki/Abdul_Rahman_Ya%27kub,BARJASA,Barisan Ra'ayat Jati Sarawak,2,"",Sarawak,,
Sulaiman Bulon,Perak,Bagan Datoh,,UMNO,United Malays National Organisation,2,"","Bagan Datoh, Perak",Alliance Party,Alliance
Engku Muhsein Abdul Kadir,Trengganu,Trengganu Tengah,,UMNO,United Malays National Organisation,2,"","Trengganu Tengah, Trengganu",Alliance Party,Alliance
Lee Siok Yew,Selangor,Sepang,,MCA,Malaysian Chinese Association,2,"","Sepang, Selangor",Alliance Party,Alliance
Nik Abdul Aziz Nik Mat,Kelantan,Kelantan Hilir,http://en.wikipedia.org/wiki/Nik_Abdul_Aziz_Nik_Mat,PAS,Pan-Malaysian Islamic Party,2,"","Kelantan Hilir, Kelantan",,
Abdul Ghani Ishak,Malacca,Malacca Utara,,UMNO,United Malays National Organisation,2,"","Malacca Utara, Malacca",Alliance Party,Alliance
Abdul Karim Abu,Malacca,Malacca Selatan,,UMNO,United Malays National Organisation,2,"","Malacca Selatan, Malacca",Alliance Party,Alliance
Wan Abdul Kadir Ismail,Trengganu,Kuala Trengganu Utara,,UMNO,United Malays National Organisation,2,"","Kuala Trengganu Utara, Trengganu",Alliance Party,Alliance
Abdul Rahim Ishak,Singapore,"",http://en.wikipedia.org/wiki/Abdul_Rahim_Ishak,PAP,People's Action Party,2,"",Singapore,,
Wan Abdul Rahman Datu Tuanku Bujang,Sarawak,"",,unknown,unknown,2,"",Sarawak,unknown,unknown
Abdul Rashid Jais,Sabah,"",,USNO,United Sabah National Organisation,2,"",Sabah,,
Abdul Razak Hussin,Pahang,Lipis,,UMNO,United Malays National Organisation,2,"","Lipis, Pahang",Alliance Party,Alliance
Abdullah Abdul Rahman,Trengganu,Kuala Trengganu Selatan,,UMNO,United Malays National Organisation,2,"","Kuala Trengganu Selatan, Trengganu",Alliance Party,Alliance
Tunku Tan Sri Abdullah,Selangor,Rawang,http://en.wikipedia.org/wiki/Tunku_Tan_Sri_Abdullah,UMNO,United Malays National Organisation,2,"","Rawang, Selangor",Alliance Party,Alliance
Abu Bakar Hamzah,Kelantan,Bachok,,PAS,Pan-Malaysian Islamic Party,2,"","Bachok, Kelantan",,
Ahmad Arshad,Johore,Muar Utara,,UMNO,United Malays National Organisation,2,"","Muar Utara, Johore",Alliance Party,Alliance
Ahmad Saaid,Penang,Seberang Utara,,UMNO,United Malays National Organisation,2,"","Seberang Utara, Penang",Alliance Party,Alliance
Ajibah Abol,Sarawak,"",,unknown,unknown,2,"",Sarawak,unknown,unknown
Ali Ahmad,Johore,Pontian Selatan,http://en.wikipedia.org/wiki/Ali_Ahmad,UMNO,United Malays National Organisation,2,"","Pontian Selatan, Johore",Alliance Party,Alliance
Datu Aliuddin Datu Harun,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Awang Hassan,Johore,Muar Selatan,http://en.wikipedia.org/wiki/Awang_Hassan,UMNO,United Malays National Organisation,2,"","Muar Selatan, Johore",Alliance Party,Alliance
Abdul Aziz Ishak,Johore,Muar Dalam,http://en.wikipedia.org/wiki/Abdul_Aziz_Ishak,UMNO,United Malays National Organisation,2,"","Muar Dalam, Johore",Alliance Party,Alliance
Jonathan Bangau Renang,Sarawak,"",,PESAKA,Parti Pesaka Sarawak,2,"",Sarawak,,
Banyang Janting,Sarawak,"",,PESAKA,Parti Pesaka Sarawak,2,"",Sarawak,,
Chan Chong Wen,Johore,Kluang Selatan,,MCA,Malaysian Chinese Association,2,"","Kluang Selatan, Johore",Alliance Party,Alliance
Chan Seong Yoon,Selangor,Setapak,,MCA,Malaysian Chinese Association,2,"","Setapak, Selangor",Alliance Party,Alliance
Chan Siang Sun,Pahang,Bentong,,MCA,Malaysian Chinese Association,2,"","Bentong, Pahang",Alliance Party,Alliance
Michael Chen Wing Sum,Selangor,Damansara,,MCA,Malaysian Chinese Association,2,"","Damansara, Selangor",Alliance Party,Alliance
Chew Biow Chuon,Perak,Bruas,,MCA,Malaysian Chinese Association,2,"","Bruas, Perak",Alliance Party,Alliance
Chia Chin Shin,Sarawak,"",,unknown,unknown,2,"",Sarawak,unknown,unknown
Francis Chia Nyuk Tong,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Chia Thye Poh,Singapore,"",http://en.wikipedia.org/wiki/Chia_Thye_Poh,Barisan Sosialis,Barisan Sosialis,2,"",Singapore,,
Chin Foon,Perak,Ulu Kinta,,MCA,Malaysian Chinese Association,2,"","Ulu Kinta, Perak",Alliance Party,Alliance
Devan Nair,Selangor,Bungsar,http://en.wikipedia.org/wiki/Devan_Nair,PAP,People's Action Party,2,"","Bungsar, Selangor",,
Edmund William Barker,Singapore,"",http://en.wikipedia.org/wiki/Edmund_W._Barker,PAP,People's Action Party,2,"",Singapore,,
Edwin Tangkun,Sarawak,"",,SNAP,Sarawak United Party,2,"",Sarawak,,
Fatimah Abdul Majid,Johore,Johore Bahru Timor,http://en.wikipedia.org/wiki/Fatimah_Abdul_Majid,UMNO,United Malays National Organisation,2,"","Johore Bahru Timor, Johore",Alliance Party,Alliance
Fatimah Hashim,Kedah,Jitra-Padang Terap,http://en.wikipedia.org/wiki/Fatimah_Hashim,UMNO,United Malays National Organisation,2,"","Jitra-Padang Terap, Kedah",Alliance Party,Alliance
S. Fazul Rahman,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Ganie Gilong,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Goh Keng Swee,Singapore,"",http://en.wikipedia.org/wiki/Goh_Keng_Swee,PAP,People's Action Party,2,"",Singapore,,
Ganing Jangkat,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Geh Chong Keat,Penang,Penang Utara,,MCA,Malaysian Chinese Association,2,"","Penang Utara, Penang",Alliance Party,Alliance
Hamzah Abu Samah,Pahang,Raub,http://en.wikipedia.org/wiki/Hamzah_Abu_Samah,UMNO,United Malays National Organisation,2,"","Raub, Pahang",Alliance Party,Alliance
Hamzah Alang,Selangor,Kapar,,UMNO,United Malays National Organisation,2,"","Kapar, Selangor",Alliance Party,Alliance
Hanafi Mohd Yunus,Kedah,Kulim Utara,,UMNO,United Malays National Organisation,2,"","Kulim Utara, Kedah",Alliance Party,Alliance
Hanafiah Hussain,Kedah,Jerai,,UMNO,United Malays National Organisation,2,"","Jerai, Kedah",Alliance Party,Alliance
Harun Abdullah,Kedah,Baling,,UMNO,United Malays National Organisation,2,"","Baling, Kedah",Alliance Party,Alliance
Wan Hassan Wan Daud,Kelantan,Tumpat,,PAS,Pan-Malaysian Islamic Party,2,"","Tumpat, Kelantan",,
Ho See Beng,Singapore,"",,PAP,People's Action Party,2,"",Singapore,,
Stanley Ho Ngun Khiu,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Hussein Mohd Noordin,Perak,Parit,,UMNO,United Malays National Organisation,2,"","Parit, Perak",Alliance Party,Alliance
Hussein Sulaiman,Kelantan,Ulu Kelantan,,UMNO,United Malays National Organisation,2,"","Ulu Kelantan, Kelantan",Alliance Party,Alliance
Hussain Rahimi Saman,Kelantan,Kota Bharu Hulu,,PAS,Pan-Malaysian Islamic Party,2,"","Kota Bharu Hulu, Kelantan",,
Ikhwan Zaini,Sarawak,"",,PANAS,Parti Negara Sarawak,2,"",Sarawak,,
Ibrahim Abdul Rahman,Penang,Seberang Tengah,,UMNO,United Malays National Organisation,2,"","Seberang Tengah, Penang",Alliance Party,Alliance
Ismail Idris,Penang,Penang Selatan,,UMNO,United Malays National Organisation,2,"","Penang Selatan, Penang",Alliance Party,Alliance
Syed Jaafar Albar,Johore,Johore Tenggara,http://en.wikipedia.org/wiki/Syed_Jaafar_Albar,UMNO,United Malays National Organisation,2,"","Johore Tenggara, Johore",Alliance Party,Alliance
Jek Yeun Thong,Singapore,"",,PAP,People's Action Party,2,"",Singapore,,
Jinggut Attan,Sarawak,"",,unknown,unknown,2,"",Sarawak,unknown,unknown
Kadam Kiai,Sarawak,"",,unknown,unknown,2,"",Sarawak,unknown,unknown
Kam Woon Wah,Perak,Sitiawan,,MCA,Malaysian Chinese Association,2,"","Sitiawan, Perak",Alliance Party,Alliance
Khoo Peng Loong,Sarawak,"",,unknown,unknown,2,"",Sarawak,unknown,unknown
Khoo Siak Chiew,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Kow Kee Seng,Singapore,"",,Barisan Sosialis,Barisan Sosialis,2,"",Singapore,,
Edmund Langgu Saga,Sarawak,"",,SNAP,Sarawak United Party,2,"",Sarawak,,
Lee Kuan Yew,Singapore,"",http://en.wikipedia.org/wiki/Lee_Kuan_Yew,PAP,People's Action Party,2,"",Singapore,,
Lee San Choon,Johore,Segamat Selatan,http://en.wikipedia.org/wiki/Lee_San_Choon,MCA,Malaysian Chinese Association,2,"","Segamat Selatan, Johore",Alliance Party,Alliance
Lee Seck Fun,Perak,Tanjong Malim,,MCA,Malaysian Chinese Association,2,"","Tanjong Malim, Perak",Alliance Party,Alliance
Amadeus Mathew Leong,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Ling Beng Siew,Sarawak,"",,unknown,unknown,2,"",Sarawak,unknown,unknown
Lim Chong Eu,Penang,Tanjong,http://en.wikipedia.org/wiki/Lim_Chong_Eu,UDP,United Democratic Party,2,"","Tanjong, Penang",,
Lim Huan Boon,Singapore,"",,Barisan Sosialis,Barisan Sosialis,2,"",Singapore,,
Lim Kean Siew,Penang,Dato Kramat,,Lab,Labour Party of Malaya,2,"","Dato Kramat, Penang",Malayan Peoples' Socialist Front,Socialist Front
Lim Kim San,Singapore,"",http://en.wikipedia.org/wiki/Lim_Kim_San,PAP,People's Action Party,2,"",Singapore,,
Lim Pee Hung,Kedah,Alor Star,,MCA,Malaysian Chinese Association,2,"","Alor Star, Kedah",Alliance Party,Alliance
Peter Lo Su Yin,Sabah,"",,SCA,Sabah Chinese Association,2,"",Sabah,,
Mahathir Mohamad,Kedah,Kota Star Selatan,http://en.wikipedia.org/wiki/Mahathir_Mohamad,UMNO,United Malays National Organisation,2,"","Kota Star Selatan, Kedah",Alliance Party,Alliance
T. Mahima Singh,Negri Sembilan,Port Dickson,,MIC,Malaysian Indian Congress,2,"","Port Dickson, Negri Sembilan",Alliance Party,Alliance
Joe Manjaji,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Megat Khas Megat Omar,Perak,Kuala Kangsar,http://en.wikipedia.org/wiki/Megat_Khas_Megat_Omar,UMNO,United Malays National Organisation,2,"","Kuala Kangsar, Perak",Alliance Party,Alliance
Mohd. Arif Salleh,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Mohamad Asri Muda,Kelantan,Pasir Puteh,http://en.wikipedia.org/wiki/Asri_Muda,PAS,Pan-Malaysian Islamic Party,2,"","Pasir Puteh, Kelantan",,
Mohammad Dara Langpad,Sabah,"",,unknown,unknown,2,"",Sabah,unknown,unknown
Mohd. Daud Abdul Samad,Trengganu,Besut,,PAS,Pan-Malaysian Islamic Party,2,"","Besut, Trengganu",,
Mohamed Idris Matsil,Negri Sembilan,Jelebu-Jempol,,UMNO,United Malays National Organisation,2,"","Jelebu-Jempol, Negri Sembilan",Alliance Party,Alliance
Mohd. Tahir Abdul Majid,Selangor,Kuala Langat,,UMNO,United Malays National Organisation,2,"","Kuala Langat, Selangor",Alliance Party,Alliance
Mohamed Yusof Mahmud,Pahang,Temerloh,,UMNO,United Malays National Organisation,2,"","Temerloh, Pahang",Alliance Party,Alliance
Mohd. Zahir Ismail,Kedah,Sungei Patani,,UMNO,United Malays National Organisation,2,"","Sungei Patani, Kedah",Alliance Party,Alliance
Wan Mokhtar Ahmad,Trengganu,Kemaman,http://en.wikipedia.org/wiki/Wan_Mokhtar_Ahmad,UMNO,United Malays National Organisation,2,"","Kemaman, Trengganu",Alliance Party,Alliance
Mokhtar Ismail,Perlis,Perlis Selatan,,UMNO,United Malays National Organisation,2,"","Perlis Selatan, Perlis",Alliance Party,Alliance
Muhammad Fakhruddin Abdullah,Kelantan,Pasir Mas Hilir,,PAS,Pan-Malaysian Islamic Party,2,"","Pasir Mas Hilir, Kelantan",,
Muhammad Su'aut Muhd. Tahir,Sarawak,"",,unknown,unknown,2,"",Sarawak,unknown,unknown
Musa Hitam,Johore,Segamat Utara,http://en.wikipedia.org/wiki/Musa_Hitam,UMNO,United Malays National Organisation,2,"","Segamat Utara, Johore",Alliance Party,Alliance
Mustapha Abdul Jabar,Selangor,Sabak Bernam,,UMNO,United Malays National Organisation,2,"","Sabak Bernam, Selangor",Alliance Party,Alliance
Mustapha Ahmad,Kelantan,Tanah Merah,,PAS,Pan-Malaysian Islamic Party,2,"","Tanah Merah, Kelantan",,
Nik Ahmad Kamil Nik Mahmud,Kelantan,Kota Bharu Hilir,http://en.wikipedia.org/wiki/Nik_Ahmad_Kamil_Nik_Mahmud,UMNO,United Malays National Organisation,2,"","Kota Bharu Hilir, Kelantan",Alliance Party,Alliance
Ng Fah Yam,Perak,Batu Gajah,,MCA,Malaysian Chinese Association,2,"","Batu Gajah, Perak",Alliance Party,Alliance
Ng Kam Poh,Perak,Telok Anson,,MCA,Malaysian Chinese Association,2,"","Telok Anson, Perak",Alliance Party,Alliance
Ong Kee Hui,Sarawak,"",http://en.wikipedia.org/wiki/Ong_Kee_Hui,SUPP,Sarawak United Peoples' Party,2,"",Sarawak,,
Othman Abdullah,Perlis,Perlis Utara,,UMNO,United Malays National Organisation,2,"","Perlis Utara, Perlis",Alliance Party,Alliance
Abang Othman Moasili Abang Mohamed,Sarawak,"",,PANAS,Parti Negara Sarawak,2,"",Sarawak,,
Ong Pang Boon,Singapore,"",http://en.wikipedia.org/wiki/Ong_Pang_Boon,PAP,People's Action Party,2,"",Singapore,,
Othman Wok,Singapore,"",http://en.wikipedia.org/wiki/Othman_Wok,PAP,People's Action Party,2,"",Singapore,,
Quek Kai Dong,Negri Sembilan,Seremban Timor,,MCA,Malaysian Chinese Association,2,"","Seremban Timor, Negri Sembilan",Alliance Party,Alliance
Rahmat Daud,Johore,Johore Bahru Barat,,UMNO,United Malays National Organisation,2,"","Johore Bahru Barat, Johore",Alliance Party,Alliance
Ramli Omar,Perak,Krian Darat,,UMNO,United Malays National Organisation,2,"","Krian Darat, Perak",Alliance Party,Alliance
Redza Mohd Said,Negri Sembilan,Rembau-Tampin,,UMNO,United Malays National Organisation,2,"","Rembau-Tampin, Negri Sembilan",Alliance Party,Alliance
Raja Rome Raja Ma'amor,Selangor,Kuala Selangor,,UMNO,United Malays National Organisation,2,"","Kuala Selangor, Selangor",Alliance Party,Alliance
Sandom Nyuak,Sarawak,"",,unknown,unknown,2,"",Sarawak,unknown,unknown
Seah Teng Ngiab,Johore,Muar Pantai,,MCA,Malaysian Chinese Association,2,"","Muar Pantai, Johore",Alliance Party,Alliance
D. R. Seenivasagam,Perak,Ipoh,http://en.wikipedia.org/wiki/D._R._Seenivasagam,PPP,People's Progressive Party,2,"","Ipoh, Perak",,
S. P. Seenivasagam,Perak,Menglembu,,PPP,People's Progressive Party,2,"","Menglembu, Perak",,
Sim Boon Liang,Sarawak,"",,unknown,unknown,2,"",Sarawak,unknown,unknown
Siow Loong Hin,Negri Sembilan,Seremban Barat,,MCA,Malaysian Chinese Association,2,"","Seremban Barat, Negri Sembilan",Alliance Party,Alliance
