id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image
abdou_djariri,ABDOU DJARIRI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
abdoul_moumouni_gousmane,ABDOUL MOUMOUNI GOUSMANE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
abdoulkadri_tidjani,ABDOULKADRI TIDJANI,,,ARN,182,,Assemblée nationale,7.1,,,
abdourahamane_chegou ,ABDOURAHAMANE CHEGOU ,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
aboubacar_elhadj,ABOUBACAR ELHADJ,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
adiza_dadi,ADIZA DADI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
ahalawaye_abougou,AHALAWAYE ABOUGOU,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
ahamat_ben_hameda,AHAMAT BEN HAMEDA,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
ahmed_babati,AHMED BABATI,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
ahmoudou_mohamed,AHMOUDOU MOHAMED,,,ARN,182,,Assemblée nationale,7.1,,,
algabi_elhadji_atta,ALGABI ELHADJI ATTA,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
ali_magagi_issaka,ALI MAGAGI ISSAKA,,,ARN,182,,Assemblée nationale,7.1,,,
amadou_boubakar_alkaly,AMADOU BOUBAKAR ALKALY,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
amadou_djibo_ali,AMADOU DJIBO ALI,,,ARN,182,,Assemblée nationale,7.1,,,
amadou_salifou,AMADOU SALIFOU,,,ARN,182,,Assemblée nationale,7.1,,,
amina_abdou_souna_(mme,AMINA ABDOU SOUNA (MME,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
amina_tiemoko_ousmane,AMINA TIEMOKO OUSMANE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
aminatou_habibou,AMINATOU HABIBOU,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
aoua_ibro,AOUA IBRO,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
argi_dan_dadi,ARGI DAN DADI,,,ARN,182,,Assemblée nationale,7.1,,,
assamaou_garba,ASSAMAOU GARBA,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
assibite_acotey,ASSIBITE ACOTEY,,,ARN,182,,Assemblée nationale,7.1,,,
assoumana_mallam_issa,ASSOUMANA MALLAM ISSA,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
bachir_abdoul_aziz,BACHIR ABDOUL AZIZ,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
bala_saratou_boukari,BALA SARATOU BOUKARI,,,ARN,182,,Assemblée nationale,7.1,,,
barka_gaichatou_mahamane,BARKA GAICHATOU MAHAMANE,,,ARN,182,,Assemblée nationale,7.1,,,
barmini_akourki,BARMINI AKOURKI,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
bassirou_ibo,BASSIROU IBO,,,ARN,182,,Assemblée nationale,7.1,,,
boubacar_mossi,BOUBACAR MOSSI,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
boucary_sani,BOUCARY SANI,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
boukari_abdou,BOUKARI ABDOU,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,
daouda_jigo,DAOUDA JIGO,,,ARN,182,,Assemblée nationale,7.1,,,
daouda_mamadou_marthe,DAOUDA MAMADOU MARTHE,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
daoudou_nouhou,DAOUDOU NOUHOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
djafarou_moumouni_kalilou,DJAFAROU MOUMOUNI KALILOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
djibo_attinine,DJIBO ATTININE,,,ANDP Zaman-Lahiya,178,,Assemblée nationale,7.1,,,
elhadji_gagere ,ELHADJI GAGERE ,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
falke_bacharou,FALKE BACHAROU,,,ARN,182,,Assemblée nationale,7.1,,,
gado_moumouni,GADO MOUMOUNI,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
garba_amadou,GARBA AMADOU,,,ANDP Zaman-Lahiya,178,,Assemblée nationale,7.1,,,
habibou_andache_,HABIBOU ANDACHE ,,,PNDS Tarayya,181,,Assemblée nationale,7.1,,,
hadizatou_moussa_gros,HADIZATOU MOUSSA GROS,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
halidou_badje,HALIDOU BADJE,,,ARN,182,,Assemblée nationale,7.1,,,
hama_amadou,HAMA AMADOU,,,LUMANA AFRICA,180,,Assemblée nationale,7.1,,,
hamballi_nana_hawaou_abdou,HAMBALLI NANA HAWAOU ABDOU,,,DEMOCRATES,179,,Assemblée nationale,7.1,,,
