id,name,image,source,term
MAhmedAlmulla,أحمد إبراهيم راشد الملا,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/%D9%85%D8%B9%D8%A7%D9%84%D9%8A%2520%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3.jpg,http://www.nuwab.gov.bh/CouncilMembers/AhmedAlmulla/Pages/default.aspx,2014
MaliAlAradi,علي عبدالله علي حسين العرادي,http://www.nuwab.gov.bh/PublishingImages/AliAlaradi.jpg,http://www.nuwab.gov.bh/CouncilMembers/aliAlAradi/Pages/default.aspx,2014
MMurad,عبدالحليم عبدالله أحمد مراد,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/%D8%A7%D9%84%D9%86%D8%A7%D8%A6%D8%A8%2520%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D9%84%D9%8A%D9%85%2520%D9%85%D8%B1%D8%A7%D8%AF.bmp,http://www.nuwab.gov.bh/CouncilMembers/Murad/Pages/default.aspx,2014
Mosama,أسامة عبدالحميد عبدالله الخاجة,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/osama%2520alkhaja.jpg,http://www.nuwab.gov.bh/CouncilMembers/osama/Pages/default.aspx,2014
MAnas,أنس علي علي سيف بوهندي,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/anas%2520buhindi.jpg,http://www.nuwab.gov.bh/CouncilMembers/Anas/Pages/default.aspx,2014
Mebrahim,إبراهيم جمعة علي محمد الحمادي,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/ebrahim%2520alhamadi.jpg,http://www.nuwab.gov.bh/CouncilMembers/ebrahim/Pages/default.aspx,2014
MQrata,أحمد عبدالواحد جاسم قراطة,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/ahmed%2520garata.jpg,http://www.nuwab.gov.bh/CouncilMembers/Qrata/Pages/default.aspx,2014
Mjalal,جلال كاظم حسن كاظم,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/jalal%2520kadhem.jpg,http://www.nuwab.gov.bh/CouncilMembers/jalal/Pages/default.aspx,2014
Mjdawood,جمال داود سلمان أحمد,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/jamal%2520dawood.jpg,http://www.nuwab.gov.bh/CouncilMembers/jdawood/Pages/default.aspx,2014
MBuHasan,جمال علي جاسم بوحسن,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/jamal%2520buhasan.jpg,http://www.nuwab.gov.bh/CouncilMembers/BuHasan/Pages/default.aspx,2014
MjAlsammak,أ. الدكتورة جميلة منصور السماك,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/jameela%2520alsamak.jpg,http://www.nuwab.gov.bh/CouncilMembers/jAlsammak/Pages/default.aspx,2014
MhAldoseri,حمد سالم علي عيد الدوسري,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/hamad%2520aldoseri.jpg,http://www.nuwab.gov.bh/CouncilMembers/hAldoseri/Pages/default.aspx,2014
MAlshaer,خالد عبدالعزيز يوسف الشاعر,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/%D8%AE%D8%A7%D9%84%D8%AF%2520%D8%A7%D9%84%D8%B4%D8%A7%D8%B9%D8%B1.jpg,http://www.nuwab.gov.bh/CouncilMembers/Alshaer/Pages/default.aspx,2014
MAlghanem,خليفة عبدالله محمد الغانم,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/khalifa%2520alghanim.jpg,http://www.nuwab.gov.bh/CouncilMembers/Alghanem/Pages/default.aspx,2014
Mdhiab,ذياب محمد محمد ذياب النعيمي,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/theyab%2520alnoaimi.jpg,http://www.nuwab.gov.bh/CouncilMembers/dhiab/Pages/default.aspx,2014
MRoaa,رؤى بدر مبارك علي علي الحايكي,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/roua%2520alhaiki.jpg,http://www.nuwab.gov.bh/CouncilMembers/Roaa/Pages/default.aspx,2014
MadelHameed,عادل حميد عبدالحسين جعفر,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/adel%2520hameed.jpg,http://www.nuwab.gov.bh/CouncilMembers/adelHameed/Pages/default.aspx,2014
MAsoomy,عادل عبد الرحمن محمد العسومي,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/alasomi.JPG,http://www.nuwab.gov.bh/CouncilMembers/Asoomy/Pages/default.aspx,2014
MAlMadhi,عباس عيسى الماضي,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/untitledssa.jpg,http://www.nuwab.gov.bh/CouncilMembers/AlMadhi/Pages/default.aspx,2014
MAbdAlHameed,عبدالحميد عبدالحسين أحمد محمد,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/abdulhameed%2520ahmed.jpg,http://www.nuwab.gov.bh/CouncilMembers/AbdAlHameed/Pages/default.aspx,2014
MAbdulRahman,عبدالرحمن علي عبدالرحمن بوعلي,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/abdulraman%2520buali.jpg,http://www.nuwab.gov.bh/CouncilMembers/AbdulRahman/Pages/default.aspx,2014
MHowail,عبدالله علي جابر بن حويل,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/%D8%A7%D9%84%D9%86%D8%A7%D8%A6%D8%A8%2520%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87%2520%D8%AD%D9%88%D9%8A%D9%84.bmp,http://www.nuwab.gov.bh/CouncilMembers/Howail/Pages/default.aspx,2014
MaliHasan,علي حسن أحمد,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/%D8%B9%D9%84%D9%8A%2520%D8%AD%D8%B3%D9%86%2520%D8%A7%D9%84%D8%B9%D8%B7%D9%8A%D8%B4.bmp,http://www.nuwab.gov.bh/CouncilMembers/aliHasan/Pages/default.aspx,2014
MBufarsan,علي عيسى عبدالله أحمد بوفرسن,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/ali%2520bufarsan.jpg,http://www.nuwab.gov.bh/CouncilMembers/Bufarsan/Pages/default.aspx,2014
MaliAlMoqla,علي يعقوب يوسف محمد المقلة,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/ali%2520almoqla.jpg,http://www.nuwab.gov.bh/CouncilMembers/aliAlMoqla/Pages/default.aspx,2014
MEssaAhmed,الدكتور عيسى أحمد مصطفى تركي,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/isa%2520turki.jpg,http://www.nuwab.gov.bh/CouncilMembers/EssaAhmed/Pages/default.aspx,2014
MBumjaid,عبد الرحمن راشد بومجيد,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/%D8%A7%D9%84%D9%86%D8%A7%D8%A6%D8%A8%2520%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86%2520%D8%B1%D8%A7%D8%B4%D8%AF%2520%D8%A8%D9%88%D9%85%D8%AC%D9%8A%D8%AF.bmp,http://www.nuwab.gov.bh/CouncilMembers/Bumjaid/Pages/default.aspx,2014
MKooheji,عيسى عبدالجبار محمود الكوهجي,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/%D8%A7%D9%84%D9%86%D8%A7%D8%A6%D8%A8%2520%D8%B9%D9%8A%D8%B3%D9%89%2520%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AC%D8%A8%D8%A7%D8%B1%2520%D8%A7%D9%84%D9%83%D9%88%D9%87%D8%AC%D9%8A.jpg,http://www.nuwab.gov.bh/CouncilMembers/Kooheji/Pages/default.aspx,2014
MGhaziFaisal,غازي فيصل حسن حسين آل رحمه,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/ghazi%2520al-rahma.jpg,http://www.nuwab.gov.bh/CouncilMembers/GhaziFaisal/Pages/default.aspx,2014
MFatimaAlAsfoor,فاطمة عبدالمهدي يوسف العصفور,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/fatima%2520alasfoor.jpg,http://www.nuwab.gov.bh/CouncilMembers/FatimaAlAsfoor/Pages/default.aspx,2014
MMajidEbrahim,الشيخ ماجد إبراهيم حسن إبراهيم الماجد,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/majed%2520almajed.jpg,http://www.nuwab.gov.bh/CouncilMembers/MajidEbrahim/Pages/default.aspx,2014
MMajeed,الشيخ الدكتور مجيد محسن محمد العصفور,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/majeed%2520alasfoor.jpg,http://www.nuwab.gov.bh/CouncilMembers/Majeed/Pages/default.aspx,2014
MMohsenAlBakri,محسن علي محمد عبدالله البكري,http://www.nuwab.gov.bh/CouncilMembers/PublishingImages/mohsen%2520albakri.jpg,http://www.nuwab.gov.bh/CouncilMembers/MohsenAlBakri/Pages/default.aspx,2014
