id,name,start_date,end_date,source
2013,2013–,2013-11-12,,https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2013
2011,2011–2013,2011-12-12,2013-11-11,https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2011
2009,2009–2011,2009-12-11,2011-12-11,https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2009
